"# energy-resolved -pCOHP (bonding>0), Gaussian sigma=0.1 eV; ICOHP(eV/bond): P–S -5.976, P–O -8.430, Li–S -1.647, Nd–S -0.436"
E_minus_EF_eV,-pCOHP_P-S,-pCOHP_P-O,-pCOHP_Li-S,-pCOHP_Nd-S
-15.0065,3.15629,0.20892,2.20027,0.02590
-14.9965,3.30228,0.21734,2.28696,0.02683
-14.9865,3.42597,0.22417,2.35690,0.02756
-14.9765,3.52445,0.22926,2.40843,0.02806
-14.9665,3.59536,0.23247,2.44034,0.02834
-14.9565,3.63694,0.23373,2.45189,0.02837
-14.9465,3.64816,0.23302,2.44282,0.02817
-14.9365,3.62871,0.23034,2.41340,0.02773
-14.9265,3.57906,0.22578,2.36439,0.02707
-14.9165,3.50041,0.21944,2.29702,0.02621
-14.9065,3.39468,0.21148,2.21297,0.02517
-14.8965,3.26455,0.20212,2.11438,0.02396
-14.8865,3.11335,0.19161,2.00380,0.02264
-14.8765,2.94480,0.18021,1.88395,0.02121
-14.8665,2.76269,0.16819,1.75742,0.01973
-14.8565,2.57083,0.15579,1.62674,0.01821
-14.8465,2.37326,0.14326,1.49457,0.01669
-14.8364,2.17423,0.13089,1.36374,0.01519
-14.8264,1.97796,0.11899,1.23705,0.01375
-14.8164,1.78846,0.10783,1.11718,0.01240
-14.8064,1.60954,0.09770,1.00667,0.01116
-14.7964,1.44478,0.08886,0.90798,0.01007
-14.7864,1.29756,0.08160,0.82355,0.00915
-14.7764,1.17115,0.07621,0.75582,0.00842
-14.7664,1.06866,0.07301,0.70728,0.00793
-14.7564,0.99323,0.07233,0.68058,0.00769
-14.7464,0.94797,0.07455,0.67852,0.00775
-14.7364,0.93613,0.08005,0.70412,0.00813
-14.7264,0.96107,0.08929,0.76068,0.00889
-14.7164,1.02630,0.10274,0.85169,0.01005
-14.7064,1.13549,0.12091,0.98089,0.01168
-14.6964,1.29235,0.14431,1.15211,0.01382
-14.6864,1.50061,0.17349,1.36919,0.01651
-14.6764,1.76376,0.20894,1.63581,0.01981
-14.6664,2.08494,0.25112,1.95527,0.02375
-14.6564,2.46664,0.30040,2.33022,0.02839
-14.6464,2.91040,0.35704,2.76242,0.03372
-14.6364,3.41656,0.42113,3.25241,0.03978
-14.6264,3.98394,0.49258,3.79925,0.04655
-14.6164,4.60954,0.57106,4.40025,0.05400
-14.6064,5.28835,0.65598,5.05074,0.06207
-14.5963,6.01314,0.74647,5.74392,0.07069
-14.5863,6.77418,0.84137,6.47061,0.07975
-14.5763,7.56029,0.93928,7.22012,0.08910
-14.5663,8.35752,1.03849,7.97924,0.09861
-14.5563,9.15030,1.13708,8.73317,0.10807
-14.5463,9.92178,1.23298,9.46588,0.11730
-14.5363,10.65431,1.32400,10.16064,0.12608
-14.5263,11.33009,1.40794,10.80055,0.13420
-14.5163,11.93187,1.48265,11.36928,0.14146
-14.5063,12.44365,1.54617,11.85169,0.14767
-14.4963,12.85140,1.59673,12.23454,0.15264
