bond,comp1_ICOHP_eV,comp1_n,modelc_ICOHP_eV,modelc_n,delta_pct_comp1_to_modelc,nd_ICOHP_eV
P-S,-5.944,16,-6.0,20,-0.9,
Li-Cl,-1.855,24,-2.103,42,-13.4,
Li-S,-1.592,120,-1.717,113,-7.9,
S-S,-0.107,56,-0.11,58,-2.8,
Li-Cl(4a),-1.855,24,-2.026,38,-9.2,
"Li-Cl(4d,anti)",,0,-2.836,4,,
Li-S(PS4),-1.348,96,-1.622,101,-20.3,
"Li-S(4d,freeS)",-2.566,24,-2.516,12,+1.9,
