"time_s","phis_V","phil_V","Eeq_V","eta_V","etamid_V","x_surface","x_particle_average","cs_surface_mol_m3","reaction_input_mol_m3","csmax_mol_m3","direct_Eeq_surface_V","Isx_A_m2"
"0.0","0.0","-1.358541959842333","1.413053443526667","-0.05451148368433412","-0.05451148368433412","0.011720681560105372","0.011720681490508415","369.28351391423996","369.28351391423996","31507.0","1.413053443526667","-2.5035995264684896"
"1.002E-5","0.0","-1.3585397943112303","1.4130512460495008","-0.054511451738270544","-0.054511451738270544","0.011720716609082612","0.011720681744715246","369.28461820236583","369.28461820236583","31507.0","1.4130512460495008","-2.503599526468596"
"2.002E-5","0.0","-1.35853762895823","1.4130490488046688","-0.0545114198464387","-0.0545114198464387","0.011720751654354208","0.01172068199892226","369.285722373738","369.285722373738","31507.0","1.4130490488046688","-2.5035995264687"
"4.002E-5","0.0","-1.3585332987892003","1.4130446548570024","-0.05451135606780211","-0.05451135606780211","0.011720821736252721","0.01172068250733668","369.28793044411447","369.28793044411447","31507.0","1.4130446548570024","-2.503599526468904"
"7.001E-5","0.0","-1.3585268073745294","1.4130380678215848","-0.054511260447055454","-0.054511260447055454","0.01172092679711887","0.01172068326970537","369.29124059682425","369.29124059682425","31507.0","1.4130380678215848","-2.5035995264692277"
"1.0E-4","0.0","-1.3585203179861849","1.4130314828310533","-0.0545111648448684","-0.0545111648448684","0.011721031825369824","0.011720684032075586","369.29454972192707","369.29454972192707","31507.0","1.4130314828310533","-2.503599526469569"
"1.5000000000000001E-4","0.0","-1.3585095033136605","1.413020508810386","-0.054511005496725495","-0.054511005496725495","0.011721206857086426","0.011720685303119751","369.300064446222","369.300064446222","31507.0","1.413020508810386","-2.5035995264700954"
"2.0E-4","0.0","-1.3584986943714954","1.4130095405726273","-0.05451084620113189","-0.05451084620113189","0.011721381796567697","0.011720686574168235","369.3055762644584","369.3055762644584","31507.0","1.4130095405726273","-2.503599526470646"
"2.999999999999999E-4","0.0","-1.3584770936894766","1.4129876214574464","-0.05451052776796983","-0.05451052776796983","0.011721731398639067","0.011720689116278181","369.31659117692107","369.31659117692107","31507.0","1.4129876214574464","-2.503599526471713"
"5.0E-4","0.0","-1.3584339609912206","1.4129438525249376","-0.05450989153371699","-0.05450989153371699","0.011722429497505767","0.011720694200549863","369.3385861779142","369.3385861779142","31507.0","1.4129438525249376","-2.503599526473843"
"7.5E-4","0.0","-1.3583801735252958","1.4128892709504617","-0.05450909742516585","-0.05450909742516585","0.011723300054156338","0.011720700555986324","369.3660148063037","369.3660148063037","31507.0","1.4128892709504617","-2.5035995264765156"
"0.001","0.0","-1.358326528261571","1.412834832892254","-0.0545083046306829","-0.0545083046306829","0.011724168321773608","0.011720706911530035","369.39337131412105","369.39337131412105","31507.0","1.412834832892254","-2.503599526479158"
"0.0014999999999999996","0.0","-1.3582196614199362","1.412726384391656","-0.05450672297171977","-0.05450672297171977","0.011725898036688342","0.011720719622937054","369.4478694419396","369.4478694419396","31507.0","1.412726384391656","-2.5035995264844435"
"0.002","0.0","-1.3581133565263503","1.4126185030623124","-0.05450514653596206","-0.05450514653596206","0.011727618705423801","0.011720732334767973","369.50208255178774","369.50208255178774","31507.0","1.4126185030623124","-2.503599526489664"
"0.003","0.0","-1.3579024097853454","1.4124044190037899","-0.0545020092184445","-0.0545020092184445","0.011731033269820638","0.01172075775968447","369.60966523223885","369.60966523223885","31507.0","1.4124044190037899","-2.5035995265000195"
"0.005","0.0","-1.3574870264444496","1.4119828224544555","-0.05449579601000587","-0.05449579601000587","0.01173775758445258","0.011720808614430199","369.82152821334745","369.82152821334745","31507.0","1.4119828224544555","-2.503599526520251"
"0.0075","0.0","-1.3569796794845315","1.411467822175897","-0.05448814269136548","-0.05448814269136548","0.01174597165526039","0.011720872191832496","370.0803289422891","370.0803289422891","31507.0","1.411467822175897","-2.503599526544671"
"0.01","0.0","-1.3564851095437493","1.4109657220022116","-0.05448061245846225","-0.05448061245846225","0.01175397997399531","0.011720935778885978","370.3326470406702","370.3326470406702","31507.0","1.4109657220022116","-2.5035995265681583"
"0.014999999999999996","0.0","-1.3555318254106246","1.4099977319443506","-0.05446590653372607","-0.05446590653372607","0.01176941907025907","0.011721062980121742","370.8190866466525","370.8190866466525","31507.0","1.4099977319443506","-2.5035995266126347"
"0.017499999999999998","0.0","-1.3550727272085554","1.409531454676269","-0.05445872746771352","-0.05445872746771352","0.01177685602642309","0.011721126594021393","371.0534028245123","371.0534028245123","31507.0","1.409531454676269","-2.5035995266336326"
"0.02","0.0","-1.3546246478108865","1.4090763079045199","-0.054451660093633336","-0.054451660093633336","0.011784115455139436","0.011721190216279207","371.2821256450782","371.2821256450782","31507.0","1.4090763079045199","-2.503599526653872"
"0.025","0.0","-1.3537592476366462","1.4081970935713022","-0.05443784593465595","-0.05443784593465595","0.011798138610250164","0.011721317484198718","371.72395319315194","371.72395319315194","31507.0","1.4081970935713022","-2.5035995266922435"
"0.0275","0.0","-1.3533416091692363","1.407772705396089","-0.054431096226852604","-0.054431096226852604","0.011804907450319448","0.011721381129630209","371.93721903721485","371.93721903721485","31507.0","1.407772705396089","-2.5035995267104063"
"0.03","0.0","-1.3529334335358534","1.4073578810621932","-0.05442444752633979","-0.05442444752633979","0.011811523750529927","0.011721444782291836","372.1456788079464","372.1456788079464","31507.0","1.4073578810621932","-2.503599526727934"
"0.03499999999999999","0.0","-1.3521435220940456","1.4065549619278317","-0.054411439833786046","-0.054411439833786046","0.01182433002442371","0.011721572107908855","372.5491660795179","372.5491660795179","31507.0","1.4065549619278317","-2.5035995267612288"
"0.04","0.0","-1.3513872006741896","1.4057860058145397","-0.054398805140350115","-0.054398805140350115","0.01183659460024173","0.011721699459400147","372.93558606981617","372.93558606981617","31507.0","1.4057860058145397","-2.5035995267923505"
"0.04499999999999999","0.0","-1.3506621647936874","1.4050486903902955","-0.05438652559660806","-0.05438652559660806","0.011848354518351653","0.01172182683513108","373.30610580970557","373.30610580970557","31507.0","1.4050486903902955","-2.5035995268214117"
"0.05","0.0","-1.3499662352218191","1.4043408191303655","-0.054374583908546326","-0.054374583908546326","0.011859644812539752","0.011721954233564676","373.66182910869","373.66182910869","31507.0","1.4043408191303655","-2.5035995268486846"
"0.05499999999999999","0.0","-1.3492973877155514","1.4036603512580936","-0.05436296354254222","-0.05436296354254222","0.011870498032466021","0.011722081653281383","374.0037815089069","374.0037815089069","31507.0","1.4036603512580936","-2.503599526874247"
"0.06","0.0","-1.3486537536569574","1.4030054024268783","-0.054351648769920935","-0.054351648769920935","0.011880944232786834","0.01172220909297796","374.3329099424148","374.3329099424148","31507.0","1.4030054024268783","-2.5035995268982454"
"0.06499999999999999","0.0","-1.3480336115348408","1.4023742361932807","-0.05434062465843992","-0.05434062465843992","0.011891011109155879","0.011722336551459983","374.65008701617427","374.65008701617427","31507.0","1.4023742361932807","-2.5035995269208744"
"0.07","0.0","-1.3474353760493545","1.4017652530958709","-0.05432987704651637","-0.05432987704651637","0.011900724172412636","0.0117224640276328","374.9561165002049","374.9561165002049","31507.0","1.4017652530958709","-2.5035995269421654"
"0.075","0.0","-1.3468575871006943","1.401176979612811","-0.054319392512116815","-0.054319392512116815","0.011910106924704995","0.011722591520492624","375.2517388766803","375.2517388766803","31507.0","1.401176979612811","-2.503599526962291"
"0.08","0.0","-1.3462988993762224","1.4006080577165534","-0.05430915834033101","-0.05430915834033101","0.011919181026088122","0.01172271902911818","375.5376365889585","375.5376365889585","31507.0","1.4006080577165534","-2.503599526981327"
"0.08499999999999999","0.0","-1.3457580727243907","1.4000572352154057","-0.05429916249101496","-0.05429916249101496","0.011927966448572993","0.011722846552663155","375.8144388951893","375.8144388951893","31507.0","1.4000572352154057","-2.5035995269993614"
"0.09","0.0","-1.3452339633281958","1.399523356895224","-0.05428939356702811","-0.05428939356702811","0.011936481617413296","0.011722974090349255","376.08272631984073","376.08272631984073","31507.0","1.399523356895224","-2.503599527016473"
"0.09499999999999999","0.0","-1.344725515635264","1.3990053564185008","-0.05427984078323678","-0.05427984078323678","0.011944743540312046","0.011723101641459984","376.34303472461164","376.34303472461164","31507.0","1.3990053564185008","-2.503599527032706"
"0.1","0.0","-1.3442317549867782","1.3985022489231858","-0.05427049393640759","-0.05427049393640759","0.011952767925467773","0.011723229205335002","376.5958590277131","376.5958590277131","31507.0","1.3985022489231858","-2.5035995270481832"
"0.105","0.0","-1.3437517808862458","1.3980131242623","-0.05426134337605415","-0.05426134337605415","0.011960569289400251","0.01172335678136503","376.8416566011337","376.8416566011337","31507.0","1.3980131242623","-2.503599527062929"
"0.11","0.0","-1.3432847608522474","1.3975371408285227","-0.0542523799762753","-0.0542523799762753","0.011968161055446158","0.01172348436898724","377.0808503739421","377.0808503739421","31507.0","1.3975371408285227","-2.503599527077013"
"0.11499999999999999","0.0","-1.342829924803609","1.3970735199121946","-0.05424359510858556","-0.05424359510858556","0.011975555643746893","0.0117236119676811","377.31383166753335","377.31383166753335","31507.0","1.3970735199121946","-2.5035995270904574"
"0.12","0.0","-1.3423865599297684","1.3966215405455762","-0.05423498061580778","-0.05423498061580778","0.011982764553480815","0.011723739576964591","377.54096278652","377.54096278652","31507.0","1.3966215405455762","-2.503599527103332"
"0.12499999999999999","0.0","-1.3419540060033637","1.3961805347903602","-0.05422652878699652","-0.05422652878699652","0.011989798438025764","0.011723867196390831","377.76257938687775","377.76257938687775","31507.0","1.3961805347903602","-2.503599527115678"
"0.13","0.0","-1.3415316510958644","1.3957498834292719","-0.0542182323334075","-0.0542182323334075","0.011996667173676475","0.011723994825544948","377.9789926410247","377.9789926410247","31507.0","1.3957498834292719","-2.5035995271275198"
"0.135","0.0","-1.3411189276606081","1.3953290120261095","-0.05421008436550134","-0.05421008436550134","0.012003379922485534","0.011724122464041321","378.19049121775174","378.19049121775174","31507.0","1.3953290120261095","-2.503599527138918"
"0.14","0.0","-1.3407153089507726","1.3949173873217724","-0.05420207837099977","-0.05420207837099977","0.012009945189745456","0.011724250111521062","378.3973430933101","378.3973430933101","31507.0","1.3949173873217724","-2.5035995271498925"
"0.15","0.0","-1.3399328990804247","1.3941193603178639","-0.0541864612374392","-0.0541864612374392","0.012022673435902916","0.011724505431726503","378.79837194499316","378.79837194499316","31507.0","1.3941193603178639","-2.5035995271706497"
"0.155","0.0","-1.3395537487811011","1.3937325936971579","-0.054178844916056734","-0.054178844916056734","0.012028842225592641","0.011724633104204074","378.99273200174736","378.99273200174736","31507.0","1.3937325936971579","-2.503599527180512"
"0.16","0.0","-1.3391820014136882","1.393353349993004","-0.054171348579315826","-0.054171348579315826","0.012034891027445828","0.01172476078449394","379.1833116017357","379.1833116017357","31507.0","1.393353349993004","-2.5035995271900195"
"0.17","0.0","-1.3384586868970973","1.3926153760222457","-0.05415668912514837","-0.05415668912514837","0.012046661449137831","0.011725016167093316","379.55416227798565","379.55416227798565","31507.0","1.3926153760222457","-2.5035995272081526"
"0.18","0.0","-1.3377606386653216","1.391903089321557","-0.05414245065623535","-0.05414245065623535","0.01205802216803161","0.011725271577887986","379.91210444817193","379.91210444817193","31507.0","1.391903089321557","-2.5035995272252296"
"0.19","0.0","-1.3370856430719313","1.3912142449900586","-0.054128601918127295","-0.054128601918127295","0.012069008989495717","0.011725527015294102","380.25826623204154","380.25826623204154","31507.0","1.3912142449900586","-2.503599527241322"
"0.2","0.0","-1.3364316977792703","1.39054681184424","-0.054115114064969605","-0.054115114064969605","0.012079654310182888","0.01172578247785659","380.59366835093226","380.59366835093226","31507.0","1.39054681184424","-2.5035995272565255"
"0.21","0.0","-1.3357970243438921","1.3898989852667452","-0.05410196092285302","-0.05410196092285302","0.01208998691309646","0.011726037964259564","380.91921767093015","380.91921767093015","31507.0","1.3898989852667452","-2.503599527270983"
"0.22","0.0","-1.3351800511804874","1.3892691700522872","-0.05408911887179979","-0.05408911887179979","0.012100032241191964","0.011726293473316508","381.23571582323524","381.23571582323524","31507.0","1.3892691700522872","-2.5035995272847384"
"0.23","0.0","-1.3345793894452709","1.388655956065024","-0.05407656661975313","-0.05407656661975313","0.01210981278563326","0.011726549003955514","381.5438714369471","381.5438714369471","31507.0","1.388655956065024","-2.503599527297872"
"0.24","0.0","-1.33399380923008","1.3880580941906469","-0.05406428496056681","-0.05406428496056681","0.012119348469348175","0.01172680455520473","381.844312223753","381.844312223753","31507.0","1.3880580941906469","-2.50359952731042"
"0.25","0.0","-1.3334222182144884","1.3874744747599856","-0.05405225654549728","-0.05405225654549728","0.012128656991164288","0.011727060126179344","382.1375958206132","382.1375958206132","31507.0","1.3874744747599856","-2.5035995273224474"
"0.26","0.0","-1.3328636431521612","1.3869041088285161","-0.0540404656763549","-0.0540404656763549","0.012137754124394136","0.011727315716070372","382.42421919728605","382.42421919728605","31507.0","1.3869041088285161","-2.503599527334007"
"0.27","0.0","-1.332317214007163","1.3863461121283769","-0.05402889812121381","-0.05402889812121381","0.012146653972794796","0.011727571324135171","382.7046267208456","382.7046267208456","31507.0","1.3863461121283769","-2.5035995273451226"
"0.28","0.0","-1.3317821504111422","1.385799691362454","-0.05401754095131173","-0.05401754095131173","0.012155369189172375","0.011727826949689305","382.97921704325404","382.97921704325404","31507.0","1.385799691362454","-2.503599527355834"
"0.29","0.0","-1.3312577501051863","1.3852641325022683","-0.054006382397082","-0.054006382397082","0.01216391116202651","0.011728082592099691","383.24834898196923","383.24834898196923","31507.0","1.3852641325022683","-2.5035995273661538"
"0.3","0.0","-1.3307433790639993","1.3847387907852502","-0.053995411721250886","-0.053995411721250886","0.012172290175090273","0.011728338250778772","383.51234654656923","383.51234654656923","31507.0","1.3847387907852502","-2.5035995273761324"
"0.31","0.0","-1.3302384630423043","1.3842230821492982","-0.053984619106993925","-0.053984619106993925","0.012180515543945935","0.011728593925179479","383.7715032431046","383.7715032431046","31507.0","1.3842230821492982","-2.5035995273857785"
"0.32","0.0","-1.3297424803233096","1.383716475882704","-0.05397399555939453","-0.05397399555939453","0.01218859573325599","0.011728849614790959","384.0260857676965","384.0260857676965","31507.0","1.383716475882704","-2.503599527395139"
"0.33","0.0","-1.3292549554841542","1.3832184883027396","-0.05396353281858546","-0.05396353281858546","0.012196538457587502","0.011729105319134828","384.2763371832094","384.2763371832094","31507.0","1.3832184883027396","-2.5035995274042078"
"0.34","0.0","-1.328775454022919","1.3827286773060745","-0.05395322328315544","-0.05395322328315544","0.012204350768330931","0.011729361037762046","384.52247965780265","384.52247965780265","31507.0","1.3827286773060745","-2.5035995274129896"
"0.35","0.0","-1.3283035777167995","1.3822466376593545","-0.053943059942554994","-0.053943059942554994","0.01221203912881379","0.011729616770250058","384.7647168315361","384.7647168315361","31507.0","1.3822466376593545","-2.5035995274215304"
"0.36","0.0","-1.3278389606018393","1.381771996919258","-0.05393303631741864","-0.05393303631741864","0.01221960947937426","0.011729872516200389","385.0032358666448","385.0032358666448","31507.0","1.381771996919258","-2.503599527429838"
"0.37","0.0","-1.327381265482139","1.3813044118889273","-0.05392314640678819","-0.05392314640678819","0.012227067293879837","0.011730128275236522","385.238209228272","385.238209228272","31507.0","1.3813044118889273","-2.5035995274379097"
"0.38","0.0","-1.3269301808909144","1.3808435655323341","-0.053913384641419704","-0.053913384641419704","0.012234417628942127","0.011730384047002","385.46979623507957","385.46979623507957","31507.0","1.3808435655323341","-2.5035995274457585"
"0.39","0.0","-1.3264854184379933","1.3803891642804067","-0.05390374584241342","-0.05390374584241342","0.012241665166883152","0.011730639831158778","385.69814441298746","385.69814441298746","31507.0","1.3803891642804067","-2.5035995274534137"
"0.4","0.0","-1.3260467104885043","1.3799409356730046","-0.053894225184500266","-0.053894225184500266","0.012248814253344996","0.011730895627385747","385.9233906801408","385.9233906801408","31507.0","1.3799409356730046","-2.5035995274608736"
"0.41","0.0","-1.3256138081260114","1.3794986262894353","-0.05388481816342394","-0.05388481816342394","0.012255868930297344","0.011731151435377464","386.1456623868784","386.1456623868784","31507.0","1.3794986262894353","-2.5035995274681504"
"0.42","0.0","-1.3251864793604822","1.379061999927404","-0.05387552056692191","-0.05387552056692191","0.01226283296508257","0.011731407254842882","386.36507823085657","386.36507823085657","31507.0","1.379061999927404","-2.503599527475245"
"0.43","0.0","-1.324764507547498","1.3786308359963502","-0.053866328448852085","-0.053866328448852085","0.012269709876041462","0.01173166308550441","386.5817490644383","386.5817490644383","31507.0","1.3786308359963502","-2.5035995274821725"
"0.44","0.0","-1.3243476899901023","1.3782049280962083","-0.05385723810610599","-0.05385723810610599","0.012276502955181467","0.011731918927096907","386.7957786089025","386.7957786089025","31507.0","1.3782049280962083","-2.5035995274889595"
"0.45","0.0","-1.3239358366989686","1.3777840827569166","-0.05384824605794791","-0.05384824605794791","0.012283215288281083","0.011732174779366833","387.0072640878721","387.0072640878721","31507.0","1.3777840827569166","-2.503599527495567"
"0.46","0.0","-1.3235287692900857","1.377368118317608","-0.05383934902752241","-0.05383934902752241","0.012289849772766367","0.011732430642071471","387.2162967905499","387.2162967905499","31507.0","1.377368118317608","-2.5035995275020473"
"0.47","0.0","-1.3231263200022192","1.376956863927463","-0.05383054392524378","-0.05383054392524378","0.012296409133646968","0.011732686514978264","387.422962573815","387.422962573815","31507.0","1.376956863927463","-2.503599527508376"
"0.48","0.0","-1.322728330818911","1.3765501586527855","-0.05382182783387446","-0.05382182783387446","0.012302895937757954","0.011732942397864113","387.62734231093987","387.62734231093987","31507.0","1.3765501586527855","-2.5035995275145693"
"0.49","0.0","-1.3223346526819693","1.3761478506770393","-0.053813197995070006","-0.053813197995070006","0.012309312606518944","0.011733198290514845","387.82951229359236","387.82951229359236","31507.0","1.3761478506770393","-2.5035995275206235"
"0.5","0.0","-1.3219451447851853","1.3757497965824366","-0.053804651797251246","-0.053804651797251246","0.012315661427392509","0.011733454192724644","388.02954459285576","388.02954459285576","31507.0","1.3757497965824366","-2.5035995275265686"
"0.51","0.0","-1.3215596739386115","1.3753558607032428","-0.05379618676463127","-0.05379618676463127","0.012321944564198753","0.011733710104295584","388.2275073842101","388.2275073842101","31507.0","1.3753558607032428","-2.5035995275323875"
"0.52","0.0","-1.321178113995009","1.3749659145422877","-0.05378780054727872","-0.05378780054727872","0.012328164066421716","0.011733966025037132","388.423465240749","388.423465240749","31507.0","1.3749659145422877","-2.503599527538091"
"0.53","0.0","-1.3208003453312418","1.3745798362433366","-0.053779490912094774","-0.053779490912094774","0.012334321877624892","0.011734221954765794","388.6174793983275","388.6174793983275","31507.0","1.3745798362433366","-2.5035995275436873"
"0.54","0.0","-1.320426254378291","1.3741975101129162","-0.05377125573462527","-0.05377125573462527","0.012340419843077917","0.011734477893304673","388.8096079958559","388.8096079958559","31507.0","1.3741975101129162","-2.503599527549166"
"0.55","0.0","-1.3200557331944653","1.3738188261860542","-0.05376309299158888","-0.05376309299158888","0.012346459716682903","0.011734733840483147","388.9999062935282","388.9999062935282","31507.0","1.3738188261860542","-2.503599527554558"
"0.56","0.0","-1.3196886790770086","1.3734436798310754","-0.053755000754066806","-0.053755000754066806","0.01235244316727775","0.011734989796136535","389.18842687142006","389.18842687142006","31507.0","1.3734436798310754","-2.503599527559821"
"0.57","0.0","-1.3193249942079597","1.3730719713892392","-0.05374697718127952","-0.05374697718127952","0.012358371784383848","0.011735245760105756","389.3752198105819","389.3752198105819","31507.0","1.3730719713892392","-2.5035995275650262"
"0.58","0.0","-1.3189645853306167","1.3727036058454998","-0.05373902051488311","-0.05373902051488311","0.012364247083457285","0.01173550173223709","389.56033285848866","389.56033285848866","31507.0","1.3727036058454998","-2.503599527570108"
"0.59","0.0","-1.3186073634534081","1.3723384925271538","-0.053731129073745665","-0.053731129073745665","0.012370070510695346","0.011735757712381889","389.7438115804783","389.7438115804783","31507.0","1.3723384925271538","-2.503599527575128"
"0.6","0.0","-1.3182532435783652","1.3719765448275087","-0.053723301249143596","-0.053723301249143596","0.012375843447443913","0.011736013700396326","389.92569949861536","389.92569949861536","31507.0","1.3719765448275087","-2.503599527580018"
"0.61","0.0","-1.3179021444517014","1.3716176799520545","-0.05371553550035313","-0.05371553550035313","0.012381567214245881","0.01173626969614115","390.10603821924497","390.10603821924497","31507.0","1.3716176799520545","-2.5035995275848646"
"0.62","0.0","-1.31755398833436","1.371261818684923","-0.053707830350562924","-0.053707830350562924","0.012387243074566108","0.011736525699481512","390.28486755035436","390.28486755035436","31507.0","1.371261818684923","-2.5035995275895995"
"0.63","0.0","-1.317208700790521","1.3709088851736586","-0.053700184383137506","-0.053700184383137506","0.012392872238224216","0.011736781710286715","390.46222560973035","390.46222560973035","31507.0","1.3709088851736586","-2.503599527594282"
"0.64","0.0","-1.3168662104924325","1.3705588067305587","-0.05369259623812628","-0.05369259623812628","0.012398455864563134","0.011737037728430063","390.63814892479064","390.63814892479064","31507.0","1.3705588067305587","-2.5035995275988587"
"0.65","0.0","-1.316526449039968","1.3702115136490358","-0.053685064609067856","-0.053685064609067856","0.01240399506537809","0.011737293753788635","390.8126725248675","390.8126725248675","31507.0","1.3702115136490358","-2.5035995276033844"
"0.66","0.0","-1.3161893507936155","1.3698669390336118","-0.05367758823999624","-0.05367758823999624","0.012409490907628102","0.011737549786243157","390.9858300266386","390.9858300266386","31507.0","1.3698669390336118","-2.5035995276078267"
