# li3po4g_mp-2878 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.757 eV. Gap is the fixed-occ nscf value (5.821 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,O_p,O_s,P_p,P_s
-39.917,-42.6738,0.00012136,0.00537516,2.656e-05,1.1484e-06,3.288e-06,2.092e-07
-39.907,-42.6638,0.00022528,0.0100228,4.944e-05,2.14e-06,6.12e-06,3.892e-07
-39.897,-42.6538,0.0004098,0.0182267,8.988e-05,3.9e-06,1.112e-05,7.08e-07
-39.887,-42.6438,0.00072984,0.0324526,0.00016004,6.932e-06,1.98e-05,1.26e-06
-39.877,-42.6338,0.0012716,0.0565784,0.0002788,1.206e-05,3.452e-05,2.196e-06
-39.867,-42.6238,0.0021612,0.096184,0.0004748,2.06e-05,5.88e-05,3.74e-06
-39.857,-42.6138,0.0036076,0.16044,0.0007916,3.428e-05,9.8e-05,6.24e-06
-39.847,-42.6038,0.0058768,0.261473,0.0012892,5.596e-05,0.0001596,1.016e-05
-39.837,-42.5938,0.0093924,0.41626,0.002052,8.92e-05,0.0002544,1.62e-05
-39.827,-42.5838,0.014628,0.650656,0.003208,0.00013932,0.0003968,2.524e-05
-39.817,-42.5738,0.02228,0.994152,0.004892,0.000212,0.000604,3.852e-05
-39.807,-42.5638,0.033332,1.48311,0.007304,0.0003168,0.000904,5.76e-05
-39.797,-42.5538,0.048624,2.16208,0.010664,0.0004632,0.00132,8.4e-05
-39.787,-42.5438,0.069408,3.0875,0.015232,0.0006608,0.001884,0.0001196
-39.777,-42.5338,0.09724,4.32401,0.02124,0.0009236,0.002632,0.0001672
-39.767,-42.5238,0.13216,5.90012,0.02908,0.0012624,0.003592,0.0002284
-39.757,-42.5138,0.17704,7.88044,0.03892,0.0016864,0.0048,0.0003056
-39.747,-42.5038,0.23188,10.305,0.0508,0.002208,0.00628,0.0003996
-39.737,-42.4938,0.29592,13.1743,0.065,0.002824,0.00804,0.000512
-39.727,-42.4838,0.37072,16.4882,0.08124,0.003532,0.01004,0.00064
-39.717,-42.4738,0.453,20.1658,0.09948,0.004324,0.01228,0.00078
-39.707,-42.4638,0.54276,24.1261,0.11912,0.00518,0.01472,0.000936
-39.697,-42.4538,0.63584,28.289,0.1396,0.006064,0.01724,0.001096
-39.687,-42.4438,0.72812,32.3714,0.15984,0.006944,0.01972,0.001256
-39.677,-42.4338,0.81544,36.2935,0.17884,0.007788,0.02212,0.001408
-39.667,-42.4238,0.89764,39.7716,0.19592,0.008532,0.02424,0.00154
-39.657,-42.4138,0.95612,42.4464,0.2104,0.009152,0.026,0.001652
-39.647,-42.4038,1.006,44.8792,0.2208,0.0096,0.02724,0.001732
-39.637,-42.3938,1.0312,46.1112,0.2268,0.009856,0.02796,0.00178
-39.627,-42.3838,1.03972,46.1456,0.2276,0.0099,0.02808,0.001784
-39.617,-42.3738,1.01564,45.394,0.224,0.009736,0.0276,0.001756
-39.607,-42.3638,0.9832,43.4684,0.2156,0.00938,0.0266,0.001688
-39.597,-42.3538,0.92664,41.1904,0.204,0.00886,0.02508,0.001588
-39.587,-42.3438,0.85448,38.0684,0.18848,0.008216,0.02324,0.001468
-39.577,-42.3338,0.77688,34.6232,0.1712,0.007512,0.02116,0.001328
-39.567,-42.3238,0.6968,31.066,0.15452,0.006784,0.01904,0.001184
-39.557,-42.3138,0.6196,27.7088,0.13852,0.006124,0.017,0.001044
-39.547,-42.3038,0.5516,24.7564,0.12472,0.005568,0.01528,0.000916
-39.537,-42.2938,0.4968,22.456,0.11448,0.005188,0.01396,0.000808
-39.527,-42.2838,0.462,21.0352,0.10912,0.005036,0.0132,0.000724
-39.517,-42.2738,0.4484,20.6876,0.10948,0.005156,0.01312,0.000676
-39.507,-42.2638,0.4612,21.4932,0.11628,0.00558,0.0138,0.000664
-39.497,-42.2538,0.4996,23.5892,0.13012,0.006344,0.01524,0.000688
-39.487,-42.2438,0.5648,27.056,0.15112,0.007444,0.01752,0.000752
-39.477,-42.2338,0.6568,31.6936,0.1792,0.00888,0.02056,0.000852
-39.467,-42.2238,0.7716,37.544,0.2136,0.010628,0.02432,0.000984
-39.457,-42.2138,0.9072,44.3032,0.254,0.012624,0.02864,0.001144
-39.447,-42.2038,1.0544,51.8324,0.2984,0.014796,0.0334,0.001324
-39.437,-42.1938,1.2112,59.6888,0.3452,0.01712,0.03832,0.001516
-39.427,-42.1838,1.3648,67.5772,0.3908,0.0194,0.0432,0.001704
-39.417,-42.1738,1.5072,74.9924,0.4352,0.02148,0.0476,0.001884
-39.407,-42.1638,1.6328,81.7396,0.4736,0.02332,0.0516,0.00204
-39.397,-42.1538,1.732,86.5156,0.5048,0.0248,0.0548,0.002164
-39.387,-42.1438,1.8,90.5052,0.5268,0.02576,0.0568,0.002248
-39.377,-42.1338,1.82,92.0944,0.5372,0.02628,0.0576,0.002284
-39.367,-42.1238,1.816,92.0764,0.5364,0.0262,0.0572,0.002272
-39.357,-42.1138,1.764,89.648,0.524,0.02548,0.0556,0.002212
-39.347,-42.1038,1.6744,85.6052,0.5008,0.02436,0.0528,0.002104
-39.337,-42.0938,1.56,79.7904,0.4684,0.02268,0.0488,0.00196
-39.327,-42.0838,1.4184,72.8452,0.4284,0.02068,0.0444,0.001784
-39.317,-42.0738,1.2608,65.0932,0.3836,0.01848,0.03956,0.001588
-39.307,-42.0638,1.1,56.9368,0.3356,0.016164,0.0344,0.001384
-39.297,-42.0538,0.9352,48.6996,0.2872,0.013776,0.02928,0.00118
-39.287,-42.0438,0.7816,40.7048,0.2404,0.011512,0.02436,0.000984
-39.277,-42.0338,0.6364,33.2758,0.1972,0.009412,0.01984,0.000804
-39.267,-42.0238,0.5076,26.6526,0.15808,0.007528,0.0158,0.000644
-39.257,-42.0138,0.396,20.9192,0.12408,0.00588,0.01232,0.0005
-39.247,-42.0038,0.3028,15.9921,0.09524,0.004508,0.0094,0.0003828
-39.237,-41.9938,0.2256,11.9545,0.07144,0.003368,0.007,0.000286
-39.227,-41.9838,0.1648,8.80412,0.05248,0.002468,0.00512,0.0002092
-39.217,-41.9738,0.11768,6.30844,0.03768,0.0017696,0.003648,0.0001496
-39.207,-41.9638,0.0824,4.42648,0.02648,0.0012393,0.002548,0.0001048
-39.197,-41.9538,0.05628,3.03725,0.0182,0.00085,0.00174,7.16e-05
-39.187,-41.9438,0.03772,2.0437,0.01224,0.00057,0.00116,4.8e-05
-39.177,-41.9338,0.02464,1.34098,0.008052,0.0003736,0.00076,3.14e-05
-39.167,-41.9238,0.015776,0.864336,0.005184,0.0002404,0.000484,2.012e-05
-39.157,-41.9138,0.00988,0.541256,0.003264,0.00015064,0.0003036,1.26e-05
-39.147,-41.9038,0.006056,0.332837,0.002008,9.256e-05,0.0001856,7.72e-06
-39.137,-41.8938,0.003628,0.200348,0.00121,5.564e-05,0.0001112,4.64e-06
-39.127,-41.8838,0.002124,0.117952,0.0007136,3.268e-05,6.52e-05,2.716e-06
-39.117,-41.8738,0.00122,0.067864,0.0004112,1.882e-05,3.728e-05,1.56e-06
-39.107,-41.8638,0.0006844,0.0382146,0.0002316,1.0576e-05,2.088e-05,8.76e-07
-39.097,-41.8538,0.0003752,0.0210872,0.00012796,5.82e-06,1.144e-05,4.8e-07
-39.087,-41.8438,0.0002016,0.0113916,6.912e-05,3.136e-06,6.12e-06,2.584e-07
-39.077,-41.8338,0.00010608,0.00598704,3.648e-05,1.6516e-06,3.22e-06,1.356e-07
-39.067,-41.8238,5.44e-05,0.00308652,1.888e-05,8.504e-07,1.652e-06,6.96e-08
-39.057,-41.8138,2.732e-05,0.00155947,9.524e-06,4.28e-07,8.28e-07,3.508e-08
-39.047,-41.8038,1.3432e-05,0.00076924,4.708e-06,2.112e-07,4.08e-07,1.728e-08
-39.037,-41.7938,6.464e-06,0.000371697,2.276e-06,1.018e-07,1.956e-07,8.32e-09
-39.027,-41.7838,3.04e-06,0.000175348,1.0768e-06,4.808e-08,9.2e-08,3.912e-09
-39.017,-41.7738,1.3992e-06,8.081e-05,4.98e-07,2.22e-08,4.24e-08,1.8e-09
-39.007,-41.7638,6.304e-07,3.66875e-05,2.252e-07,1.0012e-08,1.9e-08,8.12e-10
-38.997,-41.7538,2.78e-07,1.62426e-05,9.988e-08,4.42e-09,8.36e-09,3.576e-10
-38.987,-41.7438,1.1984e-07,7.01452e-06,4.324e-08,1.912e-09,3.596e-09,1.544e-10
-38.977,-41.7338,5.048e-08,2.97399e-06,1.832e-08,8.076e-10,1.512e-09,6.52e-11
-38.967,-41.7238,2.084e-08,1.22842e-06,7.604e-09,3.34e-10,6.24e-10,2.684e-11
-38.957,-41.7138,8.384e-09,4.98648e-07,3.084e-09,1.3508e-10,2.508e-10,1.084e-11
-38.947,-41.7038,3.316e-09,1.97199e-07,1.2232e-09,5.344e-11,9.88e-11,4.28e-12
-38.937,-41.6938,1.28e-09,7.65384e-08,4.752e-10,2.072e-11,3.812e-11,1.652e-12
-38.927,-41.6838,4.832e-10,2.90157e-08,1.8e-10,7.832e-12,1.436e-11,6.24e-13
-38.917,-41.6738,1.784e-10,1.075e-08,6.696e-11,2.9e-12,5.32e-12,2.308e-13
-38.907,-41.6638,6.444e-11,3.91193e-09,2.436e-11,1.0512e-12,1.912e-12,8.32e-14
-38.897,-41.6538,2.276e-11,1.39023e-09,8.648e-12,3.728e-13,6.76e-13,2.948e-14
-38.887,-41.6438,2.612e-12,2.57256e-10,1.784e-12,5.672e-14,5.44e-14,3.66e-15
-38.877,-41.6338,0,0,0,0,0,0
-38.867,-41.6238,0,0,0,0,0,0
-38.857,-41.6138,0,0,0,0,0,0
-38.847,-41.6038,0,0,0,0,0,0
-38.837,-41.5938,0,0,0,0,0,0
-38.827,-41.5838,0,0,0,0,0,0
-38.817,-41.5738,0,0,0,0,0,0
-38.807,-41.5638,0,0,0,0,0,0
-38.797,-41.5538,0,0,0,0,0,0
-38.787,-41.5438,0,0,0,0,0,0
-38.777,-41.5338,0,0,0,0,0,0
-38.767,-41.5238,0,0,0,0,0,0
-38.757,-41.5138,0,0,0,0,0,0
-38.747,-41.5038,0,0,0,0,0,0
-38.737,-41.4938,0,0,0,0,0,0
-38.727,-41.4838,0,0,0,0,0,0
-38.717,-41.4738,0,0,0,0,0,0
-38.707,-41.4638,0,0,0,0,0,0
-38.697,-41.4538,0,0,0,0,0,0
-38.687,-41.4438,0,0,0,0,0,0
-38.677,-41.4338,0,0,0,0,0,0
-38.667,-41.4238,0,0,0,0,0,0
-38.657,-41.4138,0,0,0,0,0,0
-38.647,-41.4038,0,0,0,0,0,0
-38.637,-41.3938,0,0,0,0,0,0
-38.627,-41.3838,0,0,0,0,0,0
-38.617,-41.3738,0,0,0,0,0,0
-38.607,-41.3638,0,0,0,0,0,0
-38.597,-41.3538,0,0,0,0,0,0
-38.587,-41.3438,0,0,0,0,0,0
-38.577,-41.3338,0,0,0,0,0,0
-38.567,-41.3238,0,0,0,0,0,0
-38.557,-41.3138,0,0,0,0,0,0
-38.547,-41.3038,0,0,0,0,0,0
-38.537,-41.2938,0,0,0,0,0,0
-38.527,-41.2838,0,0,0,0,0,0
-38.517,-41.2738,0,0,0,0,0,0
-38.507,-41.2638,0,0,0,0,0,0
-38.497,-41.2538,0,0,0,0,0,0
-38.487,-41.2438,0,0,0,0,0,0
-38.477,-41.2338,0,0,0,0,0,0
-38.467,-41.2238,0,0,0,0,0,0
-38.457,-41.2138,0,0,0,0,0,0
-38.447,-41.2038,0,0,0,0,0,0
-38.437,-41.1938,0,0,0,0,0,0
-38.427,-41.1838,0,0,0,0,0,0
-38.417,-41.1738,0,0,0,0,0,0
-38.407,-41.1638,0,0,0,0,0,0
-38.397,-41.1538,0,0,0,0,0,0
-38.387,-41.1438,0,0,0,0,0,0
-38.377,-41.1338,0,0,0,0,0,0
-38.367,-41.1238,0,0,0,0,0,0
-38.357,-41.1138,0,0,0,0,0,0
-38.347,-41.1038,0,0,0,0,0,0
-38.337,-41.0938,0,0,0,0,0,0
-38.327,-41.0838,0,0,0,0,0,0
-38.317,-41.0738,0,0,0,0,0,0
-38.307,-41.0638,0,0,0,0,0,0
-38.297,-41.0538,0,0,0,0,0,0
-38.287,-41.0438,0,0,0,0,0,0
-38.277,-41.0338,0,0,0,0,0,0
-38.267,-41.0238,0,0,0,0,0,0
-38.257,-41.0138,0,0,0,0,0,0
-38.247,-41.0038,0,0,0,0,0,0
-38.237,-40.9938,0,0,0,0,0,0
-38.227,-40.9838,0,0,0,0,0,0
-38.217,-40.9738,0,0,0,0,0,0
-38.207,-40.9638,0,0,0,0,0,0
-38.197,-40.9538,0,0,0,0,0,0
-38.187,-40.9438,0,0,0,0,0,0
-38.177,-40.9338,0,0,0,0,0,0
-38.167,-40.9238,0,0,0,0,0,0
-38.157,-40.9138,0,0,0,0,0,0
-38.147,-40.9038,0,0,0,0,0,0
-38.137,-40.8938,0,0,0,0,0,0
-38.127,-40.8838,0,0,0,0,0,0
-38.117,-40.8738,0,0,0,0,0,0
-38.107,-40.8638,0,0,0,0,0,0
-38.097,-40.8538,0,0,0,0,0,0
-38.087,-40.8438,0,0,0,0,0,0
-38.077,-40.8338,0,0,0,0,0,0
-38.067,-40.8238,0,0,0,0,0,0
-38.057,-40.8138,0,0,0,0,0,0
-38.047,-40.8038,0,0,0,0,0,0
-38.037,-40.7938,0,0,0,0,0,0
-38.027,-40.7838,0,0,0,0,0,0
-38.017,-40.7738,0,0,0,0,0,0
-38.007,-40.7638,0,0,0,0,0,0
-37.997,-40.7538,0,0,0,0,0,0
-37.987,-40.7438,0,0,0,0,0,0
-37.977,-40.7338,0,0,0,0,0,0
-37.967,-40.7238,0,0,0,0,0,0
-37.957,-40.7138,0,0,0,0,0,0
-37.947,-40.7038,0,0,0,0,0,0
-37.937,-40.6938,0,0,0,0,0,0
-37.927,-40.6838,0,0,0,0,0,0
-37.917,-40.6738,0,0,0,0,0,0
-37.907,-40.6638,0,0,0,0,0,0
-37.897,-40.6538,0,0,0,0,0,0
-37.887,-40.6438,0,0,0,0,0,0
-37.877,-40.6338,0,0,0,0,0,0
-37.867,-40.6238,0,0,0,0,0,0
-37.857,-40.6138,0,0,0,0,0,0
-37.847,-40.6038,0,0,0,0,0,0
-37.837,-40.5938,0,0,0,0,0,0
-37.827,-40.5838,0,0,0,0,0,0
-37.817,-40.5738,0,0,0,0,0,0
-37.807,-40.5638,0,0,0,0,0,0
-37.797,-40.5538,0,0,0,0,0,0
-37.787,-40.5438,0,0,0,0,0,0
-37.777,-40.5338,0,0,0,0,0,0
-37.767,-40.5238,0,0,0,0,0,0
-37.757,-40.5138,0,0,0,0,0,0
-37.747,-40.5038,0,0,0,0,0,0
-37.737,-40.4938,0,0,0,0,0,0
-37.727,-40.4838,0,0,0,0,0,0
-37.717,-40.4738,0,0,0,0,0,0
-37.707,-40.4638,0,0,0,0,0,0
-37.697,-40.4538,0,0,0,0,0,0
-37.687,-40.4438,0,0,0,0,0,0
-37.677,-40.4338,0,0,0,0,0,0
-37.667,-40.4238,0,0,0,0,0,0
-37.657,-40.4138,0,0,0,0,0,0
-37.647,-40.4038,0,0,0,0,0,0
-37.637,-40.3938,0,0,0,0,0,0
-37.627,-40.3838,0,0,0,0,0,0
-37.617,-40.3738,0,0,0,0,0,0
-37.607,-40.3638,0,0,0,0,0,0
-37.597,-40.3538,0,0,0,0,0,0
-37.587,-40.3438,0,0,0,0,0,0
-37.577,-40.3338,0,0,0,0,0,0
-37.567,-40.3238,0,0,0,0,0,0
-37.557,-40.3138,0,0,0,0,0,0
-37.547,-40.3038,0,0,0,0,0,0
-37.537,-40.2938,0,0,0,0,0,0
-37.527,-40.2838,0,0,0,0,0,0
-37.517,-40.2738,0,0,0,0,0,0
-37.507,-40.2638,0,0,0,0,0,0
-37.497,-40.2538,0,0,0,0,0,0
-37.487,-40.2438,0,0,0,0,0,0
-37.477,-40.2338,0,0,0,0,0,0
-37.467,-40.2238,0,0,0,0,0,0
-37.457,-40.2138,0,0,0,0,0,0
-37.447,-40.2038,0,0,0,0,0,0
-37.437,-40.1938,0,0,0,0,0,0
-37.427,-40.1838,0,0,0,0,0,0
-37.417,-40.1738,0,0,0,0,0,0
-37.407,-40.1638,0,0,0,0,0,0
-37.397,-40.1538,0,0,0,0,0,0
-37.387,-40.1438,0,0,0,0,0,0
-37.377,-40.1338,0,0,0,0,0,0
-37.367,-40.1238,0,0,0,0,0,0
-37.357,-40.1138,0,0,0,0,0,0
-37.347,-40.1038,0,0,0,0,0,0
-37.337,-40.0938,0,0,0,0,0,0
-37.327,-40.0838,0,0,0,0,0,0
-37.317,-40.0738,0,0,0,0,0,0
-37.307,-40.0638,0,0,0,0,0,0
-37.297,-40.0538,0,0,0,0,0,0
-37.287,-40.0438,0,0,0,0,0,0
-37.277,-40.0338,0,0,0,0,0,0
-37.267,-40.0238,0,0,0,0,0,0
-37.257,-40.0138,0,0,0,0,0,0
-37.247,-40.0038,0,0,0,0,0,0
-37.237,-39.9938,0,0,0,0,0,0
-37.227,-39.9838,0,0,0,0,0,0
-37.217,-39.9738,0,0,0,0,0,0
-37.207,-39.9638,0,0,0,0,0,0
-37.197,-39.9538,0,0,0,0,0,0
-37.187,-39.9438,0,0,0,0,0,0
-37.177,-39.9338,0,0,0,0,0,0
-37.167,-39.9238,0,0,0,0,0,0
-37.157,-39.9138,0,0,0,0,0,0
-37.147,-39.9038,0,0,0,0,0,0
-37.137,-39.8938,0,0,0,0,0,0
-37.127,-39.8838,0,0,0,0,0,0
-37.117,-39.8738,0,0,0,0,0,0
-37.107,-39.8638,0,0,0,0,0,0
-37.097,-39.8538,0,0,0,0,0,0
-37.087,-39.8438,0,0,0,0,0,0
-37.077,-39.8338,0,0,0,0,0,0
-37.067,-39.8238,0,0,0,0,0,0
-37.057,-39.8138,0,0,0,0,0,0
-37.047,-39.8038,0,0,0,0,0,0
-37.037,-39.7938,0,0,0,0,0,0
-37.027,-39.7838,0,0,0,0,0,0
-37.017,-39.7738,0,0,0,0,0,0
-37.007,-39.7638,0,0,0,0,0,0
-36.997,-39.7538,0,0,0,0,0,0
-36.987,-39.7438,0,0,0,0,0,0
-36.977,-39.7338,0,0,0,0,0,0
-36.967,-39.7238,0,0,0,0,0,0
-36.957,-39.7138,0,0,0,0,0,0
-36.947,-39.7038,0,0,0,0,0,0
-36.937,-39.6938,0,0,0,0,0,0
-36.927,-39.6838,0,0,0,0,0,0
-36.917,-39.6738,0,0,0,0,0,0
-36.907,-39.6638,0,0,0,0,0,0
-36.897,-39.6538,0,0,0,0,0,0
-36.887,-39.6438,0,0,0,0,0,0
-36.877,-39.6338,0,0,0,0,0,0
-36.867,-39.6238,0,0,0,0,0,0
-36.857,-39.6138,0,0,0,0,0,0
-36.847,-39.6038,0,0,0,0,0,0
-36.837,-39.5938,0,0,0,0,0,0
-36.827,-39.5838,0,0,0,0,0,0
-36.817,-39.5738,0,0,0,0,0,0
-36.807,-39.5638,0,0,0,0,0,0
-36.797,-39.5538,0,0,0,0,0,0
-36.787,-39.5438,0,0,0,0,0,0
-36.777,-39.5338,0,0,0,0,0,0
-36.767,-39.5238,0,0,0,0,0,0
-36.757,-39.5138,0,0,0,0,0,0
-36.747,-39.5038,0,0,0,0,0,0
-36.737,-39.4938,0,0,0,0,0,0
-36.727,-39.4838,0,0,0,0,0,0
-36.717,-39.4738,0,0,0,0,0,0
-36.707,-39.4638,0,0,0,0,0,0
-36.697,-39.4538,0,0,0,0,0,0
-36.687,-39.4438,0,0,0,0,0,0
-36.677,-39.4338,0,0,0,0,0,0
-36.667,-39.4238,0,0,0,0,0,0
-36.657,-39.4138,0,0,0,0,0,0
-36.647,-39.4038,0,0,0,0,0,0
-36.637,-39.3938,0,0,0,0,0,0
-36.627,-39.3838,0,0,0,0,0,0
-36.617,-39.3738,0,0,0,0,0,0
-36.607,-39.3638,0,0,0,0,0,0
-36.597,-39.3538,0,0,0,0,0,0
-36.587,-39.3438,0,0,0,0,0,0
-36.577,-39.3338,0,0,0,0,0,0
-36.567,-39.3238,0,0,0,0,0,0
-36.557,-39.3138,0,0,0,0,0,0
-36.547,-39.3038,0,0,0,0,0,0
-36.537,-39.2938,0,0,0,0,0,0
-36.527,-39.2838,0,0,0,0,0,0
-36.517,-39.2738,0,0,0,0,0,0
-36.507,-39.2638,0,0,0,0,0,0
-36.497,-39.2538,0,0,0,0,0,0
-36.487,-39.2438,0,0,0,0,0,0
-36.477,-39.2338,0,0,0,0,0,0
-36.467,-39.2238,0,0,0,0,0,0
-36.457,-39.2138,0,0,0,0,0,0
-36.447,-39.2038,0,0,0,0,0,0
-36.437,-39.1938,0,0,0,0,0,0
-36.427,-39.1838,0,0,0,0,0,0
-36.417,-39.1738,0,0,0,0,0,0
-36.407,-39.1638,0,0,0,0,0,0
-36.397,-39.1538,0,0,0,0,0,0
-36.387,-39.1438,0,0,0,0,0,0
-36.377,-39.1338,0,0,0,0,0,0
-36.367,-39.1238,0,0,0,0,0,0
-36.357,-39.1138,0,0,0,0,0,0
-36.347,-39.1038,0,0,0,0,0,0
-36.337,-39.0938,0,0,0,0,0,0
-36.327,-39.0838,0,0,0,0,0,0
-36.317,-39.0738,0,0,0,0,0,0
-36.307,-39.0638,0,0,0,0,0,0
-36.297,-39.0538,0,0,0,0,0,0
-36.287,-39.0438,0,0,0,0,0,0
-36.277,-39.0338,0,0,0,0,0,0
-36.267,-39.0238,0,0,0,0,0,0
-36.257,-39.0138,0,0,0,0,0,0
-36.247,-39.0038,0,0,0,0,0,0
-36.237,-38.9938,0,0,0,0,0,0
-36.227,-38.9838,0,0,0,0,0,0
-36.217,-38.9738,0,0,0,0,0,0
-36.207,-38.9638,0,0,0,0,0,0
-36.197,-38.9538,0,0,0,0,0,0
-36.187,-38.9438,0,0,0,0,0,0
-36.177,-38.9338,0,0,0,0,0,0
-36.167,-38.9238,0,0,0,0,0,0
-36.157,-38.9138,0,0,0,0,0,0
-36.147,-38.9038,0,0,0,0,0,0
-36.137,-38.8938,0,0,0,0,0,0
-36.127,-38.8838,0,0,0,0,0,0
-36.117,-38.8738,0,0,0,0,0,0
-36.107,-38.8638,0,0,0,0,0,0
-36.097,-38.8538,0,0,0,0,0,0
-36.087,-38.8438,0,0,0,0,0,0
-36.077,-38.8338,0,0,0,0,0,0
-36.067,-38.8238,0,0,0,0,0,0
-36.057,-38.8138,0,0,0,0,0,0
-36.047,-38.8038,0,0,0,0,0,0
