# lindo2_mp-1222355 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 12.131 eV. Gap is the fixed-occ nscf value (-0.028 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,Nd_d,Nd_f,Nd_p,Nd_s,O_p,O_s
-33.982,-46.1131,3.86e-05,0.0035924,8.844e-05,5.0824e-05,2.59264e-05,2.62068e-05,1.816e-05,1.3612e-06
-33.972,-46.1031,7.24e-05,0.00675108,0.0001668,9.6004e-05,4.8688e-05,4.9114e-05,3.42e-05,2.568e-06
-33.962,-46.0931,0.0001336,0.0124576,0.0003068,0.00017628,9.0068e-05,8.938e-05,6.292e-05,4.74e-06
-33.952,-46.0831,0.00024,0.0224248,0.0005524,0.000317068,0.000162288,0.000160244,0.00011392,8.564e-06
-33.942,-46.0731,0.000424,0.0395456,0.000974,0.00055672,0.00028604,0.00028064,0.0002008,1.5148e-05
-33.932,-46.0631,0.000728,0.0683224,0.001676,0.00096012,0.00049496,0.000479176,0.0003468,2.616e-05
-33.922,-46.0531,0.001224,0.114948,0.002828,0.00161772,0.00083172,0.00080536,0.000584,4.424e-05
-33.912,-46.0431,0.002016,0.189708,0.004664,0.00266268,0.00137532,0.00131684,0.0009668,7.308e-05
-33.902,-46.0331,0.003248,0.30628,0.007508,0.00427668,0.00221916,0.00211432,0.00156,0.0001186
-33.892,-46.0231,0.00512,0.482352,0.01188,0.006778,0.0035052,0.0033146,0.002472,0.00018748
-33.882,-46.0131,0.00788,0.747656,0.01832,0.0104496,0.005436,0.00507496,0.00382,0.0002904
-33.872,-46.0031,0.01192,1.12956,0.02772,0.0157356,0.0081948,0.0076128,0.005776,0.00044
-33.862,-45.9931,0.01756,1.66828,0.04092,0.0232408,0.0121296,0.011198,0.008548,0.0006528
-33.852,-45.9831,0.02536,2.41204,0.05908,0.0335308,0.0175252,0.0160732,0.012376,0.0009468
-33.842,-45.9731,0.0358,3.41316,0.0836,0.047212,0.0247864,0.0225604,0.01752,0.0013412
-33.832,-45.9631,0.0496,4.70392,0.1156,0.065372,0.03432,0.031022,0.02428,0.0018604
-33.822,-45.9531,0.0668,6.3926,0.1568,0.088372,0.046648,0.0415008,0.03288,0.002528
-33.812,-45.9431,0.0884,8.4836,0.2068,0.117024,0.06166,0.0547984,0.0436,0.003352
-33.802,-45.9331,0.1144,10.9768,0.268,0.151332,0.079912,0.070516,0.05656,0.004356
-33.792,-45.9231,0.1444,13.9124,0.3392,0.191288,0.101008,0.088656,0.0716,0.005516
-33.782,-45.9131,0.1788,17.25,0.4204,0.236896,0.125348,0.109212,0.0892,0.006892
-33.772,-45.9031,0.2164,20.91,0.51,0.286544,0.152116,0.131388,0.10812,0.008372
-33.762,-45.8931,0.2564,24.8112,0.6044,0.339824,0.180912,0.154772,0.12856,0.00994
-33.752,-45.8831,0.2968,28.7936,0.7008,0.393512,0.209712,0.17856,0.1492,0.011592
-33.742,-45.8731,0.3364,32.6552,0.7968,0.447992,0.238508,0.201148,0.1696,0.0132
-33.732,-45.8631,0.3728,36.276,0.8824,0.49644,0.264872,0.22212,0.1884,0.014664
-33.722,-45.8531,0.404,39.4144,0.96,0.53684,0.287588,0.239472,0.2048,0.01598
-33.712,-45.8431,0.428,41.8292,1.02,0.56916,0.30584,0.252788,0.218,0.017048
-33.702,-45.8331,0.444,43.4396,1.056,0.58936,0.3184,0.260872,0.2268,0.017784
-33.692,-45.8231,0.452,44.2452,1.076,0.60144,0.32368,0.263308,0.2308,0.018144
-33.682,-45.8131,0.448,44.2456,1.068,0.59744,0.32244,0.2601,0.23,0.01808
-33.672,-45.8031,0.436,43.0404,1.04,0.58128,0.31392,0.251244,0.224,0.017672
-33.662,-45.7931,0.416,41.0304,0.992,0.54904,0.29892,0.237548,0.2132,0.016856
-33.652,-45.7831,0.3852,38.0956,0.9236,0.51272,0.27864,0.219816,0.1988,0.015748
-33.642,-45.7731,0.35,34.7176,0.8412,0.46428,0.2539,0.198856,0.1816,0.014368
-33.632,-45.7631,0.3116,30.9372,0.7464,0.415832,0.22632,0.17588,0.1616,0.012848
-33.622,-45.7531,0.2712,26.9956,0.6516,0.361344,0.19752,0.152492,0.14124,0.011232
-33.612,-45.7431,0.2308,23.0136,0.5556,0.307656,0.168316,0.129104,0.12072,0.009624
-33.602,-45.7331,0.192,19.192,0.4636,0.256388,0.140732,0.10692,0.1008,0.008064
-33.592,-45.7231,0.1564,15.692,0.378,0.208752,0.114776,0.086752,0.08244,0.0066
-33.582,-45.7131,0.1248,12.514,0.3016,0.16636,0.09166,0.0686,0.06588,0.005284
-33.572,-45.7031,0.0972,9.778,0.2356,0.13002,0.071784,0.053272,0.05144,0.004132
-33.562,-45.6931,0.074,7.4844,0.18,0.098932,0.054752,0.0403596,0.03936,0.003164
-33.552,-45.6831,0.0552,5.59352,0.1344,0.0739,0.04096,0.0299892,0.02944,0.0023736
-33.542,-45.6731,0.0404,4.10464,0.098,0.054112,0.029972,0.0217972,0.02152,0.001742
-33.532,-45.6631,0.02884,2.92572,0.0702,0.0386064,0.0214536,0.0154612,0.01544,0.0012472
-33.522,-45.6531,0.02012,2.04848,0.04908,0.0269768,0.0150056,0.0107388,0.0108,0.0008784
-33.512,-45.6431,0.01376,1.4006,0.0336,0.018456,0.0103008,0.0073076,0.007416,0.0006032
-33.502,-45.6331,0.0092,0.9378,0.02248,0.012318,0.006894,0.0048456,0.00496,0.000404
-33.492,-45.6231,0.006,0.615808,0.01472,0.0080772,0.0045016,0.00315776,0.003252,0.00026552
-33.482,-45.6131,0.003844,0.394452,0.00944,0.0051696,0.00289552,0.00201112,0.002088,0.0001708
-33.472,-45.6031,0.002404,0.247148,0.005904,0.00323116,0.00181676,0.001252,0.0013072,0.00010728
-33.462,-45.5931,0.001472,0.151752,0.00362,0.00197916,0.0011152,0.00076336,0.0008028,6.604e-05
-33.452,-45.5831,0.00088,0.090976,0.002172,0.00118748,0.00066912,0.00045244,0.0004824,3.968e-05
-33.442,-45.5731,0.000516,0.0535392,0.001276,0.00069476,0.00039216,0.000264596,0.0002832,2.3372e-05
-33.432,-45.5631,0.0002956,0.0306756,0.0007288,0.000398284,0.000225468,0.000150692,0.0001628,1.3448e-05
-33.422,-45.5531,0.0001656,0.0172304,0.00041,0.000223384,0.000126524,8.404e-05,9.14e-05,7.588e-06
-33.412,-45.5431,9.08e-05,0.0094608,0.0002252,0.0001224,6.9748e-05,4.606e-05,5.028e-05,4.172e-06
-33.402,-45.5331,4.88e-05,0.00507296,0.0001208,6.5848e-05,3.7388e-05,2.44884e-05,2.704e-05,2.25e-06
-33.392,-45.5231,2.556e-05,0.0026774,6.348e-05,3.45404e-05,1.96672e-05,1.27708e-05,1.4232e-05,1.184e-06
-33.382,-45.5131,1.312e-05,0.001377,3.264e-05,1.77352e-05,1.01372e-05,6.5472e-06,7.312e-06,6.1e-07
-33.372,-45.5031,6.6e-06,0.00069256,1.64e-05,8.9284e-06,5.1092e-06,3.26188e-06,3.688e-06,3.086e-07
-33.362,-45.4931,3.236e-06,0.000341452,8.068e-06,4.3636e-06,2.506e-06,1.59272e-06,1.816e-06,1.5232e-07
-33.352,-45.4831,1.556e-06,0.000164288,3.884e-06,2.10896e-06,1.20836e-06,7.6404e-07,8.752e-07,7.356e-08
-33.342,-45.4731,7.32e-07,7.7316e-05,1.828e-06,9.8988e-07,5.6772e-07,3.56596e-07,4.12e-07,3.476e-08
-33.332,-45.4631,3.364e-07,3.56784e-05,8.436e-07,4.5656e-07,2.62352e-07,1.62952e-07,1.9e-07,1.6056e-08
-33.322,-45.4531,1.512e-07,1.6068e-05,3.792e-07,2.05258e-07,1.18e-07,7.3192e-08,8.584e-08,7.248e-09
-33.312,-45.4431,6.64e-08,7.088e-06,1.672e-07,9.0508e-08,5.2304e-08,3.19488e-08,3.784e-08,3.206e-09
-33.302,-45.4331,2.864e-08,3.06072e-06,7.2e-08,3.89524e-08,2.2504e-08,1.37104e-08,1.632e-08,1.3876e-09
-33.292,-45.4231,1.204e-08,1.2928e-06,3.036e-08,1.64056e-08,9.4884e-09,5.7436e-09,6.876e-09,5.864e-10
-33.282,-45.4131,4.96e-09,5.31644e-07,1.252e-08,6.7484e-09,3.9188e-09,2.35028e-09,2.848e-09,2.4296e-10
-33.272,-45.4031,2e-09,2.1548e-07,5.056e-09,2.72768e-09,1.58136e-09,9.4264e-10,1.148e-09,9.844e-11
-33.262,-45.3931,7.88e-10,8.4988e-08,1.996e-09,1.07496e-09,6.2444e-10,3.698e-10,4.544e-10,3.896e-11
-33.252,-45.3831,3.044e-10,3.29076e-08,7.719e-10,4.1624e-10,2.4166e-10,1.42024e-10,1.756e-10,1.5084e-11
-33.242,-45.3731,1.148e-10,1.24464e-08,2.908e-10,1.56804e-10,9.1232e-11,5.3416e-11,6.652e-11,5.704e-12
-33.232,-45.3631,4.24e-11,4.59208e-09,1.076e-10,5.7792e-11,3.3796e-11,1.95876e-11,2.456e-11,2.1208e-12
-33.222,-45.3531,1.528e-11,1.66364e-09,3.888e-11,2.09348e-11,1.22448e-11,7.0424e-12,8.88e-12,7.684e-13
-33.212,-45.3431,5.4e-12,5.8816e-10,1.376e-11,7.396e-12,4.3384e-12,2.4732e-12,3.148e-12,2.7268e-13
-33.202,-45.3331,8.56e-13,1.26048e-10,2.484e-12,1.31392e-12,8.7128e-13,2.5248e-13,6.58e-13,7.4452e-14
-33.192,-45.3231,0,0,0,0,0,0,0,0
-33.182,-45.3131,0,0,0,0,0,0,0,0
-33.172,-45.3031,0,0,0,0,0,0,0,0
-33.162,-45.2931,0,0,0,0,0,0,0,0
-33.152,-45.2831,0,0,0,0,0,0,0,0
-33.142,-45.2731,0,0,0,0,0,0,0,0
-33.132,-45.2631,0,0,0,0,0,0,0,0
-33.122,-45.2531,0,0,0,0,0,0,0,0
-33.112,-45.2431,0,0,0,0,0,0,0,0
-33.102,-45.2331,0,0,0,0,0,0,0,0
-33.092,-45.2231,0,0,0,0,0,0,0,0
-33.082,-45.2131,0,0,0,0,0,0,0,0
-33.072,-45.2031,0,0,0,0,0,0,0,0
-33.062,-45.1931,0,0,0,0,0,0,0,0
-33.052,-45.1831,0,0,0,0,0,0,0,0
-33.042,-45.1731,0,0,0,0,0,0,0,0
-33.032,-45.1631,0,0,0,0,0,0,0,0
-33.022,-45.1531,0,0,0,0,0,0,0,0
-33.012,-45.1431,0,0,0,0,0,0,0,0
-33.002,-45.1331,0,0,0,0,0,0,0,0
-32.992,-45.1231,0,0,0,0,0,0,0,0
-32.982,-45.1131,0,0,0,0,0,0,0,0
-32.972,-45.1031,0,0,0,0,0,0,0,0
-32.962,-45.0931,0,0,0,0,0,0,0,0
-32.952,-45.0831,0,0,0,0,0,0,0,0
-32.942,-45.0731,0,0,0,0,0,0,0,0
-32.932,-45.0631,0,0,0,0,0,0,0,0
-32.922,-45.0531,0,0,0,0,0,0,0,0
-32.912,-45.0431,0,0,0,0,0,0,0,0
-32.902,-45.0331,0,0,0,0,0,0,0,0
-32.892,-45.0231,0,0,0,0,0,0,0,0
-32.882,-45.0131,0,0,0,0,0,0,0,0
-32.872,-45.0031,0,0,0,0,0,0,0,0
-32.862,-44.9931,0,0,0,0,0,0,0,0
-32.852,-44.9831,0,0,0,0,0,0,0,0
-32.842,-44.9731,0,0,0,0,0,0,0,0
-32.832,-44.9631,0,0,0,0,0,0,0,0
-32.822,-44.9531,0,0,0,0,0,0,0,0
-32.812,-44.9431,0,0,0,0,0,0,0,0
-32.802,-44.9331,0,0,0,0,0,0,0,0
-32.792,-44.9231,0,0,0,0,0,0,0,0
-32.782,-44.9131,0,0,0,0,0,0,0,0
-32.772,-44.9031,0,0,0,0,0,0,0,0
-32.762,-44.8931,0,0,0,0,0,0,0,0
-32.752,-44.8831,0,0,0,0,0,0,0,0
-32.742,-44.8731,0,0,0,0,0,0,0,0
-32.732,-44.8631,0,0,0,0,0,0,0,0
-32.722,-44.8531,0,0,0,0,0,0,0,0
-32.712,-44.8431,0,0,0,0,0,0,0,0
-32.702,-44.8331,0,0,0,0,0,0,0,0
-32.692,-44.8231,0,0,0,0,0,0,0,0
-32.682,-44.8131,0,0,0,0,0,0,0,0
-32.672,-44.8031,0,0,0,0,0,0,0,0
-32.662,-44.7931,0,0,0,0,0,0,0,0
-32.652,-44.7831,0,0,0,0,0,0,0,0
-32.642,-44.7731,0,0,0,0,0,0,0,0
-32.632,-44.7631,0,0,0,0,0,0,0,0
-32.622,-44.7531,0,0,0,0,0,0,0,0
-32.612,-44.7431,0,0,0,0,0,0,0,0
-32.602,-44.7331,0,0,0,0,0,0,0,0
-32.592,-44.7231,0,0,0,0,0,0,0,0
-32.582,-44.7131,0,0,0,0,0,0,0,0
-32.572,-44.7031,0,0,0,0,0,0,0,0
-32.562,-44.6931,0,0,0,0,0,0,0,0
-32.552,-44.6831,0,0,0,0,0,0,0,0
-32.542,-44.6731,0,0,0,0,0,0,0,0
-32.532,-44.6631,0,0,0,0,0,0,0,0
-32.522,-44.6531,0,0,0,0,0,0,0,0
-32.512,-44.6431,0,0,0,0,0,0,0,0
-32.502,-44.6331,0,0,0,0,0,0,0,0
-32.492,-44.6231,0,0,0,0,0,0,0,0
-32.482,-44.6131,0,0,0,0,0,0,0,0
-32.472,-44.6031,0,0,0,0,0,0,0,0
-32.462,-44.5931,0,0,0,0,0,0,0,0
-32.452,-44.5831,0,0,0,0,0,0,0,0
-32.442,-44.5731,0,0,0,0,0,0,0,0
-32.432,-44.5631,0,0,0,0,0,0,0,0
-32.422,-44.5531,0,0,0,0,0,0,0,0
-32.412,-44.5431,0,0,0,0,0,0,0,0
-32.402,-44.5331,0,0,0,0,0,0,0,0
-32.392,-44.5231,0,0,0,0,0,0,0,0
-32.382,-44.5131,0,0,0,0,0,0,0,0
-32.372,-44.5031,0,0,0,0,0,0,0,0
-32.362,-44.4931,0,0,0,0,0,0,0,0
-32.352,-44.4831,0,0,0,0,0,0,0,0
-32.342,-44.4731,0,0,0,0,0,0,0,0
-32.332,-44.4631,0,0,0,0,0,0,0,0
-32.322,-44.4531,0,0,0,0,0,0,0,0
-32.312,-44.4431,0,0,0,0,0,0,0,0
-32.302,-44.4331,0,0,0,0,0,0,0,0
-32.292,-44.4231,0,0,0,0,0,0,0,0
-32.282,-44.4131,0,0,0,0,0,0,0,0
-32.272,-44.4031,0,0,0,0,0,0,0,0
-32.262,-44.3931,0,0,0,0,0,0,0,0
-32.252,-44.3831,0,0,0,0,0,0,0,0
-32.242,-44.3731,0,0,0,0,0,0,0,0
-32.232,-44.3631,0,0,0,0,0,0,0,0
-32.222,-44.3531,0,0,0,0,0,0,0,0
-32.212,-44.3431,0,0,0,0,0,0,0,0
-32.202,-44.3331,0,0,0,0,0,0,0,0
-32.192,-44.3231,0,0,0,0,0,0,0,0
-32.182,-44.3131,0,0,0,0,0,0,0,0
-32.172,-44.3031,0,0,0,0,0,0,0,0
-32.162,-44.2931,0,0,0,0,0,0,0,0
-32.152,-44.2831,0,0,0,0,0,0,0,0
-32.142,-44.2731,0,0,0,0,0,0,0,0
-32.132,-44.2631,0,0,0,0,0,0,0,0
-32.122,-44.2531,0,0,0,0,0,0,0,0
-32.112,-44.2431,0,0,0,0,0,0,0,0
-32.102,-44.2331,0,0,0,0,0,0,0,0
-32.092,-44.2231,0,0,0,0,0,0,0,0
-32.082,-44.2131,0,0,0,0,0,0,0,0
-32.072,-44.2031,0,0,0,0,0,0,0,0
-32.062,-44.1931,0,0,0,0,0,0,0,0
-32.052,-44.1831,0,0,0,0,0,0,0,0
-32.042,-44.1731,0,0,0,0,0,0,0,0
-32.032,-44.1631,0,0,0,0,0,0,0,0
-32.022,-44.1531,0,0,0,0,0,0,0,0
-32.012,-44.1431,0,0,0,0,0,0,0,0
-32.002,-44.1331,0,0,0,0,0,0,0,0
-31.992,-44.1231,0,0,0,0,0,0,0,0
-31.982,-44.1131,0,0,0,0,0,0,0,0
-31.972,-44.1031,0,0,0,0,0,0,0,0
-31.962,-44.0931,0,0,0,0,0,0,0,0
-31.952,-44.0831,0,0,0,0,0,0,0,0
-31.942,-44.0731,0,0,0,0,0,0,0,0
-31.932,-44.0631,0,0,0,0,0,0,0,0
-31.922,-44.0531,0,0,0,0,0,0,0,0
-31.912,-44.0431,0,0,0,0,0,0,0,0
-31.902,-44.0331,0,0,0,0,0,0,0,0
-31.892,-44.0231,0,0,0,0,0,0,0,0
-31.882,-44.0131,0,0,0,0,0,0,0,0
-31.872,-44.0031,0,0,0,0,0,0,0,0
-31.862,-43.9931,0,0,0,0,0,0,0,0
-31.852,-43.9831,0,0,0,0,0,0,0,0
-31.842,-43.9731,0,0,0,0,0,0,0,0
-31.832,-43.9631,0,0,0,0,0,0,0,0
-31.822,-43.9531,0,0,0,0,0,0,0,0
-31.812,-43.9431,0,0,0,0,0,0,0,0
-31.802,-43.9331,0,0,0,0,0,0,0,0
-31.792,-43.9231,0,0,0,0,0,0,0,0
-31.782,-43.9131,0,0,0,0,0,0,0,0
-31.772,-43.9031,0,0,0,0,0,0,0,0
-31.762,-43.8931,0,0,0,0,0,0,0,0
-31.752,-43.8831,0,0,0,0,0,0,0,0
-31.742,-43.8731,0,0,0,0,0,0,0,0
-31.732,-43.8631,0,0,0,0,0,0,0,0
-31.722,-43.8531,0,0,0,0,0,0,0,0
-31.712,-43.8431,0,0,0,0,0,0,0,0
-31.702,-43.8331,0,0,0,0,0,0,0,0
-31.692,-43.8231,0,0,0,0,0,0,0,0
-31.682,-43.8131,0,0,0,0,0,0,0,0
-31.672,-43.8031,0,0,0,0,0,0,0,0
-31.662,-43.7931,0,0,0,0,0,0,0,0
-31.652,-43.7831,0,0,0,0,0,0,0,0
-31.642,-43.7731,0,0,0,0,0,0,0,0
-31.632,-43.7631,0,0,0,0,0,0,0,0
-31.622,-43.7531,0,0,0,0,0,0,0,0
-31.612,-43.7431,0,0,0,0,0,0,0,0
-31.602,-43.7331,0,0,0,0,0,0,0,0
-31.592,-43.7231,0,0,0,0,0,0,0,0
-31.582,-43.7131,0,0,0,0,0,0,0,0
-31.572,-43.7031,0,0,0,0,0,0,0,0
-31.562,-43.6931,0,0,0,0,0,0,0,0
-31.552,-43.6831,0,0,0,0,0,0,0,0
-31.542,-43.6731,0,0,0,0,0,0,0,0
-31.532,-43.6631,0,0,0,0,0,0,0,0
-31.522,-43.6531,0,0,0,0,0,0,0,0
-31.512,-43.6431,0,0,0,0,0,0,0,0
-31.502,-43.6331,0,0,0,0,0,0,0,0
-31.492,-43.6231,0,0,0,0,0,0,0,0
-31.482,-43.6131,0,0,0,0,0,0,0,0
-31.472,-43.6031,0,0,0,0,0,0,0,0
-31.462,-43.5931,0,0,0,0,0,0,0,0
-31.452,-43.5831,0,0,0,0,0,0,0,0
-31.442,-43.5731,0,0,0,0,0,0,0,0
-31.432,-43.5631,0,0,0,0,0,0,0,0
-31.422,-43.5531,0,0,0,0,0,0,0,0
-31.412,-43.5431,0,0,0,0,0,0,0,0
-31.402,-43.5331,0,0,0,0,0,0,0,0
-31.392,-43.5231,0,0,0,0,0,0,0,0
-31.382,-43.5131,0,0,0,0,0,0,0,0
-31.372,-43.5031,0,0,0,0,0,0,0,0
-31.362,-43.4931,0,0,0,0,0,0,0,0
-31.352,-43.4831,0,0,0,0,0,0,0,0
-31.342,-43.4731,0,0,0,0,0,0,0,0
-31.332,-43.4631,0,0,0,0,0,0,0,0
-31.322,-43.4531,0,0,0,0,0,0,0,0
-31.312,-43.4431,0,0,0,0,0,0,0,0
-31.302,-43.4331,0,0,0,0,0,0,0,0
-31.292,-43.4231,0,0,0,0,0,0,0,0
-31.282,-43.4131,0,0,0,0,0,0,0,0
