# licl_mp-22905 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 1.576 eV. Gap is the fixed-occ nscf value (6.260 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Cl_p,Cl_s,Li_p,Li_s
-42.208,-43.7836,1.192e-05,1.852e-07,5.32e-05,0.00493388
-42.198,-43.7736,2.224e-05,3.456e-07,9.92e-05,0.00918592
-42.188,-43.7636,4.08e-05,6.32e-07,0.0001812,0.0167672
-42.178,-43.7536,7.28e-05,1.128e-06,0.0003232,0.0299648
-42.168,-43.7436,0.0001268,1.968e-06,0.000564,0.052548
-42.158,-43.7336,0.0002172,3.364e-06,0.000964,0.0894536
-42.148,-43.7236,0.0003632,5.64e-06,0.001612,0.149924
-42.138,-43.7136,0.000596,9.2e-06,0.002632,0.245096
-42.128,-43.7036,0.000952,1.472e-05,0.0042,0.392312
-42.118,-43.6936,0.001488,2.304e-05,0.0066,0.61374
-42.108,-43.6836,0.00228,3.528e-05,0.01008,0.938668
-42.098,-43.6736,0.00342,5.28e-05,0.01508,1.408
-42.088,-43.6636,0.005,7.72e-05,0.02204,2.06188
-42.078,-43.6536,0.0072,0.0001108,0.03156,2.9564
-42.068,-43.6436,0.01008,0.0001552,0.0444,4.1318
-42.058,-43.6336,0.0138,0.0002128,0.0604,5.6962
-42.048,-43.6236,0.01852,0.0002856,0.0812,7.62172
-42.038,-43.6136,0.02432,0.0003748,0.1064,10.0285
-42.028,-43.6036,0.03124,0.00048,0.1364,12.8366
-42.018,-43.5936,0.03924,0.000604,0.1712,16.126
-42.008,-43.5836,0.048,0.00074,0.21,19.8164
-41.998,-43.5736,0.058,0.000892,0.252,23.828
-41.988,-43.5636,0.068,0.001044,0.296,28
-41.978,-43.5536,0.0784,0.001204,0.34,32.172
-41.968,-43.5436,0.088,0.001352,0.382,36.1836
-41.958,-43.5336,0.0968,0.001488,0.42,39.794
-41.948,-43.5236,0.1044,0.0016,0.452,42.9228
-41.938,-43.5136,0.1096,0.001684,0.476,44.9292
-41.928,-43.5036,0.1132,0.001732,0.488,46.5332
-41.918,-43.4936,0.114,0.001744,0.492,46.9344
-41.908,-43.4836,0.1124,0.001716,0.484,46.1324
