# licl_mp-22905 total DOS (QE dos.x, degauss 0.007 Ry). VBM 1.576 / CBM 7.836 / gap 6.260 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-40.668,-42.2436,4.618e-74,8
-40.658,-42.2336,2.891e-75,8
-40.648,-42.2236,1.771e-76,8
-40.638,-42.2136,1.061e-77,8
-40.628,-42.2036,6.219e-79,8
-40.618,-42.1936,3.566e-80,8
-40.608,-42.1836,2e-81,8
-40.598,-42.1736,1.105e-82,8
-40.588,-42.1636,6.739e-84,8
-40.578,-42.1536,1.162e-84,8
-40.568,-42.1436,9.182e-85,8
-40.558,-42.1336,9.182e-85,8
-40.548,-42.1236,9.182e-85,8
-40.538,-42.1136,9.182e-85,8
-40.528,-42.1036,9.182e-85,8
-40.518,-42.0936,9.182e-85,8
-40.508,-42.0836,9.182e-85,8
-40.498,-42.0736,9.182e-85,8
-40.488,-42.0636,9.182e-85,8
-40.478,-42.0536,9.182e-85,8
-40.468,-42.0436,9.182e-85,8
-40.458,-42.0336,9.182e-85,8
-40.448,-42.0236,9.182e-85,8
-40.438,-42.0136,9.182e-85,8
-40.428,-42.0036,9.182e-85,8
-40.418,-41.9936,9.182e-85,8
-40.408,-41.9836,9.182e-85,8
-40.398,-41.9736,9.182e-85,8
-40.388,-41.9636,9.182e-85,8
-40.378,-41.9536,9.182e-85,8
-40.368,-41.9436,9.182e-85,8
-40.358,-41.9336,9.182e-85,8
-40.348,-41.9236,9.182e-85,8
-40.338,-41.9136,9.182e-85,8
-40.328,-41.9036,9.182e-85,8
-40.318,-41.8936,9.182e-85,8
-40.308,-41.8836,9.182e-85,8
-40.298,-41.8736,9.182e-85,8
-40.288,-41.8636,9.182e-85,8
-40.278,-41.8536,9.182e-85,8
-40.268,-41.8436,9.182e-85,8
-40.258,-41.8336,9.182e-85,8
-40.248,-41.8236,9.182e-85,8
-40.238,-41.8136,9.182e-85,8
-40.228,-41.8036,9.182e-85,8
-40.218,-41.7936,9.182e-85,8
-40.208,-41.7836,9.182e-85,8
-40.198,-41.7736,9.182e-85,8
-40.188,-41.7636,9.182e-85,8
-40.178,-41.7536,9.182e-85,8
-40.168,-41.7436,9.182e-85,8
-40.158,-41.7336,9.182e-85,8
-40.148,-41.7236,9.182e-85,8
-40.138,-41.7136,9.182e-85,8
-40.128,-41.7036,9.182e-85,8
-40.118,-41.6936,9.182e-85,8
-40.108,-41.6836,9.182e-85,8
-40.098,-41.6736,9.182e-85,8
-40.088,-41.6636,9.182e-85,8
-40.078,-41.6536,9.182e-85,8
-40.068,-41.6436,9.182e-85,8
-40.058,-41.6336,9.182e-85,8
-40.048,-41.6236,9.182e-85,8
-40.038,-41.6136,9.182e-85,8
-40.028,-41.6036,9.182e-85,8
-40.018,-41.5936,9.182e-85,8
-40.008,-41.5836,9.182e-85,8
-39.998,-41.5736,9.182e-85,8
-39.988,-41.5636,9.182e-85,8
-39.978,-41.5536,9.182e-85,8
-39.968,-41.5436,9.182e-85,8
-39.958,-41.5336,9.182e-85,8
-39.948,-41.5236,9.182e-85,8
-39.938,-41.5136,9.182e-85,8
-39.928,-41.5036,9.182e-85,8
-39.918,-41.4936,9.182e-85,8
-39.908,-41.4836,9.182e-85,8
-39.898,-41.4736,9.182e-85,8
-39.888,-41.4636,9.182e-85,8
-39.878,-41.4536,9.182e-85,8
-39.868,-41.4436,9.182e-85,8
-39.858,-41.4336,9.182e-85,8
-39.848,-41.4236,9.182e-85,8
-39.838,-41.4136,9.182e-85,8
-39.828,-41.4036,9.182e-85,8
-39.818,-41.3936,9.182e-85,8
-39.808,-41.3836,9.182e-85,8
-39.798,-41.3736,9.182e-85,8
-39.788,-41.3636,9.182e-85,8
-39.778,-41.3536,9.182e-85,8
-39.768,-41.3436,9.182e-85,8
-39.758,-41.3336,9.182e-85,8
-39.748,-41.3236,9.182e-85,8
-39.738,-41.3136,9.182e-85,8
-39.728,-41.3036,9.182e-85,8
-39.718,-41.2936,9.182e-85,8
-39.708,-41.2836,9.182e-85,8
-39.698,-41.2736,9.182e-85,8
-39.688,-41.2636,9.182e-85,8
-39.678,-41.2536,9.182e-85,8
-39.668,-41.2436,9.182e-85,8
-39.658,-41.2336,9.182e-85,8
-39.648,-41.2236,9.182e-85,8
-39.638,-41.2136,9.182e-85,8
-39.628,-41.2036,9.182e-85,8
-39.618,-41.1936,9.182e-85,8
-39.608,-41.1836,9.182e-85,8
-39.598,-41.1736,9.182e-85,8
-39.588,-41.1636,9.182e-85,8
-39.578,-41.1536,9.182e-85,8
-39.568,-41.1436,9.182e-85,8
-39.558,-41.1336,9.182e-85,8
-39.548,-41.1236,9.182e-85,8
-39.538,-41.1136,9.182e-85,8
-39.528,-41.1036,9.182e-85,8
-39.518,-41.0936,9.182e-85,8
-39.508,-41.0836,9.182e-85,8
-39.498,-41.0736,9.182e-85,8
-39.488,-41.0636,9.182e-85,8
-39.478,-41.0536,9.182e-85,8
-39.468,-41.0436,9.182e-85,8
-39.458,-41.0336,9.182e-85,8
-39.448,-41.0236,9.182e-85,8
-39.438,-41.0136,9.182e-85,8
-39.428,-41.0036,9.182e-85,8
-39.418,-40.9936,9.182e-85,8
-39.408,-40.9836,9.182e-85,8
-39.398,-40.9736,9.182e-85,8
-39.388,-40.9636,9.182e-85,8
-39.378,-40.9536,9.182e-85,8
-39.368,-40.9436,9.182e-85,8
-39.358,-40.9336,9.182e-85,8
-39.348,-40.9236,9.182e-85,8
-39.338,-40.9136,9.182e-85,8
-39.328,-40.9036,9.182e-85,8
-39.318,-40.8936,9.182e-85,8
-39.308,-40.8836,9.182e-85,8
-39.298,-40.8736,9.182e-85,8
-39.288,-40.8636,9.182e-85,8
-39.278,-40.8536,9.182e-85,8
-39.268,-40.8436,9.182e-85,8
-39.258,-40.8336,9.182e-85,8
-39.248,-40.8236,9.182e-85,8
-39.238,-40.8136,9.182e-85,8
-39.228,-40.8036,9.182e-85,8
-39.218,-40.7936,9.182e-85,8
-39.208,-40.7836,9.182e-85,8
-39.198,-40.7736,9.182e-85,8
-39.188,-40.7636,9.182e-85,8
-39.178,-40.7536,9.182e-85,8
-39.168,-40.7436,9.182e-85,8
-39.158,-40.7336,9.182e-85,8
-39.148,-40.7236,9.182e-85,8
-39.138,-40.7136,9.182e-85,8
-39.128,-40.7036,9.182e-85,8
-39.118,-40.6936,9.182e-85,8
-39.108,-40.6836,9.182e-85,8
-39.098,-40.6736,9.182e-85,8
-39.088,-40.6636,9.182e-85,8
-39.078,-40.6536,9.182e-85,8
-39.068,-40.6436,9.182e-85,8
-39.058,-40.6336,9.182e-85,8
-39.048,-40.6236,9.182e-85,8
-39.038,-40.6136,9.182e-85,8
-39.028,-40.6036,9.182e-85,8
-39.018,-40.5936,9.182e-85,8
-39.008,-40.5836,9.182e-85,8
-38.998,-40.5736,9.182e-85,8
-38.988,-40.5636,9.182e-85,8
-38.978,-40.5536,9.182e-85,8
-38.968,-40.5436,9.182e-85,8
-38.958,-40.5336,9.182e-85,8
-38.948,-40.5236,9.182e-85,8
-38.938,-40.5136,9.182e-85,8
-38.928,-40.5036,9.182e-85,8
-38.918,-40.4936,9.182e-85,8
-38.908,-40.4836,9.182e-85,8
-38.898,-40.4736,9.182e-85,8
-38.888,-40.4636,9.182e-85,8
-38.878,-40.4536,9.182e-85,8
-38.868,-40.4436,9.182e-85,8
-38.858,-40.4336,9.182e-85,8
-38.848,-40.4236,9.182e-85,8
-38.838,-40.4136,9.182e-85,8
-38.828,-40.4036,9.182e-85,8
-38.818,-40.3936,9.182e-85,8
-38.808,-40.3836,9.182e-85,8
-38.798,-40.3736,9.182e-85,8
-38.788,-40.3636,9.182e-85,8
-38.778,-40.3536,9.182e-85,8
-38.768,-40.3436,9.182e-85,8
-38.758,-40.3336,9.182e-85,8
-38.748,-40.3236,9.182e-85,8
-38.738,-40.3136,9.182e-85,8
-38.728,-40.3036,9.182e-85,8
-38.718,-40.2936,9.182e-85,8
