# nd2s3_mp-438 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 10.881 eV. Gap is the fixed-occ nscf value (-0.021 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Nd_d,Nd_f,Nd_p,Nd_s,S_p,S_s
-26.498,-37.3788,2.04e-05,2.24814e-05,7.2436e-06,0.00154748,2.5956e-05,1.9524e-06
-26.488,-37.3688,3.944e-05,4.316e-05,1.39708e-05,0.00297736,5.016e-05,3.7256e-06
-26.478,-37.3588,7.468e-05,8.12716e-05,2.63004e-05,0.00562192,9.48e-05,6.944e-06
-26.468,-37.3488,0.00013844,0.000149081,4.85596e-05,0.0103108,0.00017572,1.2684e-05
-26.458,-37.3388,0.0002508,0.000268909,8.7688e-05,0.0185912,0.000318,2.2684e-05
-26.448,-37.3288,0.0004456,0.000474104,0.0001549,0.032836,0.0005636,3.966e-05
-26.438,-37.3188,0.0007752,0.000816368,0.000267788,0.0567356,0.00098,6.812e-05
-26.428,-37.3088,0.001318,0.00137867,0.000453192,0.0959904,0.0016608,0.00011388
-26.418,-37.2988,0.002192,0.00227644,0.00075264,0.158648,0.002764,0.00018648
-26.408,-37.2888,0.003576,0.00368724,0.00121752,0.25708,0.004496,0.00029952
-26.398,-37.2788,0.005704,0.00582756,0.0019392,0.407896,0.007144,0.00047068
-26.388,-37.2688,0.008908,0.00904604,0.00301436,0.632476,0.011168,0.0007248
-26.378,-37.2588,0.01362,0.0136676,0.00458632,0.963064,0.017072,0.0010892
-26.368,-37.2488,0.020408,0.0203213,0.0068296,1.436,0.025464,0.0016092
-26.358,-37.2388,0.02988,0.0295005,0.0099764,2.09036,0.03728,0.0023216
-26.348,-37.2288,0.04292,0.0419667,0.01429,2.98784,0.05348,0.0032872
-26.338,-37.2188,0.06032,0.058482,0.0200276,4.175,0.07516,0.004552
-26.328,-37.2088,0.08308,0.079808,0.0274328,5.71032,0.10344,0.006188
-26.318,-37.1988,0.112,0.106226,0.0368696,7.69152,0.13904,0.008216
-26.308,-37.1888,0.1482,0.1395,0.048582,10.1366,0.18368,0.010716
-26.298,-37.1788,0.19212,0.178388,0.062732,13.0732,0.23796,0.013724
-26.288,-37.1688,0.244,0.223693,0.079552,16.5344,0.3024,0.017228
-26.278,-37.1588,0.3036,0.275414,0.098612,20.5076,0.3764,0.02126
-26.268,-37.1488,0.3712,0.332349,0.12034,24.9692,0.46,0.025704
-26.258,-37.1388,0.4452,0.392897,0.143492,29.8824,0.5516,0.03056
-26.248,-37.1288,0.524,0.455856,0.168252,35.0548,0.6504,0.03576
-26.238,-37.1188,0.6064,0.51882,0.194216,40.4608,0.7544,0.04108
-26.228,-37.1088,0.6892,0.579384,0.219764,45.9072,0.8576,0.0466
-26.218,-37.0988,0.7708,0.635944,0.244488,51.2324,0.9604,0.05196
-26.208,-37.0888,0.8476,0.6841,0.267972,56.236,1.0616,0.0572
-26.198,-37.0788,0.918,0.727032,0.288612,61.156,1.1524,0.06208
-26.188,-37.0688,0.9792,0.757552,0.306396,65.1912,1.2344,0.06648
-26.178,-37.0588,1.0296,0.779644,0.320116,68.2604,1.3028,0.07032
-26.168,-37.0488,1.0676,0.788908,0.330172,71.0424,1.3564,0.0734
-26.158,-37.0388,1.0912,0.785348,0.335768,72.6568,1.3956,0.07572
-26.148,-37.0288,1.1012,0.773356,0.336496,73.3836,1.4152,0.0772
-26.138,-37.0188,1.0948,0.750136,0.333176,73.1824,1.412,0.07764
-26.128,-37.0088,1.0756,0.719292,0.325,71.8928,1.4,0.07704
-26.118,-36.9988,1.0412,0.678016,0.31278,70.0348,1.364,0.07548
-26.108,-36.9888,0.9948,0.634716,0.296924,66.9696,1.3064,0.07284
-26.098,-36.9788,0.9364,0.5842,0.27784,63.298,1.2396,0.06928
-26.088,-36.9688,0.8688,0.531264,0.256336,58.7004,1.1576,0.06484
-26.078,-36.9588,0.794,0.476316,0.23282,53.6584,1.064,0.05972
-26.068,-36.9488,0.714,0.421356,0.208096,48.4936,0.96,0.05404
-26.058,-36.9388,0.6312,0.366796,0.18338,42.9672,0.8532,0.04812
-26.048,-36.9288,0.5496,0.314636,0.158676,37.44,0.7448,0.042
-26.038,-36.9188,0.4696,0.265684,0.134784,32.0664,0.6392,0.036
-26.028,-36.9088,0.394,0.22034,0.112836,26.9508,0.5384,0.03028
-26.018,-36.8988,0.3244,0.179809,0.092476,22.2268,0.4452,0.02496
-26.008,-36.8888,0.2624,0.144491,0.0743028,17.9668,0.3604,0.020188
-25.998,-36.8788,0.2076,0.113748,0.0586396,14.2832,0.2868,0.015996
-25.988,-36.8688,0.16148,0.0876216,0.0455248,11.0959,0.22316,0.012416
-25.978,-36.8588,0.12304,0.0663096,0.034558,8.4532,0.1704,0.00944
-25.968,-36.8488,0.09188,0.0493708,0.0257352,6.32536,0.12724,0.007028
-25.958,-36.8388,0.06716,0.0360052,0.0187352,4.61112,0.09328,0.005124
-25.948,-36.8288,0.04812,0.0256492,0.0134012,3.315,0.06684,0.003656
-25.938,-36.8188,0.03376,0.0179427,0.0093592,2.32484,0.04696,0.002556
-25.928,-36.8088,0.0232,0.012271,0.00641332,1.5968,0.03228,0.001748
-25.918,-36.7988,0.01558,0.00824892,0.00430924,1.07636,0.021732,0.00117
-25.908,-36.7888,0.010252,0.00541104,0.00282832,0.707584,0.014288,0.0007668
-25.898,-36.7788,0.006604,0.00348024,0.00181672,0.45566,0.009248,0.000492
-25.888,-36.7688,0.004168,0.00218774,0.00114344,0.287652,0.005828,0.0003088
-25.878,-36.7588,0.002572,0.00134877,0.000704436,0.17758,0.0036,0.00018968
-25.868,-36.7488,0.0015524,0.00081448,0.00042484,0.107074,0.002176,0.00011392
