# nd2s3_mp-438 total DOS (QE dos.x, degauss 0.007 Ry). VBM 10.881 / CBM 10.860 / gap -0.021 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-26.498,-37.3788,0.001627,1.627e-05
-26.488,-37.3688,0.003129,4.756e-05
-26.478,-37.3588,0.005889,0.0001064
-26.468,-37.3488,0.01085,0.0002149
-26.458,-37.3388,0.01956,0.0004105
-26.448,-37.3288,0.03452,0.0007557
-26.438,-37.3188,0.05963,0.001352
-26.428,-37.3088,0.1008,0.00236
-26.418,-37.2988,0.1669,0.00403
-26.408,-37.2888,0.2705,0.006735
-26.398,-37.2788,0.4291,0.01103
-26.388,-37.2688,0.6665,0.01769
-26.378,-37.2588,1.014,0.02783
-26.368,-37.2488,1.509,0.04292
-26.358,-37.2388,2.201,0.06493
-26.348,-37.2288,3.143,0.09636
-26.338,-37.2188,4.397,0.1403
-26.328,-37.2088,6.027,0.2006
-26.318,-37.1988,8.094,0.2815
-26.308,-37.1888,10.65,0.3881
-26.298,-37.1788,13.75,0.5255
-26.288,-37.1688,17.39,0.6994
-26.278,-37.1588,21.58,0.9153
-26.268,-37.1488,26.29,1.178
-26.258,-37.1388,31.43,1.492
-26.248,-37.1288,36.91,1.862
-26.238,-37.1188,42.59,2.287
-26.228,-37.1088,48.32,2.771
-26.218,-37.0988,53.93,3.31
-26.208,-37.0888,59.26,3.902
-26.198,-37.0788,64.12,4.544
-26.188,-37.0688,68.39,5.228
-26.178,-37.0588,71.91,5.947
-26.168,-37.0488,74.59,6.693
-26.158,-37.0388,76.34,7.456
-26.148,-37.0288,77.1,8.227
-26.138,-37.0188,76.86,8.996
-26.128,-37.0088,75.61,9.752
-26.118,-36.9988,73.39,10.49
-26.108,-36.9888,70.25,11.19
-26.098,-36.9788,66.3,11.85
-26.088,-36.9688,61.64,12.47
-26.078,-36.9588,56.44,13.03
-26.068,-36.9488,50.86,13.54
-26.058,-36.9388,45.08,13.99
-26.048,-36.9288,39.27,14.38
-26.038,-36.9188,33.61,14.72
-26.028,-36.9088,28.25,15
-26.018,-36.8988,23.3,15.24
-26.008,-36.8888,18.85,15.42
-25.998,-36.8788,14.96,15.57
-25.988,-36.8688,11.63,15.69
-25.978,-36.8588,8.868,15.78
-25.968,-36.8488,6.623,15.84
-25.958,-36.8388,4.846,15.89
-25.948,-36.8288,3.472,15.93
-25.938,-36.8188,2.436,15.95
-25.928,-36.8088,1.674,15.97
-25.918,-36.7988,1.126,15.98
-25.908,-36.7888,0.7412,15.99
-25.898,-36.7788,0.4777,15.99
-25.888,-36.7688,0.3013,16
-25.878,-36.7588,0.186,16
-25.868,-36.7488,0.1124,16
-25.858,-36.7388,0.06642,16
-25.848,-36.7288,0.03843,16
-25.838,-36.7188,0.02175,16
-25.828,-36.7088,0.01205,16
-25.818,-36.6988,0.006531,16
-25.808,-36.6888,0.003464,16
-25.798,-36.6788,0.001797,16
-25.788,-36.6688,0.0009126,16
-25.778,-36.6588,0.0004533,16
-25.768,-36.6488,0.0002203,16
-25.758,-36.6388,0.0001048,16
-25.748,-36.6288,4.875e-05,16
-25.738,-36.6188,2.219e-05,16
-25.728,-36.6088,9.885e-06,16
-25.718,-36.5988,4.307e-06,16
-25.708,-36.5888,1.836e-06,16
-25.698,-36.5788,7.66e-07,16
-25.688,-36.5688,3.126e-07,16
