# nd2o3_mp-2763 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 16.159 eV. Gap is the fixed-occ nscf value (-6.460 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Nd_d,Nd_f,Nd_p,Nd_s,O_p,O_s
-25.671,-41.8303,1.352e-07,3.60218e-07,4.474e-08,2.338e-05,7.14e-08,8.9366e-08
-25.661,-41.8203,2.758e-07,7.04446e-07,9.0876e-08,4.566e-05,1.457e-07,1.7536e-07
-25.651,-41.8103,5.52e-07,1.3509e-06,1.8086e-07,8.786e-05,2.911e-07,3.3713e-07
-25.641,-41.8003,1.084e-06,2.54177e-06,3.5304e-07,0.00016578,5.73e-07,6.3415e-07
-25.631,-41.7903,2.098e-06,4.68346e-06,6.7726e-07,0.00030704,1.101e-06,1.1679e-06
-25.621,-41.7803,3.974e-06,8.4866e-06,1.2726e-06,0.0005544,2.082e-06,2.1224e-06
-25.611,-41.7703,7.42e-06,1.50724e-05,2.3446e-06,0.0009868,3.868e-06,3.7417e-06
-25.601,-41.7603,1.36e-05,2.6223e-05,4.2594e-06,0.001718,7.04e-06,6.5159e-06
-25.591,-41.7503,2.448e-05,4.50418e-05,7.5592e-06,0.0029306,1.261e-05,1.1096e-05
-25.581,-41.7403,4.324e-05,7.56748e-05,1.322e-05,0.004926,2.22e-05,1.8518e-05
-25.571,-41.7303,7.54e-05,0.000125332,2.2606e-05,0.008116,3.84e-05,3.0409e-05
-25.561,-41.7203,0.0001288,0.000204228,3.8276e-05,0.013122,6.52e-05,4.8691e-05
-25.551,-41.7103,0.0002166,0.000324388,6.3306e-05,0.020816,0.0001086,7.694e-05
-25.541,-41.7003,0.0003576,0.000510652,0.00010318,0.032444,0.0001781,0.00011906
-25.531,-41.6903,0.000582,0.000791074,0.00016522,0.04974,0.0002861,0.00018057
-25.521,-41.6803,0.00093,0.00120174,0.00026038,0.0747,0.0004545,0.00026865
-25.511,-41.6703,0.001458,0.00180078,0.00040272,0.1106,0.000707,0.00039316
-25.501,-41.6603,0.00225,0.00264436,0.00061014,0.16074,0.001085,0.0005648
-25.491,-41.6503,0.003422,0.00384672,0.00091304,0.2304,0.001631,0.000796
-25.481,-41.6403,0.005084,0.00551016,0.001344,0.32328,0.002415,0.0011013
-25.471,-41.6303,0.00744,0.00775514,0.0019414,0.44686,0.003515,0.0014972
-25.461,-41.6203,0.0107,0.0107422,0.0027644,0.60924,0.00502,0.0019985
-25.451,-41.6103,0.01514,0.0146718,0.0038618,0.8144,0.00707,0.002624
-25.441,-41.6003,0.02102,0.019745,0.0053042,1.0746,0.00975,0.0033863
-25.431,-41.5903,0.02866,0.0260626,0.007153,1.3956,0.01323,0.004274
-25.421,-41.5803,0.03844,0.0340852,0.0095092,1.7836,0.01764,0.005329
-25.411,-41.5703,0.0504,0.043714,0.0123936,2.2344,0.02312,0.00651
-25.401,-41.5603,0.065,0.0551498,0.015906,2.784,0.02975,0.007818
-25.391,-41.5503,0.0824,0.068593,0.020028,3.3942,0.03772,0.009233
-25.381,-41.5403,0.1024,0.083844,0.02478,4.0648,0.04671,0.010714
-25.371,-41.5303,0.125,0.100704,0.030058,4.7958,0.0569,0.01224
-25.361,-41.5203,0.1494,0.11897,0.035944,5.567,0.0682,0.013709
-25.351,-41.5103,0.1752,0.13824,0.042232,6.378,0.0801,0.015119
-25.341,-41.5003,0.2016,0.157716,0.048522,7.1686,0.0924,0.016368
-25.331,-41.4903,0.2276,0.176594,0.05481,7.9184,0.1043,0.017431
-25.321,-41.4803,0.2518,0.194268,0.06069,8.5874,0.116,0.018228
-25.311,-41.4703,0.2732,0.210738,0.06596,9.175,0.1261,0.018734
-25.301,-41.4603,0.2908,0.222798,0.070416,9.6208,0.1347,0.018907
-25.291,-41.4503,0.3032,0.230846,0.073654,9.9248,0.1411,0.018766
-25.281,-41.4403,0.3098,0.23688,0.075672,10.0264,0.1448,0.018269
-25.271,-41.4303,0.3102,0.236896,0.07607,9.9656,0.1459,0.017496
-25.261,-41.4203,0.3046,0.232894,0.075048,9.7222,0.1439,0.016428
-25.251,-41.4103,0.293,0.222872,0.072606,9.2964,0.1392,0.015166
-25.241,-41.4003,0.2762,0.210836,0.068746,8.7284,0.1319,0.013733
-25.231,-41.3903,0.255,0.195384,0.063872,8.0382,0.1226,0.012211
-25.221,-41.3803,0.2306,0.17712,0.058186,7.2464,0.1117,0.010664
-25.211,-41.3703,0.2044,0.157448,0.051896,6.4136,0.0996,0.009133
-25.201,-41.3603,0.1774,0.13717,0.045204,5.5802,0.0869,0.007662
-25.191,-41.3503,0.151,0.117092,0.038714,4.7466,0.0744,0.006334
-25.181,-41.3403,0.1256,0.098016,0.032428,3.9534,0.0625,0.00511
-25.171,-41.3303,0.1026,0.080344,0.02675,3.241,0.0513,0.004052
-25.161,-41.3203,0.082,0.064478,0.02148,2.5896,0.04134,0.003161
-25.151,-41.3103,0.064,0.05062,0.016938,2.0316,0.03263,0.002417
-25.141,-41.3003,0.04912,0.0389714,0.0130676,1.561,0.02516,0.001802
-25.131,-41.2903,0.03686,0.0293304,0.009886,1.1756,0.01898,0.0013224
-25.121,-41.2803,0.02708,0.021697,0.0073126,0.86776,0.01403,0.0009505
-25.111,-41.2703,0.01948,0.0157106,0.0053068,0.62702,0.01017,0.00067
-25.101,-41.2603,0.0137,0.0111304,0.0037672,0.44336,0.00722,0.0004639
-25.091,-41.2503,0.00946,0.0077152,0.0026126,0.30658,0.005022,0.0003135
-25.081,-41.2403,0.0064,0.005244,0.001776,0.20852,0.003402,0.0002082
-25.071,-41.2303,0.00423,0.00347604,0.00118264,0.13844,0.002271,0.0001352
-25.061,-41.2203,0.002732,0.0022705,0.0007715,0.0902,0.00148,8.611e-05
-25.051,-41.2103,0.00173,0.00144472,0.00049204,0.057496,0.000943,5.381e-05
-25.041,-41.2003,0.001072,0.00090222,0.00030776,0.035818,0.0005895,3.296e-05
-25.031,-41.1903,0.000652,0.00055058,0.00018788,0.021906,0.0003616,1.973e-05
-25.021,-41.1803,0.0003876,0.000329554,0.000112366,0.013066,0.0002159,1.157e-05
-25.011,-41.1703,0.0002254,0.000192512,6.5798e-05,0.0076408,0.0001265,6.653e-06
-25.001,-41.1603,0.0001284,0.000110326,3.7856e-05,0.0043846,7.26e-05,3.741e-06
-24.991,-41.1503,7.16e-05,6.1896e-05,2.1256e-05,0.0024592,4.074e-05,2.066e-06
-24.981,-41.1403,3.906e-05,3.39628e-05,1.16398e-05,0.0013468,2.235e-05,1.116e-06
-24.971,-41.1303,2.086e-05,1.82278e-05,6.255e-06,0.00072382,1.201e-05,5.89e-07
-24.961,-41.1203,1.09e-05,9.5862e-06,3.2994e-06,0.00037946,6.319e-06,3.061e-07
-24.951,-41.1103,5.58e-06,4.9238e-06,1.6942e-06,0.0001955,3.261e-06,1.55e-07
-24.941,-41.1003,2.794e-06,2.49206e-06,8.5418e-07,9.85e-05,1.641e-06,7.688e-08
-24.931,-41.0903,1.37e-06,1.22396e-06,4.2102e-07,4.8438e-05,8.08e-07,3.73e-08
-24.921,-41.0803,6.56e-07,5.9088e-07,2.0242e-07,2.3402e-05,3.909e-07,1.781e-08
-24.911,-41.0703,3.084e-07,2.79364e-07,9.594e-08,1.1046e-05,1.846e-07,8.298e-09
-24.901,-41.0603,1.416e-07,1.28632e-07,4.4326e-08,5.1134e-06,8.53e-08,3.777e-09
-24.891,-41.0503,6.36e-08,5.8086e-08,2.0058e-08,2.3008e-06,3.855e-08,1.692e-09
-24.881,-41.0403,2.802e-08,2.5727e-08,8.885e-09,1.021e-06,1.708e-08,7.404e-10
-24.871,-41.0303,1.206e-08,1.1135e-08,3.8454e-09,4.418e-07,7.39e-09,3.167e-10
-24.861,-41.0203,5.08e-09,4.7234e-09,1.62924e-09,1.8724e-07,3.145e-09,1.327e-10
-24.851,-41.0103,2.098e-09,1.95572e-09,6.7598e-10,7.77e-08,1.302e-09,5.453e-11
-24.841,-41.0003,8.46e-10,7.9394e-10,2.7324e-10,3.1456e-08,5.283e-10,2.184e-11
-24.831,-40.9903,3.342e-10,3.1557e-10,1.08884e-10,1.2502e-08,2.096e-10,8.58e-12
-24.821,-40.9803,1.292e-10,1.2221e-10,4.2298e-11,4.8536e-09,8.14e-11,3.295e-12
-24.811,-40.9703,4.86e-11,4.6432e-11,1.60288e-11,1.841e-09,3.09e-11,1.228e-12
-24.801,-40.9603,1.792e-11,1.71864e-11,5.9498e-12,6.831e-10,1.147e-11,4.469e-13
-24.791,-40.9503,6.32e-12,6.1512e-12,2.145e-12,2.4496e-10,4.123e-12,1.546e-13
-24.781,-40.9403,2.044e-12,2.07066e-12,7.1626e-13,8.226e-11,1.39e-12,4.891e-14
-24.771,-40.9303,5.34e-13,6.353e-13,2.2258e-13,2.459e-11,4.191e-13,1.202e-14
-24.761,-40.9203,0,0,0,0,0,0
-24.751,-40.9103,0,0,0,0,0,0
-24.741,-40.9003,0,0,0,0,0,0
-24.731,-40.8903,0,0,0,0,0,0
