# li3p_mp-736 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 3.252 eV. Gap is the fixed-occ nscf value (0.709 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,P_p,P_s
-41.552,-44.8041,2.7208e-05,0.00112834,4.98e-06,1.88e-08
-41.542,-44.7941,1.3894e-05,0.000575324,2.54e-06,9.6e-09
-41.532,-44.7841,6.948e-06,0.000287652,1.27e-06,4.8e-09
-41.522,-44.7741,3.3824e-06,0.000140386,6.2e-07,2.34e-09
-41.512,-44.7641,1.6184e-06,6.70532e-05,2.96e-07,1.118e-09
-41.502,-44.7541,7.572e-07,3.1398e-05,1.384e-07,5.22e-10
-41.492,-44.7441,3.4532e-07,1.43223e-05,6.32e-08,2.38e-10
-41.482,-44.7341,1.5436e-07,6.40148e-06,2.82e-08,1.068e-10
-41.472,-44.7241,6.74e-08,2.79564e-06,1.236e-08,4.68e-11
-41.462,-44.7141,2.8876e-08,1.19723e-06,5.28e-09,2e-11
-41.452,-44.7041,1.2106e-08,5.02388e-07,2.22e-09,8.38e-12
-41.442,-44.6941,4.9512e-09,2.04616e-07,9.06e-10,3.42e-12
-41.432,-44.6841,1.9806e-09,8.22468e-08,3.62e-10,1.374e-12
-41.422,-44.6741,7.78e-10,3.22096e-08,1.42e-10,5.38e-13
-41.412,-44.6641,2.975e-10,1.23372e-08,5.44e-11,2.06e-13
-41.402,-44.6541,1.115e-10,4.61892e-09,2.04e-11,7.74e-14
-41.392,-44.6441,4.086e-11,1.69562e-09,7.48e-12,2.84e-14
-41.382,-44.6341,1.4646e-11,6.0776e-10,2.68e-12,1.016e-14
-41.372,-44.6241,5.1588e-12,2.12723e-10,9.4e-13,3.56e-15
-41.362,-44.6141,0,0,0,0
-41.352,-44.6041,0,0,0,0
-41.342,-44.5941,0,0,0,0
-41.332,-44.5841,0,0,0,0
-41.322,-44.5741,0,0,0,0
-41.312,-44.5641,0,0,0,0
-41.302,-44.5541,0,0,0,0
-41.292,-44.5441,0,0,0,0
-41.282,-44.5341,0,0,0,0
-41.272,-44.5241,0,0,0,0
-41.262,-44.5141,0,0,0,0
-41.252,-44.5041,0,0,0,0
-41.242,-44.4941,0,0,0,0
-41.232,-44.4841,0,0,0,0
-41.222,-44.4741,0,0,0,0
-41.212,-44.4641,0,0,0,0
-41.202,-44.4541,0,0,0,0
-41.192,-44.4441,0,0,0,0
-41.182,-44.4341,0,0,0,0
-41.172,-44.4241,0,0,0,0
-41.162,-44.4141,0,0,0,0
-41.152,-44.4041,0,0,0,0
-41.142,-44.3941,0,0,0,0
-41.132,-44.3841,0,0,0,0
-41.122,-44.3741,0,0,0,0
-41.112,-44.3641,0,0,0,0
-41.102,-44.3541,0,0,0,0
-41.092,-44.3441,0,0,0,0
-41.082,-44.3341,0,0,0,0
-41.072,-44.3241,0,0,0,0
-41.062,-44.3141,0,0,0,0
-41.052,-44.3041,0,0,0,0
-41.042,-44.2941,0,0,0,0
-41.032,-44.2841,0,0,0,0
-41.022,-44.2741,0,0,0,0
-41.012,-44.2641,0,0,0,0
-41.002,-44.2541,0,0,0,0
-40.992,-44.2441,0,0,0,0
-40.982,-44.2341,0,0,0,0
-40.972,-44.2241,0,0,0,0
-40.962,-44.2141,0,0,0,0
-40.952,-44.2041,0,0,0,0
-40.942,-44.1941,0,0,0,0
-40.932,-44.1841,0,0,0,0
-40.922,-44.1741,0,0,0,0
-40.912,-44.1641,0,0,0,0
-40.902,-44.1541,0,0,0,0
-40.892,-44.1441,0,0,0,0
-40.882,-44.1341,0,0,0,0
-40.872,-44.1241,0,0,0,0
-40.862,-44.1141,0,0,0,0
-40.852,-44.1041,0,0,0,0
-40.842,-44.0941,0,0,0,0
-40.832,-44.0841,0,0,0,0
-40.822,-44.0741,0,0,0,0
-40.812,-44.0641,0,0,0,0
-40.802,-44.0541,0,0,0,0
-40.792,-44.0441,0,0,0,0
-40.782,-44.0341,0,0,0,0
-40.772,-44.0241,0,0,0,0
-40.762,-44.0141,0,0,0,0
-40.752,-44.0041,0,0,0,0
-40.742,-43.9941,0,0,0,0
-40.732,-43.9841,0,0,0,0
-40.722,-43.9741,0,0,0,0
-40.712,-43.9641,0,0,0,0
-40.702,-43.9541,0,0,0,0
-40.692,-43.9441,0,0,0,0
-40.682,-43.9341,0,0,0,0
-40.672,-43.9241,0,0,0,0
-40.662,-43.9141,0,0,0,0
-40.652,-43.9041,0,0,0,0
-40.642,-43.8941,0,0,0,0
-40.632,-43.8841,0,0,0,0
-40.622,-43.8741,0,0,0,0
-40.612,-43.8641,0,0,0,0
-40.602,-43.8541,0,0,0,0
-40.592,-43.8441,0,0,0,0
-40.582,-43.8341,0,0,0,0
-40.572,-43.8241,0,0,0,0
-40.562,-43.8141,0,0,0,0
-40.552,-43.8041,0,0,0,0
-40.542,-43.7941,0,0,0,0
-40.532,-43.7841,0,0,0,0
-40.522,-43.7741,0,0,0,0
-40.512,-43.7641,0,0,0,0
-40.502,-43.7541,0,0,0,0
-40.492,-43.7441,0,0,0,0
-40.482,-43.7341,0,0,0,0
-40.472,-43.7241,0,0,0,0
-40.462,-43.7141,0,0,0,0
-40.452,-43.7041,0,0,0,0
-40.442,-43.6941,0,0,0,0
-40.432,-43.6841,0,0,0,0
-40.422,-43.6741,0,0,0,0
-40.412,-43.6641,0,0,0,0
-40.402,-43.6541,0,0,0,0
-40.392,-43.6441,0,0,0,0
-40.382,-43.6341,0,0,0,0
-40.372,-43.6241,0,0,0,0
-40.362,-43.6141,0,0,0,0
-40.352,-43.6041,0,0,0,0
-40.342,-43.5941,0,0,0,0
-40.332,-43.5841,0,0,0,0
-40.322,-43.5741,0,0,0,0
-40.312,-43.5641,0,0,0,0
-40.302,-43.5541,0,0,0,0
-40.292,-43.5441,0,0,0,0
-40.282,-43.5341,0,0,0,0
-40.272,-43.5241,0,0,0,0
-40.262,-43.5141,0,0,0,0
-40.252,-43.5041,0,0,0,0
-40.242,-43.4941,0,0,0,0
-40.232,-43.4841,0,0,0,0
-40.222,-43.4741,0,0,0,0
-40.212,-43.4641,0,0,0,0
-40.202,-43.4541,0,0,0,0
-40.192,-43.4441,0,0,0,0
-40.182,-43.4341,0,0,0,0
-40.172,-43.4241,0,0,0,0
-40.162,-43.4141,0,0,0,0
-40.152,-43.4041,0,0,0,0
-40.142,-43.3941,0,0,0,0
-40.132,-43.3841,0,0,0,0
-40.122,-43.3741,0,0,0,0
-40.112,-43.3641,0,0,0,0
-40.102,-43.3541,0,0,0,0
-40.092,-43.3441,0,0,0,0
-40.082,-43.3341,0,0,0,0
-40.072,-43.3241,0,0,0,0
-40.062,-43.3141,0,0,0,0
-40.052,-43.3041,0,0,0,0
-40.042,-43.2941,0,0,0,0
-40.032,-43.2841,0,0,0,0
-40.022,-43.2741,0,0,0,0
-40.012,-43.2641,0,0,0,0
-40.002,-43.2541,0,0,0,0
-39.992,-43.2441,0,0,0,0
-39.982,-43.2341,0,0,0,0
-39.972,-43.2241,0,0,0,0
-39.962,-43.2141,0,0,0,0
-39.952,-43.2041,0,0,0,0
-39.942,-43.1941,0,0,0,0
-39.932,-43.1841,0,0,0,0
-39.922,-43.1741,0,0,0,0
-39.912,-43.1641,0,0,0,0
