# li3p_mp-736 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 3.252 eV. Gap is the fixed-occ nscf value (0.709 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,P_p,P_s
-36.302,-39.5541,0,0,0,0
-36.292,-39.5441,0,0,0,0
-36.282,-39.5341,0,0,0,0
-36.272,-39.5241,0,0,0,0
-36.262,-39.5141,0,0,0,0
-36.252,-39.5041,0,0,0,0
-36.242,-39.4941,0,0,0,0
-36.232,-39.4841,0,0,0,0
-36.222,-39.4741,0,0,0,0
-36.212,-39.4641,0,0,0,0
-36.202,-39.4541,0,0,0,0
-36.192,-39.4441,0,0,0,0
-36.182,-39.4341,0,0,0,0
-36.172,-39.4241,0,0,0,0
-36.162,-39.4141,0,0,0,0
-36.152,-39.4041,0,0,0,0
-36.142,-39.3941,0,0,0,0
-36.132,-39.3841,0,0,0,0
-36.122,-39.3741,0,0,0,0
-36.112,-39.3641,0,0,0,0
-36.102,-39.3541,0,0,0,0
-36.092,-39.3441,0,0,0,0
-36.082,-39.3341,0,0,0,0
-36.072,-39.3241,0,0,0,0
-36.062,-39.3141,0,0,0,0
-36.052,-39.3041,0,0,0,0
-36.042,-39.2941,0,0,0,0
-36.032,-39.2841,0,0,0,0
-36.022,-39.2741,0,0,0,0
-36.012,-39.2641,0,0,0,0
-36.002,-39.2541,0,0,0,0
-35.992,-39.2441,0,0,0,0
-35.982,-39.2341,0,0,0,0
-35.972,-39.2241,0,0,0,0
-35.962,-39.2141,0,0,0,0
-35.952,-39.2041,0,0,0,0
-35.942,-39.1941,0,0,0,0
-35.932,-39.1841,0,0,0,0
-35.922,-39.1741,0,0,0,0
-35.912,-39.1641,0,0,0,0
-35.902,-39.1541,0,0,0,0
-35.892,-39.1441,0,0,0,0
-35.882,-39.1341,0,0,0,0
-35.872,-39.1241,0,0,0,0
-35.862,-39.1141,0,0,0,0
-35.852,-39.1041,0,0,0,0
-35.842,-39.0941,0,0,0,0
-35.832,-39.0841,0,0,0,0
-35.822,-39.0741,0,0,0,0
-35.812,-39.0641,0,0,0,0
-35.802,-39.0541,0,0,0,0
-35.792,-39.0441,0,0,0,0
-35.782,-39.0341,0,0,0,0
-35.772,-39.0241,0,0,0,0
-35.762,-39.0141,0,0,0,0
-35.752,-39.0041,0,0,0,0
-35.742,-38.9941,0,0,0,0
-35.732,-38.9841,0,0,0,0
-35.722,-38.9741,0,0,0,0
-35.712,-38.9641,0,0,0,0
-35.702,-38.9541,0,0,0,0
-35.692,-38.9441,0,0,0,0
-35.682,-38.9341,0,0,0,0
-35.672,-38.9241,0,0,0,0
-35.662,-38.9141,0,0,0,0
-35.652,-38.9041,0,0,0,0
-35.642,-38.8941,0,0,0,0
-35.632,-38.8841,0,0,0,0
-35.622,-38.8741,0,0,0,0
-35.612,-38.8641,0,0,0,0
-35.602,-38.8541,0,0,0,0
-35.592,-38.8441,0,0,0,0
-35.582,-38.8341,0,0,0,0
-35.572,-38.8241,0,0,0,0
-35.562,-38.8141,0,0,0,0
-35.552,-38.8041,0,0,0,0
-35.542,-38.7941,0,0,0,0
-35.532,-38.7841,0,0,0,0
-35.522,-38.7741,0,0,0,0
-35.512,-38.7641,0,0,0,0
-35.502,-38.7541,0,0,0,0
-35.492,-38.7441,0,0,0,0
-35.482,-38.7341,0,0,0,0
-35.472,-38.7241,0,0,0,0
-35.462,-38.7141,0,0,0,0
-35.452,-38.7041,0,0,0,0
-35.442,-38.6941,0,0,0,0
-35.432,-38.6841,0,0,0,0
-35.422,-38.6741,0,0,0,0
-35.412,-38.6641,0,0,0,0
-35.402,-38.6541,0,0,0,0
-35.392,-38.6441,0,0,0,0
-35.382,-38.6341,0,0,0,0
-35.372,-38.6241,0,0,0,0
-35.362,-38.6141,0,0,0,0
-35.352,-38.6041,0,0,0,0
-35.342,-38.5941,0,0,0,0
-35.332,-38.5841,0,0,0,0
-35.322,-38.5741,0,0,0,0
-35.312,-38.5641,0,0,0,0
-35.302,-38.5541,0,0,0,0
-35.292,-38.5441,0,0,0,0
-35.282,-38.5341,0,0,0,0
-35.272,-38.5241,0,0,0,0
-35.262,-38.5141,0,0,0,0
-35.252,-38.5041,0,0,0,0
-35.242,-38.4941,0,0,0,0
-35.232,-38.4841,0,0,0,0
-35.222,-38.4741,0,0,0,0
-35.212,-38.4641,0,0,0,0
-35.202,-38.4541,0,0,0,0
-35.192,-38.4441,0,0,0,0
-35.182,-38.4341,0,0,0,0
-35.172,-38.4241,0,0,0,0
-35.162,-38.4141,0,0,0,0
-35.152,-38.4041,0,0,0,0
-35.142,-38.3941,0,0,0,0
-35.132,-38.3841,0,0,0,0
-35.122,-38.3741,0,0,0,0
-35.112,-38.3641,0,0,0,0
-35.102,-38.3541,0,0,0,0
-35.092,-38.3441,0,0,0,0
-35.082,-38.3341,0,0,0,0
-35.072,-38.3241,0,0,0,0
-35.062,-38.3141,0,0,0,0
-35.052,-38.3041,0,0,0,0
-35.042,-38.2941,0,0,0,0
-35.032,-38.2841,0,0,0,0
-35.022,-38.2741,0,0,0,0
-35.012,-38.2641,0,0,0,0
-35.002,-38.2541,0,0,0,0
-34.992,-38.2441,0,0,0,0
-34.982,-38.2341,0,0,0,0
-34.972,-38.2241,0,0,0,0
-34.962,-38.2141,0,0,0,0
-34.952,-38.2041,0,0,0,0
-34.942,-38.1941,0,0,0,0
-34.932,-38.1841,0,0,0,0
-34.922,-38.1741,0,0,0,0
-34.912,-38.1641,0,0,0,0
-34.902,-38.1541,0,0,0,0
-34.892,-38.1441,0,0,0,0
-34.882,-38.1341,0,0,0,0
-34.872,-38.1241,0,0,0,0
-34.862,-38.1141,0,0,0,0
-34.852,-38.1041,0,0,0,0
-34.842,-38.0941,0,0,0,0
-34.832,-38.0841,0,0,0,0
-34.822,-38.0741,0,0,0,0
-34.812,-38.0641,0,0,0,0
-34.802,-38.0541,0,0,0,0
-34.792,-38.0441,0,0,0,0
-34.782,-38.0341,0,0,0,0
-34.772,-38.0241,0,0,0,0
-34.762,-38.0141,0,0,0,0
-34.752,-38.0041,0,0,0,0
-34.742,-37.9941,0,0,0,0
-34.732,-37.9841,0,0,0,0
-34.722,-37.9741,0,0,0,0
-34.712,-37.9641,0,0,0,0
-34.702,-37.9541,0,0,0,0
-34.692,-37.9441,0,0,0,0
-34.682,-37.9341,0,0,0,0
-34.672,-37.9241,0,0,0,0
-34.662,-37.9141,0,0,0,0
-34.652,-37.9041,0,0,0,0
-34.642,-37.8941,0,0,0,0
-34.632,-37.8841,0,0,0,0
-34.622,-37.8741,0,0,0,0
-34.612,-37.8641,0,0,0,0
-34.602,-37.8541,0,0,0,0
-34.592,-37.8441,0,0,0,0
-34.582,-37.8341,0,0,0,0
-34.572,-37.8241,0,0,0,0
-34.562,-37.8141,0,0,0,0
-34.552,-37.8041,0,0,0,0
-34.542,-37.7941,0,0,0,0
-34.532,-37.7841,0,0,0,0
-34.522,-37.7741,0,0,0,0
-34.512,-37.7641,0,0,0,0
-34.502,-37.7541,0,0,0,0
-34.492,-37.7441,0,0,0,0
-34.482,-37.7341,0,0,0,0
-34.472,-37.7241,0,0,0,0
-34.462,-37.7141,0,0,0,0
-34.452,-37.7041,0,0,0,0
-34.442,-37.6941,0,0,0,0
-34.432,-37.6841,0,0,0,0
-34.422,-37.6741,0,0,0,0
-34.412,-37.6641,0,0,0,0
-34.402,-37.6541,0,0,0,0
-34.392,-37.6441,0,0,0,0
-34.382,-37.6341,0,0,0,0
-34.372,-37.6241,0,0,0,0
-34.362,-37.6141,0,0,0,0
-34.352,-37.6041,0,0,0,0
-34.342,-37.5941,0,0,0,0
-34.332,-37.5841,0,0,0,0
-34.322,-37.5741,0,0,0,0
-34.312,-37.5641,0,0,0,0
-34.302,-37.5541,0,0,0,0
-34.292,-37.5441,0,0,0,0
-34.282,-37.5341,0,0,0,0
-34.272,-37.5241,0,0,0,0
-34.262,-37.5141,0,0,0,0
-34.252,-37.5041,0,0,0,0
-34.242,-37.4941,0,0,0,0
-34.232,-37.4841,0,0,0,0
-34.222,-37.4741,0,0,0,0
-34.212,-37.4641,0,0,0,0
-34.202,-37.4541,0,0,0,0
-34.192,-37.4441,0,0,0,0
-34.182,-37.4341,0,0,0,0
-34.172,-37.4241,0,0,0,0
-34.162,-37.4141,0,0,0,0
-34.152,-37.4041,0,0,0,0
-34.142,-37.3941,0,0,0,0
-34.132,-37.3841,0,0,0,0
-34.122,-37.3741,0,0,0,0
-34.112,-37.3641,0,0,0,0
-34.102,-37.3541,0,0,0,0
-34.092,-37.3441,0,0,0,0
-34.082,-37.3341,0,0,0,0
-34.072,-37.3241,0,0,0,0
-34.062,-37.3141,0,0,0,0
-34.052,-37.3041,0,0,0,0
-34.042,-37.2941,0,0,0,0
-34.032,-37.2841,0,0,0,0
-34.022,-37.2741,0,0,0,0
-34.012,-37.2641,0,0,0,0
-34.002,-37.2541,0,0,0,0
-33.992,-37.2441,0,0,0,0
-33.982,-37.2341,0,0,0,0
-33.972,-37.2241,0,0,0,0
-33.962,-37.2141,0,0,0,0
-33.952,-37.2041,0,0,0,0
-33.942,-37.1941,0,0,0,0
-33.932,-37.1841,0,0,0,0
-33.922,-37.1741,0,0,0,0
-33.912,-37.1641,0,0,0,0
-33.902,-37.1541,0,0,0,0
-33.892,-37.1441,0,0,0,0
-33.882,-37.1341,0,0,0,0
-33.872,-37.1241,0,0,0,0
-33.862,-37.1141,0,0,0,0
-33.852,-37.1041,0,0,0,0
-33.842,-37.0941,0,0,0,0
-33.832,-37.0841,0,0,0,0
-33.822,-37.0741,0,0,0,0
-33.812,-37.0641,0,0,0,0
-33.802,-37.0541,0,0,0,0
-33.792,-37.0441,0,0,0,0
-33.782,-37.0341,0,0,0,0
-33.772,-37.0241,0,0,0,0
-33.762,-37.0141,0,0,0,0
-33.752,-37.0041,0,0,0,0
-33.742,-36.9941,0,0,0,0
-33.732,-36.9841,0,0,0,0
-33.722,-36.9741,0,0,0,0
-33.712,-36.9641,0,0,0,0
-33.702,-36.9541,0,0,0,0
-33.692,-36.9441,0,0,0,0
-33.682,-36.9341,0,0,0,0
-33.672,-36.9241,0,0,0,0
-33.662,-36.9141,0,0,0,0
-33.652,-36.9041,0,0,0,0
-33.642,-36.8941,0,0,0,0
-33.632,-36.8841,0,0,0,0
-33.622,-36.8741,0,0,0,0
-33.612,-36.8641,0,0,0,0
-33.602,-36.8541,0,0,0,0
-33.592,-36.8441,0,0,0,0
-33.582,-36.8341,0,0,0,0
-33.572,-36.8241,0,0,0,0
-33.562,-36.8141,0,0,0,0
-33.552,-36.8041,0,0,0,0
-33.542,-36.7941,0,0,0,0
-33.532,-36.7841,0,0,0,0
-33.522,-36.7741,0,0,0,0
-33.512,-36.7641,0,0,0,0
-33.502,-36.7541,0,0,0,0
-33.492,-36.7441,0,0,0,0
-33.482,-36.7341,0,0,0,0
-33.472,-36.7241,0,0,0,0
-33.462,-36.7141,0,0,0,0
-33.452,-36.7041,0,0,0,0
-33.442,-36.6941,0,0,0,0
-33.432,-36.6841,0,0,0,0
-33.422,-36.6741,0,0,0,0
-33.412,-36.6641,0,0,0,0
-33.402,-36.6541,0,0,0,0
-33.392,-36.6441,0,0,0,0
-33.382,-36.6341,0,0,0,0
-33.372,-36.6241,0,0,0,0
-33.362,-36.6141,0,0,0,0
-33.352,-36.6041,0,0,0,0
-33.342,-36.5941,0,0,0,0
-33.332,-36.5841,0,0,0,0
-33.322,-36.5741,0,0,0,0
-33.312,-36.5641,0,0,0,0
-33.302,-36.5541,0,0,0,0
-33.292,-36.5441,0,0,0,0
-33.282,-36.5341,0,0,0,0
-33.272,-36.5241,0,0,0,0
-33.262,-36.5141,0,0,0,0
-33.252,-36.5041,0,0,0,0
-33.242,-36.4941,0,0,0,0
-33.232,-36.4841,0,0,0,0
-33.222,-36.4741,0,0,0,0
-33.212,-36.4641,0,0,0,0
-33.202,-36.4541,0,0,0,0
-33.192,-36.4441,0,0,0,0
-33.182,-36.4341,0,0,0,0
-33.172,-36.4241,0,0,0,0
-33.162,-36.4141,0,0,0,0
-33.152,-36.4041,0,0,0,0
-33.142,-36.3941,0,0,0,0
-33.132,-36.3841,0,0,0,0
-33.122,-36.3741,0,0,0,0
-33.112,-36.3641,0,0,0,0
-33.102,-36.3541,0,0,0,0
-33.092,-36.3441,0,0,0,0
-33.082,-36.3341,0,0,0,0
-33.072,-36.3241,0,0,0,0
-33.062,-36.3141,0,0,0,0
-33.052,-36.3041,0,0,0,0
-33.042,-36.2941,0,0,0,0
-33.032,-36.2841,0,0,0,0
-33.022,-36.2741,0,0,0,0
-33.012,-36.2641,0,0,0,0
-33.002,-36.2541,0,0,0,0
-32.992,-36.2441,0,0,0,0
-32.982,-36.2341,0,0,0,0
-32.972,-36.2241,0,0,0,0
-32.962,-36.2141,0,0,0,0
-32.952,-36.2041,0,0,0,0
-32.942,-36.1941,0,0,0,0
-32.932,-36.1841,0,0,0,0
-32.922,-36.1741,0,0,0,0
-32.912,-36.1641,0,0,0,0
-32.902,-36.1541,0,0,0,0
-32.892,-36.1441,0,0,0,0
-32.882,-36.1341,0,0,0,0
-32.872,-36.1241,0,0,0,0
-32.862,-36.1141,0,0,0,0
-32.852,-36.1041,0,0,0,0
-32.842,-36.0941,0,0,0,0
-32.832,-36.0841,0,0,0,0
-32.822,-36.0741,0,0,0,0
-32.812,-36.0641,0,0,0,0
-32.802,-36.0541,0,0,0,0
-32.792,-36.0441,0,0,0,0
-32.782,-36.0341,0,0,0,0
-32.772,-36.0241,0,0,0,0
-32.762,-36.0141,0,0,0,0
-32.752,-36.0041,0,0,0,0
-32.742,-35.9941,0,0,0,0
-32.732,-35.9841,0,0,0,0
-32.722,-35.9741,0,0,0,0
-32.712,-35.9641,0,0,0,0
-32.702,-35.9541,0,0,0,0
-32.692,-35.9441,0,0,0,0
-32.682,-35.9341,0,0,0,0
-32.672,-35.9241,0,0,0,0
-32.662,-35.9141,0,0,0,0
-32.652,-35.9041,0,0,0,0
-32.642,-35.8941,0,0,0,0
-32.632,-35.8841,0,0,0,0
-32.622,-35.8741,0,0,0,0
-32.612,-35.8641,0,0,0,0
-32.602,-35.8541,0,0,0,0
-32.592,-35.8441,0,0,0,0
-32.582,-35.8341,0,0,0,0
-32.572,-35.8241,0,0,0,0
-32.562,-35.8141,0,0,0,0
-32.552,-35.8041,0,0,0,0
-32.542,-35.7941,0,0,0,0
-32.532,-35.7841,0,0,0,0
-32.522,-35.7741,0,0,0,0
-32.512,-35.7641,0,0,0,0
-32.502,-35.7541,0,0,0,0
-32.492,-35.7441,0,0,0,0
-32.482,-35.7341,0,0,0,0
-32.472,-35.7241,0,0,0,0
-32.462,-35.7141,0,0,0,0
-32.452,-35.7041,0,0,0,0
-32.442,-35.6941,0,0,0,0
-32.432,-35.6841,0,0,0,0
-32.422,-35.6741,0,0,0,0
-32.412,-35.6641,0,0,0,0
-32.402,-35.6541,0,0,0,0
-32.392,-35.6441,0,0,0,0
-32.382,-35.6341,0,0,0,0
-32.372,-35.6241,0,0,0,0
-32.362,-35.6141,0,0,0,0
-32.352,-35.6041,0,0,0,0
-32.342,-35.5941,0,0,0,0
-32.332,-35.5841,0,0,0,0
-32.322,-35.5741,0,0,0,0
-32.312,-35.5641,0,0,0,0
-32.302,-35.5541,0,0,0,0
-32.292,-35.5441,0,0,0,0
-32.282,-35.5341,0,0,0,0
-32.272,-35.5241,0,0,0,0
-32.262,-35.5141,0,0,0,0
-32.252,-35.5041,0,0,0,0
-32.242,-35.4941,0,0,0,0
-32.232,-35.4841,0,0,0,0
-32.222,-35.4741,0,0,0,0
-32.212,-35.4641,0,0,0,0
-32.202,-35.4541,0,0,0,0
-32.192,-35.4441,0,0,0,0
-32.182,-35.4341,0,0,0,0
-32.172,-35.4241,0,0,0,0
-32.162,-35.4141,0,0,0,0
-32.152,-35.4041,0,0,0,0
-32.142,-35.3941,0,0,0,0
-32.132,-35.3841,0,0,0,0
-32.122,-35.3741,0,0,0,0
-32.112,-35.3641,0,0,0,0
-32.102,-35.3541,0,0,0,0
-32.092,-35.3441,0,0,0,0
-32.082,-35.3341,0,0,0,0
-32.072,-35.3241,0,0,0,0
-32.062,-35.3141,0,0,0,0
-32.052,-35.3041,0,0,0,0
-32.042,-35.2941,0,0,0,0
-32.032,-35.2841,0,0,0,0
-32.022,-35.2741,0,0,0,0
-32.012,-35.2641,0,0,0,0
-32.002,-35.2541,0,0,0,0
-31.992,-35.2441,0,0,0,0
-31.982,-35.2341,0,0,0,0
-31.972,-35.2241,0,0,0,0
-31.962,-35.2141,0,0,0,0
-31.952,-35.2041,0,0,0,0
-31.942,-35.1941,0,0,0,0
-31.932,-35.1841,0,0,0,0
-31.922,-35.1741,0,0,0,0
-31.912,-35.1641,0,0,0,0
-31.902,-35.1541,0,0,0,0
-31.892,-35.1441,0,0,0,0
-31.882,-35.1341,0,0,0,0
-31.872,-35.1241,0,0,0,0
-31.862,-35.1141,0,0,0,0
-31.852,-35.1041,0,0,0,0
-31.842,-35.0941,0,0,0,0
-31.832,-35.0841,0,0,0,0
-31.822,-35.0741,0,0,0,0
-31.812,-35.0641,0,0,0,0
-31.802,-35.0541,0,0,0,0
-31.792,-35.0441,0,0,0,0
-31.782,-35.0341,0,0,0,0
-31.772,-35.0241,0,0,0,0
-31.762,-35.0141,0,0,0,0
-31.752,-35.0041,0,0,0,0
-31.742,-34.9941,0,0,0,0
-31.732,-34.9841,0,0,0,0
-31.722,-34.9741,0,0,0,0
-31.712,-34.9641,0,0,0,0
-31.702,-34.9541,0,0,0,0
-31.692,-34.9441,0,0,0,0
-31.682,-34.9341,0,0,0,0
-31.672,-34.9241,0,0,0,0
-31.662,-34.9141,0,0,0,0
-31.652,-34.9041,0,0,0,0
-31.642,-34.8941,0,0,0,0
-31.632,-34.8841,0,0,0,0
-31.622,-34.8741,0,0,0,0
-31.612,-34.8641,0,0,0,0
-31.602,-34.8541,0,0,0,0
-31.592,-34.8441,0,0,0,0
-31.582,-34.8341,0,0,0,0
-31.572,-34.8241,0,0,0,0
-31.562,-34.8141,0,0,0,0
-31.552,-34.8041,0,0,0,0
-31.542,-34.7941,0,0,0,0
-31.532,-34.7841,0,0,0,0
-31.522,-34.7741,0,0,0,0
-31.512,-34.7641,0,0,0,0
-31.502,-34.7541,0,0,0,0
-31.492,-34.7441,0,0,0,0
-31.482,-34.7341,0,0,0,0
-31.472,-34.7241,0,0,0,0
-31.462,-34.7141,0,0,0,0
-31.452,-34.7041,0,0,0,0
-31.442,-34.6941,0,0,0,0
-31.432,-34.6841,0,0,0,0
-31.422,-34.6741,0,0,0,0
-31.412,-34.6641,0,0,0,0
-31.402,-34.6541,0,0,0,0
-31.392,-34.6441,0,0,0,0
-31.382,-34.6341,0,0,0,0
-31.372,-34.6241,0,0,0,0
-31.362,-34.6141,0,0,0,0
-31.352,-34.6041,0,0,0,0
-31.342,-34.5941,0,0,0,0
-31.332,-34.5841,0,0,0,0
-31.322,-34.5741,0,0,0,0
-31.312,-34.5641,0,0,0,0
-31.302,-34.5541,0,0,0,0
-31.292,-34.5441,0,0,0,0
-31.282,-34.5341,0,0,0,0
-31.272,-34.5241,0,0,0,0
-31.262,-34.5141,0,0,0,0
-31.252,-34.5041,0,0,0,0
-31.242,-34.4941,0,0,0,0
-31.232,-34.4841,0,0,0,0
-31.222,-34.4741,0,0,0,0
-31.212,-34.4641,0,0,0,0
-31.202,-34.4541,0,0,0,0
-31.192,-34.4441,0,0,0,0
-31.182,-34.4341,0,0,0,0
-31.172,-34.4241,0,0,0,0
-31.162,-34.4141,0,0,0,0
-31.152,-34.4041,0,0,0,0
-31.142,-34.3941,0,0,0,0
-31.132,-34.3841,0,0,0,0
-31.122,-34.3741,0,0,0,0
-31.112,-34.3641,0,0,0,0
-31.102,-34.3541,0,0,0,0
-31.092,-34.3441,0,0,0,0
-31.082,-34.3341,0,0,0,0
-31.072,-34.3241,0,0,0,0
-31.062,-34.3141,0,0,0,0
-31.052,-34.3041,0,0,0,0
-31.042,-34.2941,0,0,0,0
-31.032,-34.2841,0,0,0,0
-31.022,-34.2741,0,0,0,0
-31.012,-34.2641,0,0,0,0
-31.002,-34.2541,0,0,0,0
-30.992,-34.2441,0,0,0,0
-30.982,-34.2341,0,0,0,0
-30.972,-34.2241,0,0,0,0
-30.962,-34.2141,0,0,0,0
-30.952,-34.2041,0,0,0,0
-30.942,-34.1941,0,0,0,0
-30.932,-34.1841,0,0,0,0
-30.922,-34.1741,0,0,0,0
-30.912,-34.1641,0,0,0,0
-30.902,-34.1541,0,0,0,0
-30.892,-34.1441,0,0,0,0
-30.882,-34.1341,0,0,0,0
-30.872,-34.1241,0,0,0,0
-30.862,-34.1141,0,0,0,0
-30.852,-34.1041,0,0,0,0
-30.842,-34.0941,0,0,0,0
-30.832,-34.0841,0,0,0,0
-30.822,-34.0741,0,0,0,0
-30.812,-34.0641,0,0,0,0
-30.802,-34.0541,0,0,0,0
-30.792,-34.0441,0,0,0,0
-30.782,-34.0341,0,0,0,0
-30.772,-34.0241,0,0,0,0
-30.762,-34.0141,0,0,0,0
-30.752,-34.0041,0,0,0,0
-30.742,-33.9941,0,0,0,0
-30.732,-33.9841,0,0,0,0
-30.722,-33.9741,0,0,0,0
-30.712,-33.9641,0,0,0,0
-30.702,-33.9541,0,0,0,0
-30.692,-33.9441,0,0,0,0
-30.682,-33.9341,0,0,0,0
-30.672,-33.9241,0,0,0,0
-30.662,-33.9141,0,0,0,0
-30.652,-33.9041,0,0,0,0
-30.642,-33.8941,0,0,0,0
-30.632,-33.8841,0,0,0,0
-30.622,-33.8741,0,0,0,0
-30.612,-33.8641,0,0,0,0
-30.602,-33.8541,0,0,0,0
-30.592,-33.8441,0,0,0,0
-30.582,-33.8341,0,0,0,0
-30.572,-33.8241,0,0,0,0
-30.562,-33.8141,0,0,0,0
-30.552,-33.8041,0,0,0,0
-30.542,-33.7941,0,0,0,0
-30.532,-33.7841,0,0,0,0
-30.522,-33.7741,0,0,0,0
-30.512,-33.7641,0,0,0,0
-30.502,-33.7541,0,0,0,0
-30.492,-33.7441,0,0,0,0
-30.482,-33.7341,0,0,0,0
-30.472,-33.7241,0,0,0,0
-30.462,-33.7141,0,0,0,0
-30.452,-33.7041,0,0,0,0
-30.442,-33.6941,0,0,0,0
-30.432,-33.6841,0,0,0,0
-30.422,-33.6741,0,0,0,0
-30.412,-33.6641,0,0,0,0
-30.402,-33.6541,0,0,0,0
-30.392,-33.6441,0,0,0,0
-30.382,-33.6341,0,0,0,0
-30.372,-33.6241,0,0,0,0
-30.362,-33.6141,0,0,0,0
-30.352,-33.6041,0,0,0,0
-30.342,-33.5941,0,0,0,0
-30.332,-33.5841,0,0,0,0
-30.322,-33.5741,0,0,0,0
-30.312,-33.5641,0,0,0,0
-30.302,-33.5541,0,0,0,0
-30.292,-33.5441,0,0,0,0
-30.282,-33.5341,0,0,0,0
-30.272,-33.5241,0,0,0,0
-30.262,-33.5141,0,0,0,0
-30.252,-33.5041,0,0,0,0
-30.242,-33.4941,0,0,0,0
-30.232,-33.4841,0,0,0,0
-30.222,-33.4741,0,0,0,0
-30.212,-33.4641,0,0,0,0
-30.202,-33.4541,0,0,0,0
-30.192,-33.4441,0,0,0,0
-30.182,-33.4341,0,0,0,0
-30.172,-33.4241,0,0,0,0
-30.162,-33.4141,0,0,0,0
-30.152,-33.4041,0,0,0,0
-30.142,-33.3941,0,0,0,0
-30.132,-33.3841,0,0,0,0
-30.122,-33.3741,0,0,0,0
-30.112,-33.3641,0,0,0,0
-30.102,-33.3541,0,0,0,0
-30.092,-33.3441,0,0,0,0
-30.082,-33.3341,0,0,0,0
-30.072,-33.3241,0,0,0,0
-30.062,-33.3141,0,0,0,0
-30.052,-33.3041,0,0,0,0
-30.042,-33.2941,0,0,0,0
-30.032,-33.2841,0,0,0,0
-30.022,-33.2741,0,0,0,0
-30.012,-33.2641,0,0,0,0
-30.002,-33.2541,0,0,0,0
-29.992,-33.2441,0,0,0,0
-29.982,-33.2341,0,0,0,0
-29.972,-33.2241,0,0,0,0
-29.962,-33.2141,0,0,0,0
-29.952,-33.2041,0,0,0,0
-29.942,-33.1941,0,0,0,0
-29.932,-33.1841,0,0,0,0
-29.922,-33.1741,0,0,0,0
-29.912,-33.1641,0,0,0,0
-29.902,-33.1541,0,0,0,0
-29.892,-33.1441,0,0,0,0
-29.882,-33.1341,0,0,0,0
-29.872,-33.1241,0,0,0,0
-29.862,-33.1141,0,0,0,0
-29.852,-33.1041,0,0,0,0
-29.842,-33.0941,0,0,0,0
-29.832,-33.0841,0,0,0,0
-29.822,-33.0741,0,0,0,0
-29.812,-33.0641,0,0,0,0
-29.802,-33.0541,0,0,0,0
-29.792,-33.0441,0,0,0,0
-29.782,-33.0341,0,0,0,0
-29.772,-33.0241,0,0,0,0
-29.762,-33.0141,0,0,0,0
-29.752,-33.0041,0,0,0,0
-29.742,-32.9941,0,0,0,0
-29.732,-32.9841,0,0,0,0
-29.722,-32.9741,0,0,0,0
-29.712,-32.9641,0,0,0,0
-29.702,-32.9541,0,0,0,0
-29.692,-32.9441,0,0,0,0
-29.682,-32.9341,0,0,0,0
-29.672,-32.9241,0,0,0,0
-29.662,-32.9141,0,0,0,0
-29.652,-32.9041,0,0,0,0
-29.642,-32.8941,0,0,0,0
-29.632,-32.8841,0,0,0,0
-29.622,-32.8741,0,0,0,0
-29.612,-32.8641,0,0,0,0
-29.602,-32.8541,0,0,0,0
-29.592,-32.8441,0,0,0,0
-29.582,-32.8341,0,0,0,0
-29.572,-32.8241,0,0,0,0
-29.562,-32.8141,0,0,0,0
-29.552,-32.8041,0,0,0,0
-29.542,-32.7941,0,0,0,0
-29.532,-32.7841,0,0,0,0
-29.522,-32.7741,0,0,0,0
-29.512,-32.7641,0,0,0,0
-29.502,-32.7541,0,0,0,0
-29.492,-32.7441,0,0,0,0
-29.482,-32.7341,0,0,0,0
-29.472,-32.7241,0,0,0,0
-29.462,-32.7141,0,0,0,0
-29.452,-32.7041,0,0,0,0
-29.442,-32.6941,0,0,0,0
-29.432,-32.6841,0,0,0,0
-29.422,-32.6741,0,0,0,0
-29.412,-32.6641,0,0,0,0
-29.402,-32.6541,0,0,0,0
-29.392,-32.6441,0,0,0,0
-29.382,-32.6341,0,0,0,0
-29.372,-32.6241,0,0,0,0
-29.362,-32.6141,0,0,0,0
-29.352,-32.6041,0,0,0,0
-29.342,-32.5941,0,0,0,0
-29.332,-32.5841,0,0,0,0
-29.322,-32.5741,0,0,0,0
-29.312,-32.5641,0,0,0,0
-29.302,-32.5541,0,0,0,0
-29.292,-32.5441,0,0,0,0
-29.282,-32.5341,0,0,0,0
-29.272,-32.5241,0,0,0,0
-29.262,-32.5141,0,0,0,0
-29.252,-32.5041,0,0,0,0
-29.242,-32.4941,0,0,0,0
-29.232,-32.4841,0,0,0,0
-29.222,-32.4741,0,0,0,0
-29.212,-32.4641,0,0,0,0
-29.202,-32.4541,0,0,0,0
-29.192,-32.4441,0,0,0,0
-29.182,-32.4341,0,0,0,0
-29.172,-32.4241,0,0,0,0
-29.162,-32.4141,0,0,0,0
-29.152,-32.4041,0,0,0,0
-29.142,-32.3941,0,0,0,0
-29.132,-32.3841,0,0,0,0
-29.122,-32.3741,0,0,0,0
-29.112,-32.3641,0,0,0,0
-29.102,-32.3541,0,0,0,0
-29.092,-32.3441,0,0,0,0
-29.082,-32.3341,0,0,0,0
-29.072,-32.3241,0,0,0,0
-29.062,-32.3141,0,0,0,0
-29.052,-32.3041,0,0,0,0
-29.042,-32.2941,0,0,0,0
-29.032,-32.2841,0,0,0,0
-29.022,-32.2741,0,0,0,0
-29.012,-32.2641,0,0,0,0
