# li3p_mp-736 total DOS (QE dos.x, degauss 0.007 Ry). VBM 3.252 / CBM 3.961 / gap 0.709 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-40.962,-44.2141,2.796e-37,12
-40.952,-44.2041,3.885e-38,12
-40.942,-44.1941,5.282e-39,12
-40.932,-44.1841,7.023e-40,12
-40.922,-44.1741,9.136e-41,12
-40.912,-44.1641,1.162e-41,12
-40.902,-44.1541,1.447e-42,12
-40.892,-44.1441,1.762e-43,12
-40.882,-44.1341,2.098e-44,12
-40.872,-44.1241,2.444e-45,12
-40.862,-44.1141,2.786e-46,12
-40.852,-44.1041,3.105e-47,12
-40.842,-44.0941,3.386e-48,12
-40.832,-44.0841,3.612e-49,12
-40.822,-44.0741,3.769e-50,12
-40.812,-44.0641,3.846e-51,12
-40.802,-44.0541,3.84e-52,12
-40.792,-44.0441,3.75e-53,12
-40.782,-44.0341,3.583e-54,12
-40.772,-44.0241,3.348e-55,12
-40.762,-44.0141,3.061e-56,12
-40.752,-44.0041,2.737e-57,12
-40.742,-43.9941,2.394e-58,12
-40.732,-43.9841,2.048e-59,12
-40.722,-43.9741,1.714e-60,12
-40.712,-43.9641,1.403e-61,12
-40.702,-43.9541,1.124e-62,12
-40.692,-43.9441,8.804e-64,12
-40.682,-43.9341,6.746e-65,12
-40.672,-43.9241,5.057e-66,12
-40.662,-43.9141,3.708e-67,12
-40.652,-43.9041,2.66e-68,12
-40.642,-43.8941,1.866e-69,12
-40.632,-43.8841,1.281e-70,12
-40.622,-43.8741,8.597e-72,12
-40.612,-43.8641,5.646e-73,12
-40.602,-43.8541,3.627e-74,12
-40.592,-43.8441,2.279e-75,12
-40.582,-43.8341,1.401e-76,12
-40.572,-43.8241,8.422e-78,12
-40.562,-43.8141,4.953e-79,12
-40.552,-43.8041,2.85e-80,12
-40.542,-43.7941,1.604e-81,12
-40.532,-43.7841,8.868e-83,12
-40.522,-43.7741,5.148e-84,12
-40.512,-43.7641,6.439e-85,12
-40.502,-43.7541,4.263e-85,12
-40.492,-43.7441,4.263e-85,12
-40.482,-43.7341,4.263e-85,12
-40.472,-43.7241,4.263e-85,12
-40.462,-43.7141,4.263e-85,12
-40.452,-43.7041,4.263e-85,12
-40.442,-43.6941,4.263e-85,12
-40.432,-43.6841,4.263e-85,12
-40.422,-43.6741,4.263e-85,12
-40.412,-43.6641,4.263e-85,12
-40.402,-43.6541,4.263e-85,12
-40.392,-43.6441,4.263e-85,12
-40.382,-43.6341,4.263e-85,12
-40.372,-43.6241,4.263e-85,12
-40.362,-43.6141,4.263e-85,12
-40.352,-43.6041,4.263e-85,12
-40.342,-43.5941,4.263e-85,12
-40.332,-43.5841,4.263e-85,12
-40.322,-43.5741,4.263e-85,12
