# li2s_mp-1153 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.243 eV. Gap is the fixed-occ nscf value (3.438 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,S_p,S_s
-23.8,-26.0434,0,0,0,0
-23.79,-26.0334,0,0,0,0
-23.78,-26.0234,0,0,0,0
-23.77,-26.0134,0,0,0,0
-23.76,-26.0034,0,0,0,0
-23.75,-25.9934,0,0,0,0
-23.74,-25.9834,0,0,0,0
-23.73,-25.9734,0,0,0,0
-23.72,-25.9634,0,0,0,0
-23.71,-25.9534,0,0,0,0
-23.7,-25.9434,0,0,0,0
-23.69,-25.9334,0,0,0,0
-23.68,-25.9234,0,0,0,0
-23.67,-25.9134,0,0,0,0
-23.66,-25.9034,0,0,0,0
-23.65,-25.8934,0,0,0,0
-23.64,-25.8834,0,0,0,0
-23.63,-25.8734,0,0,0,0
-23.62,-25.8634,0,0,0,0
-23.61,-25.8534,0,0,0,0
-23.6,-25.8434,0,0,0,0
-23.59,-25.8334,0,0,0,0
-23.58,-25.8234,0,0,0,0
-23.57,-25.8134,0,0,0,0
-23.56,-25.8034,0,0,0,0
-23.55,-25.7934,0,0,0,0
-23.54,-25.7834,0,0,0,0
-23.53,-25.7734,0,0,0,0
-23.52,-25.7634,0,0,0,0
-23.51,-25.7534,0,0,0,0
-23.5,-25.7434,0,0,0,0
-23.49,-25.7334,0,0,0,0
-23.48,-25.7234,0,0,0,0
-23.47,-25.7134,0,0,0,0
-23.46,-25.7034,0,0,0,0
-23.45,-25.6934,0,0,0,0
-23.44,-25.6834,0,0,0,0
-23.43,-25.6734,0,0,0,0
-23.42,-25.6634,0,0,0,0
-23.41,-25.6534,0,0,0,0
-23.4,-25.6434,0,0,0,0
-23.39,-25.6334,0,0,0,0
-23.38,-25.6234,0,0,0,0
-23.37,-25.6134,0,0,0,0
-23.36,-25.6034,0,0,0,0
-23.35,-25.5934,0,0,0,0
-23.34,-25.5834,0,0,0,0
-23.33,-25.5734,0,0,0,0
-23.32,-25.5634,0,0,0,0
-23.31,-25.5534,0,0,0,0
-23.3,-25.5434,0,0,0,0
-23.29,-25.5334,0,0,0,0
-23.28,-25.5234,0,0,0,0
-23.27,-25.5134,0,0,0,0
-23.26,-25.5034,0,0,0,0
-23.25,-25.4934,0,0,0,0
-23.24,-25.4834,0,0,0,0
-23.23,-25.4734,0,0,0,0
-23.22,-25.4634,0,0,0,0
-23.21,-25.4534,0,0,0,0
-23.2,-25.4434,0,0,0,0
-23.19,-25.4334,0,0,0,0
-23.18,-25.4234,0,0,0,0
-23.17,-25.4134,0,0,0,0
-23.16,-25.4034,0,0,0,0
-23.15,-25.3934,0,0,0,0
-23.14,-25.3834,0,0,0,0
-23.13,-25.3734,0,0,0,0
-23.12,-25.3634,0,0,0,0
-23.11,-25.3534,0,0,0,0
-23.1,-25.3434,0,0,0,0
-23.09,-25.3334,0,0,0,0
-23.08,-25.3234,0,0,0,0
-23.07,-25.3134,0,0,0,0
-23.06,-25.3034,0,0,0,0
-23.05,-25.2934,0,0,0,0
-23.04,-25.2834,0,0,0,0
-23.03,-25.2734,0,0,0,0
-23.02,-25.2634,0,0,0,0
-23.01,-25.2534,0,0,0,0
-23,-25.2434,0,0,0,0
-22.99,-25.2334,0,0,0,0
-22.98,-25.2234,0,0,0,0
-22.97,-25.2134,0,0,0,0
-22.96,-25.2034,0,0,0,0
-22.95,-25.1934,0,0,0,0
-22.94,-25.1834,0,0,0,0
-22.93,-25.1734,0,0,0,0
-22.92,-25.1634,0,0,0,0
-22.91,-25.1534,0,0,0,0
-22.9,-25.1434,0,0,0,0
-22.89,-25.1334,0,0,0,0
-22.88,-25.1234,0,0,0,0
-22.87,-25.1134,0,0,0,0
-22.86,-25.1034,0,0,0,0
-22.85,-25.0934,0,0,0,0
-22.84,-25.0834,0,0,0,0
-22.83,-25.0734,0,0,0,0
-22.82,-25.0634,0,0,0,0
-22.81,-25.0534,0,0,0,0
-22.8,-25.0434,0,0,0,0
-22.79,-25.0334,0,0,0,0
-22.78,-25.0234,0,0,0,0
-22.77,-25.0134,0,0,0,0
-22.76,-25.0034,0,0,0,0
-22.75,-24.9934,0,0,0,0
-22.74,-24.9834,0,0,0,0
-22.73,-24.9734,0,0,0,0
-22.72,-24.9634,0,0,0,0
-22.71,-24.9534,0,0,0,0
-22.7,-24.9434,0,0,0,0
-22.69,-24.9334,0,0,0,0
-22.68,-24.9234,0,0,0,0
-22.67,-24.9134,0,0,0,0
-22.66,-24.9034,0,0,0,0
-22.65,-24.8934,0,0,0,0
-22.64,-24.8834,0,0,0,0
-22.63,-24.8734,0,0,0,0
-22.62,-24.8634,0,0,0,0
-22.61,-24.8534,0,0,0,0
-22.6,-24.8434,0,0,0,0
-22.59,-24.8334,0,0,0,0
-22.58,-24.8234,0,0,0,0
-22.57,-24.8134,0,0,0,0
-22.56,-24.8034,0,0,0,0
-22.55,-24.7934,0,0,0,0
-22.54,-24.7834,0,0,0,0
-22.53,-24.7734,0,0,0,0
-22.52,-24.7634,0,0,0,0
-22.51,-24.7534,0,0,0,0
-22.5,-24.7434,0,0,0,0
-22.49,-24.7334,0,0,0,0
-22.48,-24.7234,0,0,0,0
-22.47,-24.7134,0,0,0,0
-22.46,-24.7034,0,0,0,0
-22.45,-24.6934,0,0,0,0
-22.44,-24.6834,0,0,0,0
-22.43,-24.6734,0,0,0,0
-22.42,-24.6634,0,0,0,0
-22.41,-24.6534,0,0,0,0
-22.4,-24.6434,0,0,0,0
-22.39,-24.6334,0,0,0,0
-22.38,-24.6234,0,0,0,0
-22.37,-24.6134,0,0,0,0
-22.36,-24.6034,0,0,0,0
-22.35,-24.5934,0,0,0,0
-22.34,-24.5834,0,0,0,0
-22.33,-24.5734,0,0,0,0
-22.32,-24.5634,0,0,0,0
-22.31,-24.5534,0,0,0,0
-22.3,-24.5434,0,0,0,0
-22.29,-24.5334,0,0,0,0
-22.28,-24.5234,0,0,0,0
-22.27,-24.5134,0,0,0,0
-22.26,-24.5034,0,0,0,0
-22.25,-24.4934,0,0,0,0
-22.24,-24.4834,0,0,0,0
-22.23,-24.4734,0,0,0,0
-22.22,-24.4634,0,0,0,0
-22.21,-24.4534,0,0,0,0
-22.2,-24.4434,0,0,0,0
-22.19,-24.4334,0,0,0,0
-22.18,-24.4234,0,0,0,0
-22.17,-24.4134,0,0,0,0
-22.16,-24.4034,0,0,0,0
-22.15,-24.3934,0,0,0,0
-22.14,-24.3834,0,0,0,0
-22.13,-24.3734,0,0,0,0
-22.12,-24.3634,0,0,0,0
-22.11,-24.3534,0,0,0,0
-22.1,-24.3434,0,0,0,0
-22.09,-24.3334,0,0,0,0
-22.08,-24.3234,0,0,0,0
-22.07,-24.3134,0,0,0,0
-22.06,-24.3034,0,0,0,0
-22.05,-24.2934,0,0,0,0
-22.04,-24.2834,0,0,0,0
-22.03,-24.2734,0,0,0,0
-22.02,-24.2634,0,0,0,0
-22.01,-24.2534,0,0,0,0
-22,-24.2434,0,0,0,0
-21.99,-24.2334,0,0,0,0
-21.98,-24.2234,0,0,0,0
-21.97,-24.2134,0,0,0,0
-21.96,-24.2034,0,0,0,0
-21.95,-24.1934,0,0,0,0
-21.94,-24.1834,0,0,0,0
-21.93,-24.1734,0,0,0,0
-21.92,-24.1634,0,0,0,0
-21.91,-24.1534,0,0,0,0
-21.9,-24.1434,0,0,0,0
-21.89,-24.1334,0,0,0,0
-21.88,-24.1234,0,0,0,0
-21.87,-24.1134,0,0,0,0
-21.86,-24.1034,0,0,0,0
-21.85,-24.0934,0,0,0,0
-21.84,-24.0834,0,0,0,0
-21.83,-24.0734,0,0,0,0
-21.82,-24.0634,0,0,0,0
-21.81,-24.0534,0,0,0,0
-21.8,-24.0434,0,0,0,0
-21.79,-24.0334,0,0,0,0
-21.78,-24.0234,0,0,0,0
-21.77,-24.0134,0,0,0,0
-21.76,-24.0034,0,0,0,0
-21.75,-23.9934,0,0,0,0
-21.74,-23.9834,0,0,0,0
-21.73,-23.9734,0,0,0,0
-21.72,-23.9634,0,0,0,0
-21.71,-23.9534,0,0,0,0
-21.7,-23.9434,0,0,0,0
-21.69,-23.9334,0,0,0,0
-21.68,-23.9234,0,0,0,0
-21.67,-23.9134,0,0,0,0
-21.66,-23.9034,0,0,0,0
-21.65,-23.8934,0,0,0,0
-21.64,-23.8834,0,0,0,0
-21.63,-23.8734,0,0,0,0
-21.62,-23.8634,0,0,0,0
-21.61,-23.8534,0,0,0,0
-21.6,-23.8434,0,0,0,0
-21.59,-23.8334,0,0,0,0
-21.58,-23.8234,0,0,0,0
-21.57,-23.8134,0,0,0,0
-21.56,-23.8034,0,0,0,0
-21.55,-23.7934,0,0,0,0
-21.54,-23.7834,0,0,0,0
-21.53,-23.7734,0,0,0,0
-21.52,-23.7634,0,0,0,0
-21.51,-23.7534,0,0,0,0
-21.5,-23.7434,0,0,0,0
-21.49,-23.7334,0,0,0,0
-21.48,-23.7234,0,0,0,0
-21.47,-23.7134,0,0,0,0
-21.46,-23.7034,0,0,0,0
-21.45,-23.6934,0,0,0,0
-21.44,-23.6834,0,0,0,0
-21.43,-23.6734,0,0,0,0
-21.42,-23.6634,0,0,0,0
-21.41,-23.6534,0,0,0,0
-21.4,-23.6434,0,0,0,0
-21.39,-23.6334,0,0,0,0
-21.38,-23.6234,0,0,0,0
-21.37,-23.6134,0,0,0,0
-21.36,-23.6034,0,0,0,0
-21.35,-23.5934,0,0,0,0
-21.34,-23.5834,0,0,0,0
-21.33,-23.5734,0,0,0,0
-21.32,-23.5634,0,0,0,0
-21.31,-23.5534,0,0,0,0
-21.3,-23.5434,0,0,0,0
-21.29,-23.5334,0,0,0,0
-21.28,-23.5234,0,0,0,0
-21.27,-23.5134,0,0,0,0
-21.26,-23.5034,0,0,0,0
-21.25,-23.4934,0,0,0,0
-21.24,-23.4834,0,0,0,0
-21.23,-23.4734,0,0,0,0
-21.22,-23.4634,0,0,0,0
-21.21,-23.4534,0,0,0,0
-21.2,-23.4434,0,0,0,0
-21.19,-23.4334,0,0,0,0
-21.18,-23.4234,0,0,0,0
-21.17,-23.4134,0,0,0,0
-21.16,-23.4034,0,0,0,0
-21.15,-23.3934,0,0,0,0
-21.14,-23.3834,0,0,0,0
-21.13,-23.3734,0,0,0,0
-21.12,-23.3634,0,0,0,0
-21.11,-23.3534,0,0,0,0
-21.1,-23.3434,0,0,0,0
-21.09,-23.3334,0,0,0,0
-21.08,-23.3234,0,0,0,0
-21.07,-23.3134,0,0,0,0
-21.06,-23.3034,0,0,0,0
-21.05,-23.2934,0,0,0,0
-21.04,-23.2834,0,0,0,0
-21.03,-23.2734,0,0,0,0
-21.02,-23.2634,0,0,0,0
-21.01,-23.2534,0,0,0,0
-21,-23.2434,0,0,0,0
-20.99,-23.2334,0,0,0,0
-20.98,-23.2234,0,0,0,0
-20.97,-23.2134,0,0,0,0
-20.96,-23.2034,0,0,0,0
-20.95,-23.1934,0,0,0,0
-20.94,-23.1834,0,0,0,0
-20.93,-23.1734,0,0,0,0
-20.92,-23.1634,0,0,0,0
-20.91,-23.1534,0,0,0,0
-20.9,-23.1434,0,0,0,0
-20.89,-23.1334,0,0,0,0
-20.88,-23.1234,0,0,0,0
-20.87,-23.1134,0,0,0,0
-20.86,-23.1034,0,0,0,0
-20.85,-23.0934,0,0,0,0
-20.84,-23.0834,0,0,0,0
-20.83,-23.0734,0,0,0,0
-20.82,-23.0634,0,0,0,0
-20.81,-23.0534,0,0,0,0
-20.8,-23.0434,0,0,0,0
-20.79,-23.0334,0,0,0,0
-20.78,-23.0234,0,0,0,0
-20.77,-23.0134,0,0,0,0
-20.76,-23.0034,0,0,0,0
-20.75,-22.9934,0,0,0,0
-20.74,-22.9834,0,0,0,0
-20.73,-22.9734,0,0,0,0
-20.72,-22.9634,0,0,0,0
-20.71,-22.9534,0,0,0,0
-20.7,-22.9434,0,0,0,0
-20.69,-22.9334,0,0,0,0
-20.68,-22.9234,0,0,0,0
-20.67,-22.9134,0,0,0,0
-20.66,-22.9034,0,0,0,0
-20.65,-22.8934,0,0,0,0
-20.64,-22.8834,0,0,0,0
-20.63,-22.8734,0,0,0,0
-20.62,-22.8634,0,0,0,0
-20.61,-22.8534,0,0,0,0
-20.6,-22.8434,0,0,0,0
-20.59,-22.8334,0,0,0,0
-20.58,-22.8234,0,0,0,0
-20.57,-22.8134,0,0,0,0
-20.56,-22.8034,0,0,0,0
-20.55,-22.7934,0,0,0,0
-20.54,-22.7834,0,0,0,0
-20.53,-22.7734,0,0,0,0
-20.52,-22.7634,0,0,0,0
-20.51,-22.7534,0,0,0,0
-20.5,-22.7434,0,0,0,0
-20.49,-22.7334,0,0,0,0
-20.48,-22.7234,0,0,0,0
-20.47,-22.7134,0,0,0,0
-20.46,-22.7034,0,0,0,0
-20.45,-22.6934,0,0,0,0
-20.44,-22.6834,0,0,0,0
-20.43,-22.6734,0,0,0,0
-20.42,-22.6634,0,0,0,0
-20.41,-22.6534,0,0,0,0
-20.4,-22.6434,0,0,0,0
-20.39,-22.6334,0,0,0,0
-20.38,-22.6234,0,0,0,0
-20.37,-22.6134,0,0,0,0
-20.36,-22.6034,0,0,0,0
-20.35,-22.5934,0,0,0,0
-20.34,-22.5834,0,0,0,0
-20.33,-22.5734,0,0,0,0
-20.32,-22.5634,0,0,0,0
-20.31,-22.5534,0,0,0,0
-20.3,-22.5434,0,0,0,0
-20.29,-22.5334,0,0,0,0
-20.28,-22.5234,0,0,0,0
-20.27,-22.5134,0,0,0,0
-20.26,-22.5034,0,0,0,0
-20.25,-22.4934,0,0,0,0
-20.24,-22.4834,0,0,0,0
-20.23,-22.4734,0,0,0,0
-20.22,-22.4634,0,0,0,0
-20.21,-22.4534,0,0,0,0
-20.2,-22.4434,0,0,0,0
-20.19,-22.4334,0,0,0,0
-20.18,-22.4234,0,0,0,0
-20.17,-22.4134,0,0,0,0
-20.16,-22.4034,0,0,0,0
-20.15,-22.3934,0,0,0,0
-20.14,-22.3834,0,0,0,0
-20.13,-22.3734,0,0,0,0
-20.12,-22.3634,0,0,0,0
-20.11,-22.3534,0,0,0,0
-20.1,-22.3434,0,0,0,0
-20.09,-22.3334,0,0,0,0
-20.08,-22.3234,0,0,0,0
-20.07,-22.3134,0,0,0,0
-20.06,-22.3034,0,0,0,0
-20.05,-22.2934,0,0,0,0
-20.04,-22.2834,0,0,0,0
-20.03,-22.2734,0,0,0,0
-20.02,-22.2634,0,0,0,0
-20.01,-22.2534,0,0,0,0
-20,-22.2434,0,0,0,0
-19.99,-22.2334,0,0,0,0
-19.98,-22.2234,0,0,0,0
-19.97,-22.2134,0,0,0,0
-19.96,-22.2034,0,0,0,0
-19.95,-22.1934,0,0,0,0
-19.94,-22.1834,0,0,0,0
-19.93,-22.1734,0,0,0,0
-19.92,-22.1634,0,0,0,0
-19.91,-22.1534,0,0,0,0
-19.9,-22.1434,0,0,0,0
-19.89,-22.1334,0,0,0,0
-19.88,-22.1234,0,0,0,0
-19.87,-22.1134,0,0,0,0
-19.86,-22.1034,0,0,0,0
-19.85,-22.0934,0,0,0,0
-19.84,-22.0834,0,0,0,0
-19.83,-22.0734,0,0,0,0
-19.82,-22.0634,0,0,0,0
-19.81,-22.0534,0,0,0,0
-19.8,-22.0434,0,0,0,0
-19.79,-22.0334,0,0,0,0
-19.78,-22.0234,0,0,0,0
-19.77,-22.0134,0,0,0,0
-19.76,-22.0034,0,0,0,0
-19.75,-21.9934,0,0,0,0
-19.74,-21.9834,0,0,0,0
-19.73,-21.9734,0,0,0,0
-19.72,-21.9634,0,0,0,0
-19.71,-21.9534,0,0,0,0
-19.7,-21.9434,0,0,0,0
-19.69,-21.9334,0,0,0,0
-19.68,-21.9234,0,0,0,0
-19.67,-21.9134,0,0,0,0
-19.66,-21.9034,0,0,0,0
-19.65,-21.8934,0,0,0,0
-19.64,-21.8834,0,0,0,0
-19.63,-21.8734,0,0,0,0
-19.62,-21.8634,0,0,0,0
-19.61,-21.8534,0,0,0,0
-19.6,-21.8434,0,0,0,0
-19.59,-21.8334,0,0,0,0
-19.58,-21.8234,0,0,0,0
-19.57,-21.8134,0,0,0,0
-19.56,-21.8034,0,0,0,0
-19.55,-21.7934,0,0,0,0
-19.54,-21.7834,0,0,0,0
-19.53,-21.7734,0,0,0,0
-19.52,-21.7634,0,0,0,0
-19.51,-21.7534,0,0,0,0
-19.5,-21.7434,0,0,0,0
-19.49,-21.7334,0,0,0,0
-19.48,-21.7234,0,0,0,0
-19.47,-21.7134,0,0,0,0
-19.46,-21.7034,0,0,0,0
-19.45,-21.6934,0,0,0,0
-19.44,-21.6834,0,0,0,0
-19.43,-21.6734,0,0,0,0
-19.42,-21.6634,0,0,0,0
-19.41,-21.6534,0,0,0,0
-19.4,-21.6434,0,0,0,0
-19.39,-21.6334,0,0,0,0
-19.38,-21.6234,0,0,0,0
-19.37,-21.6134,0,0,0,0
-19.36,-21.6034,0,0,0,0
-19.35,-21.5934,0,0,0,0
-19.34,-21.5834,0,0,0,0
-19.33,-21.5734,0,0,0,0
-19.32,-21.5634,0,0,0,0
-19.31,-21.5534,0,0,0,0
-19.3,-21.5434,0,0,0,0
-19.29,-21.5334,0,0,0,0
-19.28,-21.5234,0,0,0,0
-19.27,-21.5134,0,0,0,0
-19.26,-21.5034,0,0,0,0
-19.25,-21.4934,0,0,0,0
-19.24,-21.4834,0,0,0,0
-19.23,-21.4734,0,0,0,0
-19.22,-21.4634,0,0,0,0
-19.21,-21.4534,0,0,0,0
-19.2,-21.4434,0,0,0,0
-19.19,-21.4334,0,0,0,0
-19.18,-21.4234,0,0,0,0
-19.17,-21.4134,0,0,0,0
-19.16,-21.4034,0,0,0,0
-19.15,-21.3934,0,0,0,0
-19.14,-21.3834,0,0,0,0
-19.13,-21.3734,0,0,0,0
-19.12,-21.3634,0,0,0,0
-19.11,-21.3534,0,0,0,0
-19.1,-21.3434,0,0,0,0
-19.09,-21.3334,0,0,0,0
-19.08,-21.3234,0,0,0,0
-19.07,-21.3134,0,0,0,0
-19.06,-21.3034,0,0,0,0
-19.05,-21.2934,0,0,0,0
-19.04,-21.2834,0,0,0,0
-19.03,-21.2734,0,0,0,0
-19.02,-21.2634,0,0,0,0
-19.01,-21.2534,0,0,0,0
-19,-21.2434,0,0,0,0
-18.99,-21.2334,0,0,0,0
-18.98,-21.2234,0,0,0,0
-18.97,-21.2134,0,0,0,0
-18.96,-21.2034,0,0,0,0
-18.95,-21.1934,0,0,0,0
-18.94,-21.1834,0,0,0,0
-18.93,-21.1734,0,0,0,0
-18.92,-21.1634,0,0,0,0
-18.91,-21.1534,0,0,0,0
-18.9,-21.1434,0,0,0,0
-18.89,-21.1334,0,0,0,0
-18.88,-21.1234,0,0,0,0
-18.87,-21.1134,0,0,0,0
-18.86,-21.1034,0,0,0,0
-18.85,-21.0934,0,0,0,0
-18.84,-21.0834,0,0,0,0
-18.83,-21.0734,0,0,0,0
-18.82,-21.0634,0,0,0,0
-18.81,-21.0534,0,0,0,0
-18.8,-21.0434,0,0,0,0
-18.79,-21.0334,0,0,0,0
-18.78,-21.0234,0,0,0,0
-18.77,-21.0134,0,0,0,0
-18.76,-21.0034,0,0,0,0
-18.75,-20.9934,0,0,0,0
-18.74,-20.9834,0,0,0,0
-18.73,-20.9734,0,0,0,0
-18.72,-20.9634,0,0,0,0
-18.71,-20.9534,0,0,0,0
-18.7,-20.9434,0,0,0,0
-18.69,-20.9334,0,0,0,0
-18.68,-20.9234,0,0,0,0
-18.67,-20.9134,0,0,0,0
-18.66,-20.9034,0,0,0,0
-18.65,-20.8934,0,0,0,0
-18.64,-20.8834,0,0,0,0
-18.63,-20.8734,0,0,0,0
-18.62,-20.8634,0,0,0,0
-18.61,-20.8534,0,0,0,0
-18.6,-20.8434,0,0,0,0
-18.59,-20.8334,0,0,0,0
-18.58,-20.8234,0,0,0,0
-18.57,-20.8134,0,0,0,0
-18.56,-20.8034,0,0,0,0
-18.55,-20.7934,0,0,0,0
-18.54,-20.7834,0,0,0,0
-18.53,-20.7734,0,0,0,0
-18.52,-20.7634,0,0,0,0
-18.51,-20.7534,0,0,0,0
-18.5,-20.7434,0,0,0,0
-18.49,-20.7334,0,0,0,0
-18.48,-20.7234,0,0,0,0
-18.47,-20.7134,0,0,0,0
-18.46,-20.7034,0,0,0,0
-18.45,-20.6934,0,0,0,0
-18.44,-20.6834,0,0,0,0
-18.43,-20.6734,0,0,0,0
-18.42,-20.6634,0,0,0,0
-18.41,-20.6534,0,0,0,0
-18.4,-20.6434,0,0,0,0
-18.39,-20.6334,0,0,0,0
-18.38,-20.6234,0,0,0,0
-18.37,-20.6134,0,0,0,0
-18.36,-20.6034,0,0,0,0
-18.35,-20.5934,0,0,0,0
-18.34,-20.5834,0,0,0,0
-18.33,-20.5734,0,0,0,0
-18.32,-20.5634,0,0,0,0
-18.31,-20.5534,0,0,0,0
-18.3,-20.5434,0,0,0,0
-18.29,-20.5334,0,0,0,0
-18.28,-20.5234,0,0,0,0
-18.27,-20.5134,0,0,0,0
-18.26,-20.5034,0,0,0,0
-18.25,-20.4934,0,0,0,0
-18.24,-20.4834,0,0,0,0
-18.23,-20.4734,0,0,0,0
-18.22,-20.4634,0,0,0,0
-18.21,-20.4534,0,0,0,0
-18.2,-20.4434,0,0,0,0
-18.19,-20.4334,0,0,0,0
-18.18,-20.4234,0,0,0,0
-18.17,-20.4134,0,0,0,0
-18.16,-20.4034,0,0,0,0
-18.15,-20.3934,0,0,0,0
-18.14,-20.3834,0,0,0,0
-18.13,-20.3734,0,0,0,0
-18.12,-20.3634,0,0,0,0
-18.11,-20.3534,0,0,0,0
-18.1,-20.3434,0,0,0,0
-18.09,-20.3334,0,0,0,0
-18.08,-20.3234,0,0,0,0
-18.07,-20.3134,0,0,0,0
-18.06,-20.3034,0,0,0,0
-18.05,-20.2934,0,0,0,0
-18.04,-20.2834,0,0,0,0
-18.03,-20.2734,0,0,0,0
-18.02,-20.2634,0,0,0,0
-18.01,-20.2534,0,0,0,0
-18,-20.2434,0,0,0,0
-17.99,-20.2334,0,0,0,0
-17.98,-20.2234,0,0,0,0
-17.97,-20.2134,0,0,0,0
-17.96,-20.2034,0,0,0,0
-17.95,-20.1934,0,0,0,0
-17.94,-20.1834,0,0,0,0
-17.93,-20.1734,0,0,0,0
-17.92,-20.1634,0,0,0,0
-17.91,-20.1534,0,0,0,0
-17.9,-20.1434,0,0,0,0
-17.89,-20.1334,0,0,0,0
-17.88,-20.1234,0,0,0,0
-17.87,-20.1134,0,0,0,0
-17.86,-20.1034,0,0,0,0
-17.85,-20.0934,0,0,0,0
-17.84,-20.0834,0,0,0,0
-17.83,-20.0734,0,0,0,0
-17.82,-20.0634,0,0,0,0
-17.81,-20.0534,0,0,0,0
-17.8,-20.0434,0,0,0,0
-17.79,-20.0334,0,0,0,0
-17.78,-20.0234,0,0,0,0
-17.77,-20.0134,0,0,0,0
-17.76,-20.0034,0,0,0,0
-17.75,-19.9934,0,0,0,0
-17.74,-19.9834,0,0,0,0
-17.73,-19.9734,0,0,0,0
-17.72,-19.9634,0,0,0,0
-17.71,-19.9534,0,0,0,0
-17.7,-19.9434,0,0,0,0
-17.69,-19.9334,0,0,0,0
-17.68,-19.9234,0,0,0,0
-17.67,-19.9134,0,0,0,0
-17.66,-19.9034,0,0,0,0
-17.65,-19.8934,0,0,0,0
-17.64,-19.8834,0,0,0,0
-17.63,-19.8734,0,0,0,0
-17.62,-19.8634,0,0,0,0
-17.61,-19.8534,0,0,0,0
-17.6,-19.8434,0,0,0,0
-17.59,-19.8334,0,0,0,0
-17.58,-19.8234,0,0,0,0
-17.57,-19.8134,0,0,0,0
-17.56,-19.8034,0,0,0,0
-17.55,-19.7934,0,0,0,0
-17.54,-19.7834,0,0,0,0
-17.53,-19.7734,0,0,0,0
-17.52,-19.7634,0,0,0,0
-17.51,-19.7534,0,0,0,0
-17.5,-19.7434,0,0,0,0
-17.49,-19.7334,0,0,0,0
-17.48,-19.7234,0,0,0,0
-17.47,-19.7134,0,0,0,0
-17.46,-19.7034,0,0,0,0
-17.45,-19.6934,0,0,0,0
-17.44,-19.6834,0,0,0,0
-17.43,-19.6734,0,0,0,0
-17.42,-19.6634,0,0,0,0
-17.41,-19.6534,0,0,0,0
-17.4,-19.6434,0,0,0,0
-17.39,-19.6334,0,0,0,0
-17.38,-19.6234,0,0,0,0
-17.37,-19.6134,0,0,0,0
-17.36,-19.6034,0,0,0,0
-17.35,-19.5934,0,0,0,0
-17.34,-19.5834,0,0,0,0
-17.33,-19.5734,0,0,0,0
-17.32,-19.5634,0,0,0,0
-17.31,-19.5534,0,0,0,0
-17.3,-19.5434,0,0,0,0
-17.29,-19.5334,0,0,0,0
-17.28,-19.5234,0,0,0,0
-17.27,-19.5134,0,0,0,0
-17.26,-19.5034,0,0,0,0
-17.25,-19.4934,0,0,0,0
-17.24,-19.4834,0,0,0,0
-17.23,-19.4734,0,0,0,0
-17.22,-19.4634,0,0,0,0
-17.21,-19.4534,0,0,0,0
-17.2,-19.4434,0,0,0,0
-17.19,-19.4334,0,0,0,0
-17.18,-19.4234,0,0,0,0
-17.17,-19.4134,0,0,0,0
-17.16,-19.4034,0,0,0,0
-17.15,-19.3934,0,0,0,0
-17.14,-19.3834,0,0,0,0
-17.13,-19.3734,0,0,0,0
-17.12,-19.3634,0,0,0,0
-17.11,-19.3534,0,0,0,0
-17.1,-19.3434,0,0,0,0
-17.09,-19.3334,0,0,0,0
-17.08,-19.3234,0,0,0,0
-17.07,-19.3134,0,0,0,0
-17.06,-19.3034,0,0,0,0
-17.05,-19.2934,0,0,0,0
-17.04,-19.2834,0,0,0,0
-17.03,-19.2734,0,0,0,0
-17.02,-19.2634,0,0,0,0
-17.01,-19.2534,0,0,0,0
-17,-19.2434,0,0,0,0
-16.99,-19.2334,0,0,0,0
-16.98,-19.2234,0,0,0,0
-16.97,-19.2134,0,0,0,0
-16.96,-19.2034,0,0,0,0
-16.95,-19.1934,0,0,0,0
-16.94,-19.1834,0,0,0,0
-16.93,-19.1734,0,0,0,0
-16.92,-19.1634,0,0,0,0
-16.91,-19.1534,0,0,0,0
-16.9,-19.1434,0,0,0,0
-16.89,-19.1334,0,0,0,0
-16.88,-19.1234,0,0,0,0
-16.87,-19.1134,0,0,0,0
-16.86,-19.1034,0,0,0,0
-16.85,-19.0934,0,0,0,0
-16.84,-19.0834,0,0,0,0
-16.83,-19.0734,0,0,0,0
-16.82,-19.0634,0,0,0,0
-16.81,-19.0534,0,0,0,0
-16.8,-19.0434,0,0,0,0
-16.79,-19.0334,0,0,0,0
-16.78,-19.0234,0,0,0,0
-16.77,-19.0134,0,0,0,0
-16.76,-19.0034,0,0,0,0
-16.75,-18.9934,0,0,0,0
-16.74,-18.9834,0,0,0,0
-16.73,-18.9734,0,0,0,0
-16.72,-18.9634,0,0,0,0
-16.71,-18.9534,0,0,0,0
-16.7,-18.9434,0,0,0,0
-16.69,-18.9334,0,0,0,0
-16.68,-18.9234,0,0,0,0
-16.67,-18.9134,0,0,0,0
-16.66,-18.9034,0,0,0,0
-16.65,-18.8934,0,0,0,0
-16.64,-18.8834,0,0,0,0
-16.63,-18.8734,0,0,0,0
-16.62,-18.8634,0,0,0,0
-16.61,-18.8534,0,0,0,0
-16.6,-18.8434,0,0,0,0
-16.59,-18.8334,0,0,0,0
-16.58,-18.8234,0,0,0,0
-16.57,-18.8134,0,0,0,0
-16.56,-18.8034,0,0,0,0
-16.55,-18.7934,0,0,0,0
-16.54,-18.7834,0,0,0,0
-16.53,-18.7734,0,0,0,0
-16.52,-18.7634,0,0,0,0
-16.51,-18.7534,0,0,0,0
-16.5,-18.7434,0,0,0,0
