# li2s_mp-1153 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.243 eV. Gap is the fixed-occ nscf value (3.438 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,S_p,S_s
-41.22,-43.4634,0,0,0,0
-41.21,-43.4534,0,0,0,0
-41.2,-43.4434,0,0,0,0
-41.19,-43.4334,0,0,0,0
-41.18,-43.4234,0,0,0,0
-41.17,-43.4134,0,0,0,0
-41.16,-43.4034,0,0,0,0
-41.15,-43.3934,0,0,0,0
-41.14,-43.3834,0,0,0,0
-41.13,-43.3734,0,0,0,0
-41.12,-43.3634,0,0,0,0
-41.11,-43.3534,0,0,0,0
-41.1,-43.3434,0,0,0,0
-41.09,-43.3334,0,0,0,0
-41.08,-43.3234,0,0,0,0
-41.07,-43.3134,0,0,0,0
-41.06,-43.3034,0,0,0,0
-41.05,-43.2934,0,0,0,0
-41.04,-43.2834,0,0,0,0
-41.03,-43.2734,0,0,0,0
-41.02,-43.2634,0,0,0,0
-41.01,-43.2534,0,0,0,0
-41,-43.2434,0,0,0,0
-40.99,-43.2334,0,0,0,0
-40.98,-43.2234,0,0,0,0
-40.97,-43.2134,0,0,0,0
-40.96,-43.2034,0,0,0,0
-40.95,-43.1934,0,0,0,0
-40.94,-43.1834,0,0,0,0
-40.93,-43.1734,0,0,0,0
-40.92,-43.1634,0,0,0,0
-40.91,-43.1534,0,0,0,0
-40.9,-43.1434,0,0,0,0
-40.89,-43.1334,0,0,0,0
-40.88,-43.1234,0,0,0,0
-40.87,-43.1134,0,0,0,0
-40.86,-43.1034,0,0,0,0
-40.85,-43.0934,0,0,0,0
-40.84,-43.0834,0,0,0,0
-40.83,-43.0734,0,0,0,0
-40.82,-43.0634,0,0,0,0
-40.81,-43.0534,0,0,0,0
-40.8,-43.0434,0,0,0,0
-40.79,-43.0334,0,0,0,0
-40.78,-43.0234,0,0,0,0
-40.77,-43.0134,0,0,0,0
-40.76,-43.0034,0,0,0,0
-40.75,-42.9934,0,0,0,0
-40.74,-42.9834,0,0,0,0
-40.73,-42.9734,0,0,0,0
-40.72,-42.9634,0,0,0,0
-40.71,-42.9534,0,0,0,0
-40.7,-42.9434,0,0,0,0
-40.69,-42.9334,0,0,0,0
-40.68,-42.9234,0,0,0,0
-40.67,-42.9134,0,0,0,0
-40.66,-42.9034,0,0,0,0
-40.65,-42.8934,0,0,0,0
-40.64,-42.8834,0,0,0,0
-40.63,-42.8734,0,0,0,0
-40.62,-42.8634,0,0,0,0
-40.61,-42.8534,0,0,0,0
-40.6,-42.8434,0,0,0,0
-40.59,-42.8334,0,0,0,0
-40.58,-42.8234,0,0,0,0
-40.57,-42.8134,0,0,0,0
-40.56,-42.8034,0,0,0,0
-40.55,-42.7934,0,0,0,0
-40.54,-42.7834,0,0,0,0
-40.53,-42.7734,0,0,0,0
-40.52,-42.7634,0,0,0,0
-40.51,-42.7534,0,0,0,0
-40.5,-42.7434,0,0,0,0
-40.49,-42.7334,0,0,0,0
-40.48,-42.7234,0,0,0,0
-40.47,-42.7134,0,0,0,0
-40.46,-42.7034,0,0,0,0
-40.45,-42.6934,0,0,0,0
-40.44,-42.6834,0,0,0,0
-40.43,-42.6734,0,0,0,0
-40.42,-42.6634,0,0,0,0
-40.41,-42.6534,0,0,0,0
-40.4,-42.6434,0,0,0,0
-40.39,-42.6334,0,0,0,0
-40.38,-42.6234,0,0,0,0
-40.37,-42.6134,0,0,0,0
-40.36,-42.6034,0,0,0,0
-40.35,-42.5934,0,0,0,0
-40.34,-42.5834,0,0,0,0
-40.33,-42.5734,0,0,0,0
-40.32,-42.5634,0,0,0,0
-40.31,-42.5534,0,0,0,0
-40.3,-42.5434,0,0,0,0
-40.29,-42.5334,0,0,0,0
-40.28,-42.5234,0,0,0,0
-40.27,-42.5134,0,0,0,0
-40.26,-42.5034,0,0,0,0
-40.25,-42.4934,0,0,0,0
-40.24,-42.4834,0,0,0,0
-40.23,-42.4734,0,0,0,0
-40.22,-42.4634,0,0,0,0
-40.21,-42.4534,0,0,0,0
-40.2,-42.4434,0,0,0,0
-40.19,-42.4334,0,0,0,0
-40.18,-42.4234,0,0,0,0
-40.17,-42.4134,0,0,0,0
-40.16,-42.4034,0,0,0,0
-40.15,-42.3934,0,0,0,0
-40.14,-42.3834,0,0,0,0
-40.13,-42.3734,0,0,0,0
-40.12,-42.3634,0,0,0,0
-40.11,-42.3534,0,0,0,0
-40.1,-42.3434,0,0,0,0
-40.09,-42.3334,0,0,0,0
-40.08,-42.3234,0,0,0,0
-40.07,-42.3134,0,0,0,0
-40.06,-42.3034,0,0,0,0
-40.05,-42.2934,0,0,0,0
-40.04,-42.2834,0,0,0,0
-40.03,-42.2734,0,0,0,0
-40.02,-42.2634,0,0,0,0
-40.01,-42.2534,0,0,0,0
-40,-42.2434,0,0,0,0
-39.99,-42.2334,0,0,0,0
-39.98,-42.2234,0,0,0,0
-39.97,-42.2134,0,0,0,0
-39.96,-42.2034,0,0,0,0
-39.95,-42.1934,0,0,0,0
-39.94,-42.1834,0,0,0,0
-39.93,-42.1734,0,0,0,0
-39.92,-42.1634,0,0,0,0
-39.91,-42.1534,0,0,0,0
-39.9,-42.1434,0,0,0,0
-39.89,-42.1334,0,0,0,0
-39.88,-42.1234,0,0,0,0
-39.87,-42.1134,0,0,0,0
-39.86,-42.1034,0,0,0,0
-39.85,-42.0934,0,0,0,0
-39.84,-42.0834,0,0,0,0
-39.83,-42.0734,0,0,0,0
-39.82,-42.0634,0,0,0,0
-39.81,-42.0534,0,0,0,0
-39.8,-42.0434,0,0,0,0
-39.79,-42.0334,0,0,0,0
-39.78,-42.0234,0,0,0,0
-39.77,-42.0134,0,0,0,0
-39.76,-42.0034,0,0,0,0
-39.75,-41.9934,0,0,0,0
-39.74,-41.9834,0,0,0,0
-39.73,-41.9734,0,0,0,0
-39.72,-41.9634,0,0,0,0
-39.71,-41.9534,0,0,0,0
-39.7,-41.9434,0,0,0,0
-39.69,-41.9334,0,0,0,0
-39.68,-41.9234,0,0,0,0
-39.67,-41.9134,0,0,0,0
-39.66,-41.9034,0,0,0,0
-39.65,-41.8934,0,0,0,0
-39.64,-41.8834,0,0,0,0
-39.63,-41.8734,0,0,0,0
-39.62,-41.8634,0,0,0,0
-39.61,-41.8534,0,0,0,0
-39.6,-41.8434,0,0,0,0
-39.59,-41.8334,0,0,0,0
-39.58,-41.8234,0,0,0,0
-39.57,-41.8134,0,0,0,0
-39.56,-41.8034,0,0,0,0
-39.55,-41.7934,0,0,0,0
-39.54,-41.7834,0,0,0,0
-39.53,-41.7734,0,0,0,0
-39.52,-41.7634,0,0,0,0
-39.51,-41.7534,0,0,0,0
-39.5,-41.7434,0,0,0,0
-39.49,-41.7334,0,0,0,0
-39.48,-41.7234,0,0,0,0
-39.47,-41.7134,0,0,0,0
-39.46,-41.7034,0,0,0,0
-39.45,-41.6934,0,0,0,0
-39.44,-41.6834,0,0,0,0
-39.43,-41.6734,0,0,0,0
-39.42,-41.6634,0,0,0,0
-39.41,-41.6534,0,0,0,0
-39.4,-41.6434,0,0,0,0
-39.39,-41.6334,0,0,0,0
-39.38,-41.6234,0,0,0,0
-39.37,-41.6134,0,0,0,0
-39.36,-41.6034,0,0,0,0
-39.35,-41.5934,0,0,0,0
-39.34,-41.5834,0,0,0,0
-39.33,-41.5734,0,0,0,0
-39.32,-41.5634,0,0,0,0
-39.31,-41.5534,0,0,0,0
-39.3,-41.5434,0,0,0,0
-39.29,-41.5334,0,0,0,0
-39.28,-41.5234,0,0,0,0
-39.27,-41.5134,0,0,0,0
-39.26,-41.5034,0,0,0,0
-39.25,-41.4934,0,0,0,0
-39.24,-41.4834,0,0,0,0
-39.23,-41.4734,0,0,0,0
-39.22,-41.4634,0,0,0,0
-39.21,-41.4534,0,0,0,0
-39.2,-41.4434,0,0,0,0
-39.19,-41.4334,0,0,0,0
-39.18,-41.4234,0,0,0,0
-39.17,-41.4134,0,0,0,0
-39.16,-41.4034,0,0,0,0
-39.15,-41.3934,0,0,0,0
-39.14,-41.3834,0,0,0,0
-39.13,-41.3734,0,0,0,0
-39.12,-41.3634,0,0,0,0
-39.11,-41.3534,0,0,0,0
-39.1,-41.3434,0,0,0,0
-39.09,-41.3334,0,0,0,0
-39.08,-41.3234,0,0,0,0
-39.07,-41.3134,0,0,0,0
-39.06,-41.3034,0,0,0,0
-39.05,-41.2934,0,0,0,0
-39.04,-41.2834,0,0,0,0
-39.03,-41.2734,0,0,0,0
-39.02,-41.2634,0,0,0,0
-39.01,-41.2534,0,0,0,0
-39,-41.2434,0,0,0,0
-38.99,-41.2334,0,0,0,0
-38.98,-41.2234,0,0,0,0
-38.97,-41.2134,0,0,0,0
-38.96,-41.2034,0,0,0,0
-38.95,-41.1934,0,0,0,0
-38.94,-41.1834,0,0,0,0
-38.93,-41.1734,0,0,0,0
-38.92,-41.1634,0,0,0,0
-38.91,-41.1534,0,0,0,0
-38.9,-41.1434,0,0,0,0
-38.89,-41.1334,0,0,0,0
-38.88,-41.1234,0,0,0,0
-38.87,-41.1134,0,0,0,0
-38.86,-41.1034,0,0,0,0
-38.85,-41.0934,0,0,0,0
-38.84,-41.0834,0,0,0,0
-38.83,-41.0734,0,0,0,0
-38.82,-41.0634,0,0,0,0
-38.81,-41.0534,0,0,0,0
-38.8,-41.0434,0,0,0,0
-38.79,-41.0334,0,0,0,0
-38.78,-41.0234,0,0,0,0
-38.77,-41.0134,0,0,0,0
-38.76,-41.0034,0,0,0,0
-38.75,-40.9934,0,0,0,0
-38.74,-40.9834,0,0,0,0
-38.73,-40.9734,0,0,0,0
-38.72,-40.9634,0,0,0,0
-38.71,-40.9534,0,0,0,0
-38.7,-40.9434,0,0,0,0
-38.69,-40.9334,0,0,0,0
-38.68,-40.9234,0,0,0,0
-38.67,-40.9134,0,0,0,0
-38.66,-40.9034,0,0,0,0
-38.65,-40.8934,0,0,0,0
-38.64,-40.8834,0,0,0,0
-38.63,-40.8734,0,0,0,0
-38.62,-40.8634,0,0,0,0
-38.61,-40.8534,0,0,0,0
-38.6,-40.8434,0,0,0,0
-38.59,-40.8334,0,0,0,0
-38.58,-40.8234,0,0,0,0
-38.57,-40.8134,0,0,0,0
-38.56,-40.8034,0,0,0,0
-38.55,-40.7934,0,0,0,0
-38.54,-40.7834,0,0,0,0
-38.53,-40.7734,0,0,0,0
-38.52,-40.7634,0,0,0,0
-38.51,-40.7534,0,0,0,0
-38.5,-40.7434,0,0,0,0
-38.49,-40.7334,0,0,0,0
-38.48,-40.7234,0,0,0,0
-38.47,-40.7134,0,0,0,0
-38.46,-40.7034,0,0,0,0
-38.45,-40.6934,0,0,0,0
-38.44,-40.6834,0,0,0,0
-38.43,-40.6734,0,0,0,0
-38.42,-40.6634,0,0,0,0
-38.41,-40.6534,0,0,0,0
-38.4,-40.6434,0,0,0,0
-38.39,-40.6334,0,0,0,0
-38.38,-40.6234,0,0,0,0
-38.37,-40.6134,0,0,0,0
-38.36,-40.6034,0,0,0,0
-38.35,-40.5934,0,0,0,0
-38.34,-40.5834,0,0,0,0
-38.33,-40.5734,0,0,0,0
-38.32,-40.5634,0,0,0,0
-38.31,-40.5534,0,0,0,0
-38.3,-40.5434,0,0,0,0
-38.29,-40.5334,0,0,0,0
-38.28,-40.5234,0,0,0,0
-38.27,-40.5134,0,0,0,0
-38.26,-40.5034,0,0,0,0
-38.25,-40.4934,0,0,0,0
-38.24,-40.4834,0,0,0,0
-38.23,-40.4734,0,0,0,0
-38.22,-40.4634,0,0,0,0
-38.21,-40.4534,0,0,0,0
-38.2,-40.4434,0,0,0,0
-38.19,-40.4334,0,0,0,0
-38.18,-40.4234,0,0,0,0
-38.17,-40.4134,0,0,0,0
-38.16,-40.4034,0,0,0,0
-38.15,-40.3934,0,0,0,0
-38.14,-40.3834,0,0,0,0
-38.13,-40.3734,0,0,0,0
-38.12,-40.3634,0,0,0,0
-38.11,-40.3534,0,0,0,0
