# li2o_mp-1960 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.795 eV. Gap is the fixed-occ nscf value (4.986 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,O_p,O_s
-40.443,-43.2375,1.858e-06,2.1566e-05,1.87e-08,7.74e-10
-40.433,-43.2275,3.68e-06,4.2044e-05,3.76e-08,1.57e-09
-40.423,-43.2175,7.14e-06,8.044e-05,7.4e-08,3.13e-09
-40.413,-43.2075,1.358e-05,0.00015072,1.43e-07,6.1e-09
-40.403,-43.1975,2.54e-05,0.0002773,2.72e-07,1.17e-08
-40.393,-43.1875,4.62e-05,0.00049782,5.05e-07,2.18e-08
-40.383,-43.1775,8.28e-05,0.00088,9.23e-07,4.01e-08
-40.373,-43.1675,0.0001452,0.0015212,1.66e-06,7.22e-08
-40.363,-43.1575,0.00025,0.002574,2.92e-06,1.27e-07
-40.353,-43.1475,0.000422,0.0042912,5.04e-06,2.2e-07
-40.343,-43.1375,0.000696,0.007018,8.57e-06,3.74e-07
-40.333,-43.1275,0.00113,0.011228,1.43e-05,6.22e-07
-40.323,-43.1175,0.001798,0.017636,2.35e-05,1.01e-06
-40.313,-43.1075,0.0028,0.02722,3.79e-05,1.62e-06
-40.303,-43.0975,0.0043,0.041188,6.02e-05,2.55e-06
-40.293,-43.0875,0.00646,0.061286,9.4e-05,3.92e-06
-40.283,-43.0775,0.00954,0.08954,0.000145,5.92e-06
-40.273,-43.0675,0.01382,0.12858,0.000219,8.78e-06
-40.263,-43.0575,0.01966,0.18144,0.000326,1.28e-05
-40.253,-43.0475,0.0274,0.25154,0.000479,1.82e-05
-40.243,-43.0375,0.0378,0.3451,0.000694,2.55e-05
-40.233,-43.0275,0.0508,0.46294,0.00099,3.5e-05
-40.223,-43.0175,0.0674,0.61302,0.00139,4.73e-05
-40.213,-43.0075,0.088,0.80136,0.00193,6.26e-05
-40.203,-42.9975,0.1128,1.03194,0.00264,8.14e-05
-40.193,-42.9875,0.1422,1.31074,0.00356,0.000104
-40.183,-42.9775,0.1766,1.6438,0.00473,0.00013
-40.173,-42.9675,0.216,2.025,0.0062,0.000161
-40.163,-42.9575,0.26,2.4884,0.00802,0.000194
