time_s,V_V,delta_Eeq_V,delta_etaMid_V,delta_phiL_V,Li_total_mol_m2,identity_residual_V,Eeq_surface_residual_N_V,reaction_input_surface_residual_N_x,eta_minus_etaMid_N_V,boundary_N_phis_V,boundary_N_phil_V,boundary_N_Eeq_V,boundary_N_etamid_V,boundary_N_x_surface,boundary_N_x_particle_average,Eeq_surface_residual_P_V,reaction_input_surface_residual_P_x,eta_minus_etaMid_P_V,boundary_P_phis_V,boundary_P_phil_V,boundary_P_Eeq_V,boundary_P_etamid_V,boundary_P_x_surface,boundary_P_x_particle_average
0.0,2.2306115627203473,2.1653333353938041,0.062714519710427297,0.0025637076161158,1.236902963915189606,1.03E-16,0E-16,0E-12,0E-18,0.0,-1.3585419554898406,1.4130534391096747,-0.054511483619834156,0.011720681630554826,0.011720681490508412,0E-16,0E-11,0E-18,2.2306115627203473,-1.3559782478737248,3.5783867745034788,0.008203036090593141,0.9240638865435734,0.9240638866942695
0.00001002,2.2306159338837825,2.1653377801463103,0.062714443533187671,0.0025637102042847,1.236902963915190245,-1.71E-16,0E-15,0E-13,0E-16,0.0,-1.358537615353323,1.413049034796559,-0.0545114194432359,0.01172075187777856,0.01172068174471532,0E-16,0E-10,0E-18,2.2306159338837825,-1.3559739051490383,3.5783868149428693,0.008203024089951771,0.9240638111789439,0.924063886420731
0.00002002,2.230620303134049,2.165342222871125,0.062714367470527943,0.0025637127923958,1.236902963915190977,2.57E-16,0E-15,0E-12,0E-18,0.0,-1.358533277032659,1.413044632373949,-0.054511355341289924,0.011720822094849405,0.011720681998922601,0E-15,0E-11,0E-18,2.230620303134049,-1.3559695642402632,3.578386855245074,0.008203012129238019,0.924063736069978,0.9240638861471921
0.00004002,2.2306290370546966,2.165351103595422,0.062714215490780268,0.0025637179684945,1.23690296391519237,-1.68E-16,0E-15,0E-13,0E-18,0.0,-1.3585246047456805,1.413035831936126,-0.054511227190445544,0.011720962458694684,0.011720682507337953,0E-15,0E-10,0E-18,2.2306290370546966,-1.355960886777186,3.578386935531548,0.008202988300334724,0.9240635864445667,0.9240638856001154
0.00007001,2.230642119311894,2.1653644055356277,0.062713988046612105,0.0025637257296544,1.236902963915190323,-2.05E-16,0E-16,0E-12,0E-17,0.0,-1.3585116142113314,1.4130226494032303,-0.05451103519189893,0.011721172715393835,0.011720683269709292,0E-15,0E-11,0E-18,2.230642119311894,-1.355947888481677,3.578387054938858,0.008202952854713175,0.9240633639118423,0.9240638847797763
0.00010,2.230655184336503,2.165377689703689,0.062713761142487726,0.0025637334903265,1.236902963915190739,-2.26E-16,0E-15,0E-11,0E-17,0.0,-1.3584986400751988,1.413009483466414,-0.05451084339121515,0.011721382707391438,0.01172068403208369,0E-15,0E-10,0E-18,2.230655184336503,-1.3559349065848723,3.578387173170103,0.008202917751272576,0.9240631435708841,0.9240638839594393
0.00015000000000000001,2.2306769277951997,2.165399797320809,0.062713384046412689,0.0025637464279779,1.236902963915191549,1.11E-16,0E-15,0E-12,0E-17,0.0,-1.3584770463006701,1.412987570363761,-0.05451052406309098,0.011721732213565131,0.011720685303138263,0E-14,0E-10,0E-18,2.2306769277951997,-1.3559132998726922,3.57838736768457,0.008202859983321709,0.9240627810651517,0.9240638825917603
0.00020,2.2306986227873833,2.1654218549849006,0.062713008438325835,0.0025637593641569,1.236902963915191111,-3.5E-17,0E-15,0E-12,0E-17,0.0,-1.3584554987222532,1.412965704014585,-0.05451020529233186,0.011722080974037541,0.01172068657420145,0E-16,0E-10,0E-18,2.2306986227873833,-1.3558917393580963,3.5783875589994856,0.008202803145993975,0.9240624245222441,0.9240638812240883
0.0002999999999999999,2.2307418681320645,2.1654658213325187,0.062712261568177885,0.002563785231368,1.236902963915190718,-8.5E-17,0E-16,0E-12,0E-17,0.0,-1.358412541666868,1.4129221110849621,-0.05450956941809415,0.01172277626572096,0.011720689116353595,0E-16,0E-11,0E-18,2.2307418681320645,-1.3558487564355,3.5783879324174808,0.008202692150083735,0.9240617286040129,0.9240638784887628
0.00050,2.2308277867491295,2.1655531653450225,0.062710784465245029,0.0025638369388621,1.236902963915191627,-1.29E-16,0E-15,0E-13,0E-18,0.0,-1.3583271751584385,1.412835479445823,-0.054508304287384624,0.011724158009474728,0.011720694200760256,0E-16,0E-10,0E-18,2.2308277867491295,-1.3557633382195764,3.5783886447908455,0.008202480177860405,0.9240604009936191,0.9240638730181858
0.00075,2.230934127208487,2.1656612580356288,0.06270896766562961,0.0025639015072282,1.23690296391518983,3.9E-16,0E-16,0E-13,0E-17,0.0,-1.3582214825727545,1.4127282177325102,-0.05450673515975568,0.01172586879555544,0.011720700556458782,0E-15,0E-10,0E-17,2.230934127208487,-1.3556575810655263,3.578389475768139,0.00820223250587393,0.9240588523477156,0.9240638661800966
0.001,2.2310393118499836,2.1657681641474044,0.062707181720674132,0.0025639659819051,1.236902963915192118,-3.2E-17,0E-15,0E-13,0E-18,0.0,-1.3581169033220641,1.412622082839294,-0.054505179517229774,0.011727561609257399,0.01172070691236632,0E-16,0E-10,0E-18,2.2310393118499836,-1.355552937340159,3.5783902469866984,0.008202002203444358,0.9240574150708231,0.9240638593421454
0.0014999999999999996,2.2312463275930563,2.165978541079122,0.062703691970583452,0.0025640945433504,1.236902963915192206,4.48E-16,0E-15,0E-12,0E-17,0.0,-1.3579109938435414,1.412413101553372,-0.05450210770983066,0.011730894786250768,0.0117207196247944,0E-15,0E-9,0E-18,2.2312463275930563,-1.355346899300191,3.578391642632494,0.008201584260752792,0.9240548140838157,0.9240638456666111
0.002,2.231448980660534,2.166184455069028,0.062700303088159215,0.0025642225033466,1.236902963915190823,1.85E-16,0E-14,0E-13,0E-18,0.0,-1.3577093262446482,1.41220841377296,-0.054499087528311785,0.011734159483362204,0.011720732338025865,0E-15,0E-10,0E-17,2.231448980660534,-1.3551451037413016,3.578392868841988,0.00820121555984743,0.9240525288657667,0.9240638319915307
0.0025,2.231647421534808,2.1663860676370723,0.062697004136288425,0.0025643497614476,1.236902963915190664,-3.25E-16,0E-16,0E-12,0E-17,0.0,-1.3575117732056128,1.4120078907736757,-0.05449611756806294,0.011737357753699702,0.01172074505204107,0E-15,0E-10,0E-18,2.231647421534808,-1.3549474234441652,3.578393958410748,0.008200886568225485,0.9240504982974131,0.9240638183168554
0.003,2.2318417956720062,2.1665835334620366,0.062693785966920321,0.0025644762430494,1.236902963915191238,-1.21E-16,0E-16,0E-12,0E-17,0.0,-1.3573182081161421,1.4118114045486634,-0.05449319643252126,0.011740491638926962,0.01172075776682042,0E-13,0E-9,0E-18,2.2318417956720062,-1.3547537318730927,3.5783949380107,0.008200589534399061,0.9240486726717738,0.9240638046425436
0.0035,2.232032241393552,2.1667769983876503,0.062690641108733788,0.0025646018971676,1.236902963915191978,3.12E-16,0E-16,0E-12,0E-17,0.0,-1.357128507513041,1.4116188302707209,-0.05449032275767984,0.01174356312999336,0.011720770482344808,0E-16,0E-10,0E-18,2.232032241393552,-1.3545639056158734,3.5783958286583712,0.008200318351053948,0.9240470128215256,0.9240637909685641
0.004,2.232218889889323,2.1669665997201602,0.062687563477224816,0.0025647266919382,1.23690296391519066,-2.16E-16,0E-16,0E-12,0E-18,0.0,-1.3569425517965836,1.4114300470159153,-0.054487495219331716,0.011746574155592495,0.011720783198595723,0E-16,0E-10,0E-16,2.232218889889323,-1.3543778251046454,3.5783966467360755,0.0082000682578931,0.924045488215865,0.9240637772948884
0.0045000000000000005,2.232401865788332,2.1671524670950459,0.06268454808308843,0.0025648506101976,1.236902963915191274,7E-17,0E-16,0E-11,0E-16,0.0,-1.356760225370093,1.4112449379046077,-0.0544847125345147,0.01174952657991294,0.01172079591555525,0E-16,0E-10,0E-17,2.232401865788332,-1.3541953747598954,3.5783974049996536,0.00819983554857373,0.9240440750824463,0.9240637636214944
0.005,2.232581287802342,2.1673347233691338,0.06268159078742874,0.0025649736457796,1.236902963915191074,-1.4E-16,0E-16,0E-13,0E-17,0.0,-1.35658141658872,1.4110633900497482,-0.05448197346102823,0.011752422203462886,0.011720808633206061,0E-15,0E-10,0E-17,2.232581287802342,-1.3540164429429404,3.578398113418882,0.00819961732640051,0.9240427548411541,0.924063749948363
0.0055,2.23275726930199,2.1675134853920914,0.062678688109243151,0.0025650958006551,1.236902963915190421,3.49E-16,0E-15,0E-12,0E-17,0.0,-1.356406017647535,1.410885294443867,-0.05447927679633202,0.011755262764872607,0.011720821351531435,0E-16,0E-10,0E-18,2.23275726930199,-1.3538409218468799,3.5783987798359584,0.008199411312911131,0.9240415128769232,0.9240637362754788
0.006,2.232929918799993,2.1676888646392206,0.062675837078073558,0.0025652170826988,1.236902963915191498,4.2E-17,0E-16,0E-13,0E-17,0.0,-1.3562339244526742,1.4107105458289484,-0.05447662137627418,0.011758049942969922,0.011720834070515192,0E-15,0E-10,0E-18,2.232929918799993,-1.3536687073699754,3.578399410468169,0.008199215701799378,0.9240403376029463,0.9240637226028292
