time_s,V_V,delta_Eeq_V,delta_etaMid_V,delta_phiL_V,Li_total_mol_m2,identity_residual_V,Eeq_surface_residual_N_V,reaction_input_surface_residual_N_x,eta_minus_etaMid_N_V,boundary_N_phis_V,boundary_N_phil_V,boundary_N_Eeq_V,boundary_N_etamid_V,boundary_N_x_surface,boundary_N_x_particle_average,Eeq_surface_residual_P_V,reaction_input_surface_residual_P_x,eta_minus_etaMid_P_V,boundary_P_phis_V,boundary_P_phil_V,boundary_P_Eeq_V,boundary_P_etamid_V,boundary_P_x_surface,boundary_P_x_particle_average
0.0,2.23061155833806,2.1653333309361334,0.06271451978673914,0.0025637076151872,1.236902963915189608,2.6E-16,0E-16,0E-12,0E-17,0.0,-1.3585419598423327,1.4130534435266686,-0.05451148368433589,0.011720681560105346,0.011720681490508414,0E-15,0E-10,0E-17,2.23061155833806,-1.3559782522271455,3.578386774462802,0.00820303610240325,0.9240638866193801,0.9240638866942696
0.00001002,2.2306137400822346,2.1653355486345397,0.062714481710307579,0.0025637097373872,1.236902963915190259,1.21E-16,0E-16,0E-12,0E-18,0.0,-1.3585397943114799,1.4130512460502653,-0.054511451738785466,0.011720716609070418,0.01172068174471516,0E-15,0E-10,0E-18,2.2306137400822346,-1.3559760845740927,3.578386794684805,0.008203029971522113,0.9240638489327644,0.9240638864207307
0.00002002,2.2306159216362107,2.165337766083578,0.062714443693142164,0.0025637118594905,1.23690296391519118,3.6E-17,0E-15,0E-13,0E-17,0.0,-1.358537628958716,1.413049048806196,-0.05451141984747987,0.011720751654329849,0.011720681998922082,0E-15,0E-10,0E-18,2.2306159216362107,-1.3559739170992255,3.578386814889774,0.008203023845662294,0.9240638112778932,0.9240638861471919
0.00004002,2.230620284179011,2.1653422003999796,0.06271436767554728,0.0025637161034839,1.236902963915192194,2.2E-16,0E-16,0E-13,0E-17,0.0,-1.3585332987901306,1.4130446548600548,-0.05451135606992419,0.011720821736204036,0.011720682507336327,0E-16,0E-10,0E-17,2.230620284179011,-1.3559695826866467,3.5783868552600344,0.00820301160562309,0.9240637360420976,0.9240638856001144
0.00007001,2.2306268240504648,2.1653488478449002,0.062714253738851641,0.0025637224667130,1.236902963915190329,-4.1E-17,0E-16,0E-13,0E-17,0.0,-1.3585268073760695,1.4130380678269236,-0.05451126045085419,0.011720926797033722,0.011720683269704756,0E-16,0E-10,0E-18,2.2306268240504648,-1.3559630849093565,3.5783869156718238,0.008202993287997451,0.9240636234560247,0.9240638847797727
0.00010,2.2306333617896934,2.165355493095895,0.062714139864576301,0.0025637288292219,1.23690296391519114,1.99E-16,0E-15,0E-13,0E-18,0.0,-1.3585203179882823,1.413031482838677,-0.054511164850394644,0.011721031825248229,0.011720684032074708,0E-15,0E-11,0E-18,2.2306333617896934,-1.3559565891590604,3.578386975934572,0.008202975014181657,0.9240635111477117,0.9240638839594321
0.00015000000000000001,2.230644256835614,2.1653665672487952,0.062713950151314312,0.0025637394355045,1.236902963915190474,-1.2E-17,0E-15,0E-13,0E-17,0.0,-1.358509503316592,1.413020508821817,-0.05451100550522514,0.0117212068569041,0.011720685303118426,0E-16,0E-10,0E-18,2.230644256835614,-1.3559457638810875,3.5783870760706122,0.008202944646089172,0.9240633245297732,0.9240638825917451
0.00020,2.2306551458542914,2.1653776352009519,0.062713760613196224,0.0025637500401432,1.236902963915190791,7.6E-17,0E-16,0E-12,0E-17,0.0,-1.3584986943751618,1.4130095405878638,-0.05451084621270197,0.011721381796324681,0.01172068657416647,0E-16,0E-11,0E-18,2.2306551458542914,-1.3559349443350186,3.5783871757888157,0.008202914400494254,0.9240631386905351,0.9240638812240614
0.0002999999999999999,2.2306769058064995,2.1653997525023857,0.062713382058826151,0.0025637712452876,1.23690296391519072,4.9E-17,0E-16,0E-13,0E-18,0.0,-1.358477093694373,1.4129876214802843,-0.054510527785911256,0.01172173139827481,0.011720689116275537,0E-14,0E-11,0E-18,2.2306769058064995,-1.3559133224490854,3.57838737398267,0.008202854272914895,0.9240627693277356,0.924063878488705
0.00050,2.2307203535733477,2.1654439129212679,0.062712627010472754,0.0025638136416072,1.236902963915190713,-1.54E-16,0E-16,0E-13,0E-18,0.0,-1.3584339609978742,1.4129438525629434,-0.054509891565069246,0.011722429496899582,0.011720694200545459,0E-16,0E-10,0E-18,2.2307203535733477,-1.355870147356267,3.5783877654842113,0.008202735445403508,0.9240620397082094,0.9240638730180328
