# UMA binding curves — comp4 v1 era (R = +0.925 vs paper exp Wad)
# Source: image 2 ("UMA binding curves (R = +0.925)") — digitized from PNG
# Method: rigid Z-scan (gap 0.8-4.0 A), UMA-s-1p1, 1L NCM (paper figure protocol)
# Sign: E_adh = -W_ad (figure convention, NEGATIVE = binding favorable)
# Note: comp4 in v1 anneal champion; NO asymptote subtraction (raw -W).
# Values are approximate (digitized to 0.01 J/m^2 from image 2 visual).
gap_A,comp1,comp2,comp3,comp4,comp5
0.80,+0.140,+0.020,-0.060,,
1.00,-0.150,-0.170,-0.200,+0.080,+0.090
1.20,-0.200,-0.180,-0.290,-0.170,-0.160
1.40,-0.160,-0.130,-0.315,-0.250,-0.260
1.60,-0.090,-0.070,-0.315,-0.265,-0.280
1.80,-0.030,+0.000,-0.300,-0.250,-0.265
2.00,+0.025,+0.030,-0.285,-0.225,-0.245
2.20,+0.060,+0.060,-0.275,-0.210,-0.225
2.50,+0.090,+0.087,-0.240,-0.193,-0.205
2.80,+0.105,+0.105,-0.215,-0.175,-0.185
3.00,+0.120,+0.110,-0.205,-0.170,-0.180
3.50,+0.130,+0.119,-0.190,-0.160,-0.175
4.00,+0.135,+0.123,-0.185,-0.155,-0.170
# Well-depth ranking (deepest = most negative E_adh in 1.2-1.8 A window):
# comp3 (-0.315) > comp5 (-0.280) > comp4 (-0.265) > comp1 (-0.200) > comp2 (-0.180)
# Paper exp Wad: comp3 (316) > comp4 (298) > comp5 (249) > comp1 (194) > comp2 (180)
# R(well_depth_neg, paper_Wad) = +0.925 (title)
