system,bond,n_bonds,mean_dist_A,ELF_midpoint,ELF_mid_std,ELF_central_min
modelc,Cl-Li,39,2.520,0.887,0.020,0.402
modelc,Li-S,68,2.465,0.940,0.011,0.588
modelc,P-S,20,2.064,0.944,0.001,0.923
