F_eV,LPSCl_pct,LPSCl1.6_pct
# LPSCl F*=0.200eV ; LPSCl1.6 F*=0.080eV
0.00500,0.00560,0.00700
0.01000,0.02080,0.01959
0.01500,0.03840,0.04012
0.02000,0.06240,0.05831
0.02500,0.09520,0.07650
0.03000,0.12240,0.10449
0.03500,0.16560,0.13248
0.04000,0.20000,0.15953
0.04500,0.41040,0.21224
0.05000,1.08000,0.26076
0.05500,1.32160,0.45901
0.06000,1.93520,0.83499
0.06500,2.70640,0.98099
0.07000,3.10720,1.13539
0.07500,3.47680,1.27720
0.08000,3.88960,1.41201
0.08500,4.27760,1.65458
0.09000,4.70720,2.17096
0.09500,5.10240,3.63942
0.10000,5.47040,3.93329
0.10500,5.89040,4.23930
0.11000,6.28720,4.54344
0.11500,6.69120,9.48058
0.12000,7.05920,10.27499
0.12500,7.44160,11.05913
0.13000,7.77440,11.85959
0.13500,8.12160,12.63720
0.14000,8.46560,13.41061
0.14500,8.80080,14.17283
0.15000,9.14480,14.94997
0.15500,9.49440,15.70612
0.16000,9.86240,16.44735
0.16500,10.18560,17.16105
0.17000,10.48320,26.29551
0.17500,10.78640,44.84525
0.18000,11.10960,46.47883
0.18500,11.43920,48.03172
0.19000,11.76320,49.61073
0.19500,12.07120,51.16735
0.20000,24.48000,52.67219
0.20500,50.57760,54.16163
0.21000,51.84320,55.63055
0.21500,53.09920,56.99032
0.22000,54.36320,58.35149
0.22500,55.69760,59.63848
0.23000,57.01200,60.92128
0.23500,58.24160,62.13178
0.24000,59.48720,63.33481
0.24500,60.62160,64.51125
0.25000,61.78640,65.68443
0.25500,62.96320,66.79464
0.26000,64.08320,67.87265
0.26500,65.20160,68.96187
0.27000,66.24160,69.98810
0.27500,67.28800,71.02461
0.28000,68.36720,71.98274
0.28500,69.38000,72.90962
0.29000,70.34560,73.82437
0.29500,71.26160,74.72886
0.30000,72.17360,75.57831
