op,sigma_min,sigma_min_augmented,rel_gain_pct,cond,cond_augmented,n_curve_points,mean_sensitivity_per_point
pristine,0.6892627137774713,0.7110106721421314,3.1552495050068075,18.238053852728832,17.76305830852977,288,0.040615194910924364
22p 근방,0.6627010856937572,0.7021466319290594,5.9522380582805345,16.314142894355534,15.40146167235915,288,0.03905003596614526
