gamma_Si,obj,obj_ratio_to_best,rmse_pocv,a_PE,b_PE,a_NE,b_NE,bounds,LAM_PE_pct,LAM_NE_pct,LLI_pct
0.0,0.7939595284261614,1.551795138663204,0.013536490993748321,1.1154083692489005,-0.09370959178661953,1.239910788345362,-0.003078161973278699,gamma_Si=lb,11.54631520993984,-5.671765233451824,17.003721805363156
0.025,0.7486090715757978,1.4631575999009314,0.011688573781399805,1.1209095406864096,-0.0977835758727583,1.2231795289918028,-0.0027024518706056096,-,11.110063431914208,-4.245838685277594,16.918563079703045
0.05,0.7052493427764268,1.378410942224316,0.01013995389340145,1.1285690044426295,-0.10374636963240164,1.2052451104744124,-0.0023126032782068797,-,10.502655587906554,-2.7173725399856314,16.81272413208623
0.07500000000000001,0.6631072455768496,1.296044147411729,0.008774795216802677,1.136453707783925,-0.10970935866816901,1.1900561802126377,-0.0019734978534366654,-,9.87738588109619,-1.4228914467842102,16.684549266038744
0.1,0.6239650469019948,1.219540658952269,0.007614048497395921,1.1423351868126101,-0.11405050596030934,1.1758624737101702,-0.0017463595610762344,-,9.410975096987602,-0.21322859408590575,16.578194249427114
0.125,0.5890800655739566,1.151357908447952,0.006796794066658588,1.147732233108244,-0.11805846130806787,1.1620415050842972,-0.00154121052285854,-,8.982980610849019,0.9646675623635019,16.482307263373
0.15000000000000002,0.5593188066554521,1.0931894813975453,0.0064677505747831095,1.153020176697696,-0.1220791997646921,1.145551229499441,-0.0013201388723963275,-,8.563638145484541,2.370056197269447,16.397581327230302
0.17500000000000002,0.5366718913699691,1.0489260500921822,0.006558978074353045,1.1583282500522134,-0.1261064422294601,1.1289242247467555,-0.001122046102121367,-,8.142699357245784,3.78709761611698,16.309890796034935
0.2,0.5216738080171016,1.0196122727484171,0.007055625464783186,1.162373157771969,-0.12930049257331366,1.1097023636035612,-0.000945703564386028,-,7.821931643543703,5.425286441608405,16.255262106609397
0.225,0.5140371178408177,1.0046863498685377,0.0077926341791493305,1.16554476968781,-0.1318927721928589,1.090886495986371,-0.0007911938081476993,-,7.570417697248742,7.028874348251893,16.22085589745193
0.25,0.5124556418568926,1.0015953525873131,0.008655560529871613,1.168529040602692,-0.13434568278597517,1.07014761246852,-0.0006869892301208114,-,7.333760194839238,8.796351856231965,16.18626072305299
0.275,0.5323751778451158,1.0405281167953644,0.009594467039938596,1.172226703020855,-0.1372401415362823,1.045830256866002,-0.0007664050613074503,-,7.040529594268702,10.8688057105587,16.114777719617248
0.30000000000000004,0.5734812655150082,1.1208700293636886,0.01055945634236042,1.1792066845192335,-0.1420740168710077,1.0256807737504805,-0.0006907841551523813,-,6.487005790503662,12.586051394177778,15.947089939168313
0.325,0.6100363026329509,1.1923169065184,0.011333192185638193,1.1858573018247873,-0.14649620637395885,1.0184232105772053,-0.0004461313513154696,-,5.959601099071321,13.204579371369366,15.78642478820987
0.35000000000000003,0.6382942702403999,1.2475471483528484,0.012565004705764143,1.19104343523319,-0.1497988599494686,1.0080957269474387,-0.0003903775951184715,-,5.548332345462306,14.084742231338804,15.638397977606012
0.375,0.6678565759001861,1.3053267209482775,0.014110500377552682,1.1950116835199704,-0.1521302043856092,1.0,-0.00036931752492870264,a_NE=lb,5.233643848581168,14.774702965147323,15.507531430203828
0.4,0.6960608200752124,1.360451960250127,0.01531825734062228,1.1954980352731777,-0.15209080836640596,1.0,-0.00035876081707224663,a_NE=lb,5.195075369214061,14.774702965147323,15.465806310061408
0.42500000000000004,0.7231710613815392,1.4134389692360099,0.01670089520612026,1.1961687220075252,-0.15219406436990812,1.0,-0.00033486251455709957,a_NE=lb,5.141888828187114,14.774702965147323,15.421785834098763
0.45,0.7486802240218726,1.4632966674679417,0.041144023574802735,1.1151215505519039,-0.09403904908414326,1.0864197737826968,-0.07043717716725005,-,11.569060395752926,7.409552074832218,11.598253808473222
0.47500000000000003,0.7560259033951708,1.4776538092787574,0.041987505624761716,1.111631032993533,-0.09094310175772258,1.0960461166255975,-0.08132673678112969,-,11.845864074454225,6.589144146686682,10.748268777709232
0.5,0.7634931175566222,1.4922484910228848,0.04279665874864924,1.1094041590707762,-0.08892151677129409,1.1048951020499693,-0.09249267740393756,gamma_Si=ub,12.022458772379423,5.8349867354374965,9.860569941446736
