comp,formula,Li-O,Cl-O,Br-O,S-Li,paper_Wad_mJ_m2
comp1,LPSC$_{1.0}$,0.11470,0.02470,0.00000,0.04995,194
comp2,LPSC$_{0.5}$B$_{0.5}$,0.07590,0.02920,0.00000,0.04189,180
comp3,LPSC$_{1.0}$B$_{0.6}$,0.13720,0.00000,0.00000,0.00000,316
comp4,LPSC$_{0.8}$B$_{0.8}$,0.07610,0.08810,0.05020,0.00000,298
comp5,LPSC$_{0.6}$B$_{1.0}$,0.12560,0.00000,0.10780,0.00000,249
modelC,LPSC$_{1.6}$,0.08530,0.08810,0.00000,0.02494,
