comp,formula_short,Li-O,Cl-O,Br-O,paper_Wad_mJ_m2
comp1,LPSC$_{1.0}$,0.114700,0.024700,0.000000,194
comp2,LPSC$_{0.5}$B$_{0.5}$,0.075900,0.029200,0.000000,180
comp3,LPSC$_{1.0}$B$_{0.6}$,0.137200,0.000000,0.000000,316
comp4,LPSC$_{0.8}$B$_{0.8}$,0.076100,0.088100,0.050200,298
comp5,LPSC$_{0.6}$B$_{1.0}$,0.125600,0.000000,0.107800,249
modelC,LPSC$_{1.6}$,0.085300,0.088100,0.000000,
